,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,Lay Away New,17/12/2023,11:00,POLAND - EKSTRAKLASA,Rakow Czestochowa,Korona Kielce,1.57,4.2,5.25,1.83,2.03,1.91,1.91,H,H,D
2,Lay Away New,17/12/2023,11:00,ENGLAND - PREMIER LEAGUE,Arsenal,Brighton,1.44,5.0,6.0,1.57,2.35,1.75,2.0,H,H,D
3,Lay Away New,17/12/2023,11:00,ENGLAND - PREMIER LEAGUE,Brentford,Aston Villa,3.1,3.6,2.2,1.75,2.05,1.67,2.1,H,H,D
4,Lay Away New,17/12/2023,12:30,SWITZERLAND - SUPER LEAGUE,Servette,Lugano,1.7,4.0,4.75,1.67,2.15,1.67,2.1,H,A,H
5,Lay Away New,17/12/2023,13:30,POLAND - EKSTRAKLASA,Legia Warsaw,Cracovia Krakow,1.62,3.8,5.0,1.93,1.93,1.95,1.8,H,H,D
6,Lay Away New,17/12/2023,13:30,ENGLAND - PREMIER LEAGUE,Liverpool,Man Utd,1.33,5.75,7.5,1.33,3.4,1.62,2.2,H,H,D
7,Lay Away New,17/12/2023,14:00,SPAIN - PRIMERA RFEF,Castellon,Murcia,1.53,4.0,5.25,2.03,1.78,2.1,1.67,D,H,D
8,Lay Away New,17/12/2023,16:00,SPAIN - PRIMERA RFEF,Cultural Leonesa,Sabadell,1.44,3.8,9.5,2.2,1.65,2.5,1.5,D,H,D
9,Lay Away New,17/12/2023,16:00,ROMANIA - LIGA 1,ACS Sepsi OSK,CFR Cluj,3.3,3.4,2.1,2.05,1.75,1.83,1.83,A,A,H
10,Lay Away New,17/12/2023,17:00,SPAIN - LALIGA2,Ferrol,Tenerife,2.4,3.0,3.3,2.88,1.4,2.25,1.57,H,H,D
11,Lay Away New,17/12/2023,20:00,COSTA RICA - PRIMERA DIVISION,Saprissa,Herediano,1.73,3.4,4.0,1.95,1.85,1.83,1.83,A,H,H
12,Lay Away New,17/12/2023,22:30,MEXICO - LIGA MX,CF America,Tigres,1.91,3.2,4.5,2.4,1.53,2.1,1.67,H,H,D
