Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,11/05/2024,08:00,CHINA - SUPER LEAGUE,Tianjin Jinmen Tiger,Shanghai Shenhua,6.5,3.8,1.53,1.83,1.91,1.91,1.05,1.36,1.25,6.0,1.13
2,11/05/2024,08:35,CHINA - SUPER LEAGUE,Wuhan Three Towns,Shandong Taishan,4.2,3.5,1.8,1.73,1.67,2.1,1.04,1.33,1.22,5.5,1.14
3,11/05/2024,11:00,NORWAY - OBOS-LIGAEN,Aalesund,Valerenga,3.5,3.6,1.95,1.67,1.62,2.2,1.04,1.33,1.2,5.0,1.17
4,11/05/2024,12:30,SLOVENIA - PRVA LIGA,Domzale,Radomlje,3.35,3.6,1.98,1.65,1.57,2.27,1.04,1.34,1.21,4.25,1.19
5,11/05/2024,12:30,SLOVAKIA - NIKE LIGA,Ruzomberok,Zilina,4.0,3.85,1.78,1.78,1.75,1.98,1.05,1.38,1.26,5.0,1.15
6,11/05/2024,12:30,AZERBAIJAN - PREMIER LEAGUE,Zira,Qarabag,3.4,3.7,1.9,1.7,1.65,2.0,1.04,1.32,1.23,4.97,1.14
7,11/05/2024,13:30,ENGLAND - PREMIER LEAGUE,Nottingham,Chelsea,3.4,3.9,2.0,1.53,1.5,2.5,1.03,1.29,1.17,4.0,1.25
8,11/05/2024,14:00,MOLDOVA - SUPER LIGA,Zimbru Chisinau,Sheriff Tiraspol,3.7,3.35,1.85,1.93,1.85,1.91,1.03,1.4,1.32,7.47,1.06
9,11/05/2024,15:00,POLAND - DIVISION 1,S. Rzeszow,Termalica B-B.,3.25,3.75,2.0,1.57,1.53,2.38,1.03,1.29,1.17,4.33,1.2
10,11/05/2024,17:00,BRAZIL - SERIE B,Amazonas,Santos,5.5,3.6,1.65,2.35,2.25,1.57,1.08,1.5,1.4,10.0,1.06
