,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,07/10/2023,01:30,Gimcheon Sangmu,Bucheon FC 1995,1.7,3.8,4.75,1.98,1.83,1.91,1.1,1.8,2.4,0.6,1.0,1.0,0.588,0.263,0.211,0.505,0.909,0.471,1.4,-0.4,1,0.9583
2,SOUTH KOREA - K LEAGUE 2,07/10/2023,04:00,Jeonnam,Ansan Greeners,1.62,3.8,5.25,1.7,2.1,1.73,1.17,2.0,2.0,0.8,0.8,1.9,0.617,0.263,0.19,0.588,0.855,0.523,1.2,-1.1,1,0.7589
3,SOUTH KOREA - K LEAGUE 2,07/10/2023,06:30,Seoul E-Land,Gyeongnam,3.0,3.25,2.38,1.93,1.88,1.73,1.11,2.0,1.1,1.3,1.7,1.2,0.333,0.308,0.42,0.518,0.901,0.136,-0.6,0.1,1,0.5461
4,SWEDEN - SUPERETTAN,07/10/2023,10:00,Vasteras SK,Jonkoping,1.36,5.0,8.0,1.48,2.6,1.75,1.25,2.0,1.6,0.3,1.2,2.1,0.735,0.2,0.125,0.676,0.8,0.769,0.4,-1.8,1,0.6777
5,BELGIUM - JUPILER PRO LEAGUE,07/10/2023,11:00,Cercle Brugge KSV,Leuven,1.62,4.33,4.75,1.48,2.6,1.53,1.25,2.38,1.5,0.9,1.2,1.7,0.617,0.231,0.211,0.676,0.8,0.529,0.3,-0.8,1,0.609
6,SCOTLAND - LEAGUE TWO,07/10/2023,11:00,Elgin City,Stenhousemuir,4.0,3.5,1.91,1.75,2.05,1.67,1.14,2.1,0.7,1.0,1.1,1.0,0.25,0.286,0.524,0.571,0.877,0.344,-0.4,0.0,1,0.5269
7,SCOTLAND - LEAGUE TWO,07/10/2023,11:00,Bonnyrigg Rose,East Fife,2.3,3.1,3.2,2.0,1.85,1.73,1.11,2.0,1.4,1.0,0.8,1.2,0.435,0.323,0.312,0.5,0.901,0.156,0.6,-0.2,1,0.5862
8,SCOTLAND - LEAGUE TWO,07/10/2023,11:00,Stranraer,Spartans,2.6,3.5,2.3,1.95,1.9,1.8,1.11,1.91,1.2,0.7,1.5,1.0,0.385,0.286,0.435,0.513,0.901,0.168,-0.3,-0.3,1,0.5433
9,SPAIN - LALIGA2,07/10/2023,11:15,Huesca,Eldense,2.25,3.0,3.6,2.6,1.48,2.2,1.04,1.62,1.1,1.1,1.1,1.3,0.444,0.333,0.278,0.385,0.962,0.196,0.0,-0.2,1,0.5442
10,AUSTRIA - BUNDESLIGA,07/10/2023,12:00,A. Lustenau,Rapid Vienna,5.5,4.33,1.55,1.6,2.3,1.7,1.2,2.05,1.4,2.0,1.3,1.9,0.182,0.231,0.645,0.625,0.833,0.589,0.1,0.1,1,0.832
11,AUSTRIA - BUNDESLIGA,07/10/2023,12:00,Austria Vienna,BW Linz,1.83,3.75,4.2,1.62,2.25,1.62,1.18,2.2,1.7,1.3,1.6,1.5,0.546,0.267,0.238,0.617,0.847,0.396,0.1,-0.2,1,0.5633
12,AUSTRIA - BUNDESLIGA,07/10/2023,12:00,Hartberg,Tirol,1.67,3.75,5.25,1.6,2.3,1.62,1.2,2.2,1.6,1.8,0.9,2.0,0.599,0.267,0.19,0.625,0.833,0.504,0.7,-0.2,1,0.672
13,SWITZERLAND - SUPER LEAGUE,07/10/2023,13:00,Yverdon,Grasshoppers,2.3,3.5,3.0,1.67,2.15,1.53,1.17,2.38,1.8,0.9,1.1,2.1,0.435,0.286,0.333,0.599,0.855,0.177,0.7,-1.2,1,0.8701
14,SLOVAKIA - NIKE LIGA,07/10/2023,13:00,Skalica,Kosice,2.42,3.2,2.9,2.07,1.75,1.78,1.1,1.93,1.6,0.9,1.0,2.25,0.413,0.312,0.345,0.483,0.909,0.118,0.6,-1.35,1,0.8111
15,SWITZERLAND - SUPER LEAGUE,07/10/2023,13:00,Zurich,Winterthur,1.57,4.33,5.5,1.57,2.35,1.62,1.2,2.2,1.7,1.0,1.7,2.5,0.637,0.231,0.182,0.637,0.833,0.583,0.0,-1.5,1,0.6932
16,SPAIN - LALIGA2,07/10/2023,13:30,Racing Santander,Gijon,2.25,3.2,3.5,2.4,1.53,2.0,1.05,1.73,1.6,0.4,0.7,1.2,0.444,0.312,0.286,0.417,0.952,0.199,0.9,-0.8,1,0.546
17,ARGENTINA - PRIMERA NACIONAL,07/10/2023,13:35,Atletico Atlanta,Quilmes,2.75,3.0,2.8,2.3,1.6,1.91,1.06,1.8,1.4,1.4,1.0,0.5,0.364,0.333,0.357,0.435,0.943,0.038,0.4,0.9,1,0.5097
18,SPAIN - PRIMERA RFEF,07/10/2023,15:00,Castellon,Real Madrid B,1.67,3.75,4.5,1.85,1.95,1.83,1.13,1.83,1.4,0.9,2.0,1.7,0.599,0.267,0.222,0.541,0.885,0.464,-0.6,-0.8,1,0.7968
19,SPAIN - PRIMERA RFEF,07/10/2023,15:00,SD Logrones,Unionistas,2.55,3.0,2.75,2.63,1.44,2.2,1.04,1.62,1.0,0.6,1.3,1.4,0.392,0.333,0.364,0.38,0.962,0.066,-0.3,-0.8,1,0.5924
20,SWITZERLAND - SUPER LEAGUE,07/10/2023,15:30,St. Gallen,Lausanne Ouchy,1.4,5.0,7.0,1.53,2.4,1.73,1.22,2.0,2.2,1.4,1.8,1.4,0.714,0.2,0.143,0.654,0.82,0.729,0.4,0.0,1,0.8995
21,BELGIUM - JUPILER PRO LEAGUE,07/10/2023,15:45,Anderlecht,KV Mechelen,1.73,4.0,4.2,1.62,2.25,1.62,1.18,2.2,1.7,0.9,1.2,2.1,0.578,0.25,0.238,0.617,0.847,0.443,0.5,-1.2,1,0.5967
22,URUGUAY - PRIMERA DIVISION,07/10/2023,18:30,Penarol,Defensor Sp.,1.95,3.3,4.0,2.1,1.7,1.83,1.08,1.83,1.7,0.8,1.4,0.7,0.513,0.303,0.25,0.476,0.926,0.32,0.3,0.1,1,0.5628
