Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,27/09/2023,10:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Tuzla City,Zrinjski,4.35,3.55,1.72,1.8,1.7,1.9,1.02,1.39,1.25,5.5,1.13
2,27/09/2023,11:00,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Paide,4.7,3.8,1.57,1.7,1.75,2.03,10.5,1.33,1.22,5.05,1.12
3,27/09/2023,12:00,BULGARIA - PARVA LIGA,Slavia Sofia,Levski Sofia,5.5,3.5,1.7,2.3,2.2,1.62,1.08,1.5,1.4,10.0,1.06
4,27/09/2023,13:00,EGYPT - PREMIER LEAGUE,Ceramica Cleopatra,Al Ahly,4.9,3.4,1.7,1.95,1.83,1.78,1.04,1.42,1.31,6.2,1.1
5,27/09/2023,13:00,BAHRAIN - PREMIER LEAGUE,Al-Hidd,Al Riffa,5.8,3.7,1.57,1.78,1.78,1.93,1.05,1.38,1.25,4.75,1.15
6,27/09/2023,13:00,SLOVAKIA - NIKE LIGA,Ruzomberok,Slovan Bratislava,3.7,3.75,1.87,1.87,1.75,1.95,1.05,1.4,1.28,5.3,1.14
7,27/09/2023,13:45,BELARUS - VYSSHAYA LIGA,Shakhtyor Soligorsk,Neman,4.27,3.54,1.82,2.04,1.89,1.87,1.03,1.43,1.31,6.7,1.06
8,27/09/2023,14:00,SWEDEN - SUPERETTAN,AFC Eskilstuna,Vasteras SK,4.0,3.6,1.85,1.7,1.67,2.1,1.04,1.33,1.2,5.0,1.17
9,27/09/2023,14:00,SERBIA - SUPER LIGA,Partizan,Crvena zvezda,4.25,3.6,1.75,1.82,1.75,1.95,1.05,1.39,1.27,5.0,1.14
10,27/09/2023,20:00,USA - USL CHAMPIONSHIP,Hartford Athletic,Tampa Bay,4.15,3.85,1.72,1.6,1.6,2.22,1.04,1.32,1.2,4.0,1.2
