,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,04/08/2023,05:00,INDONESIA - LIGA 1,Persebaya,Persikabo 1973,1.76,3.74,4.11,1.76,1.76,1.67,2.15
2,04/08/2023,08:35,CHINA - SUPER LEAGUE,Changchun Yatai,Nantong Zhiyun,1.85,3.75,4.0,1.83,1.83,1.75,2.0
3,04/08/2023,12:30,FINLAND - YKKONEN,HIFK,KaPa,1.55,4.2,4.5,1.44,1.44,1.53,2.38
4,04/08/2023,15:30,POLAND - DIVISION 1,Wisla Plock,Lechia Gdansk,1.73,3.6,4.0,1.8,1.8,1.73,2.0
5,04/08/2023,15:30,AUSTRIA - 2. LIGA,Ried,Admira,1.84,3.84,3.97,1.73,1.73,1.64,2.2
