Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,20/04/2024,10:00,THAILAND - THAI LEAGUE 1,Ratchaburi,Buriram,4.9,3.95,1.6,1.72,1.78,1.93,1.04,1.36,1.24,4.65,1.16
2,20/04/2024,11:00,SCOTLAND - LEAGUE ONE,Montrose,Hamilton,3.3,4.0,1.8,1.57,1.57,2.25,1.01,1.29,1.17,4.33,1.2
3,20/04/2024,11:00,SCOTLAND - CHAMPIONSHIP,Arbroath,Morton,4.33,4.0,1.57,1.73,1.78,1.93,1.04,1.36,1.24,4.7,1.17
4,20/04/2024,11:00,ENGLAND - CHAMPIONSHIP,Rotherham,Birmingham,5.5,4.0,1.62,2.0,2.0,1.73,1.06,1.4,1.3,6.5,1.11
5,20/04/2024,11:00,ENGLAND - LEAGUE ONE,Cambridge Utd,Derby,5.5,4.0,1.55,1.88,1.95,1.8,1.05,1.36,1.25,6.0,1.13
6,20/04/2024,11:00,ENGLAND - LEAGUE ONE,Bristol Rovers,Peterborough,4.5,4.2,1.65,1.53,1.62,2.2,1.03,1.29,1.17,4.0,1.22
7,20/04/2024,11:00,ENGLAND - LEAGUE TWO,Newport,Salford,3.5,3.75,2.0,1.7,1.62,2.2,1.03,1.33,1.2,5.0,1.17
8,20/04/2024,11:15,MALTA - PREMIER LEAGUE,Marsaxlokk,Floriana,5.0,3.95,1.57,1.8,1.82,1.78,1.02,1.35,1.25,5.71,1.1
9,20/04/2024,13:00,NORWAY - OBOS-LIGAEN,Lyn,Valerenga,4.0,3.8,1.67,1.67,1.67,2.1,1.03,1.33,1.2,5.0,1.17
10,20/04/2024,14:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Kolkheti 1913,Dinamo Batumi,4.4,3.75,1.62,1.78,1.82,1.94,1.01,1.32,1.22,5.3,1.12
11,20/04/2024,14:10,CROATIA - HNL,Slaven Belupo,Hajduk Split,5.25,3.8,1.62,1.98,1.91,1.8,1.05,1.4,1.29,6.5,1.11
12,20/04/2024,15:00,URUGUAY - PRIMERA DIVISION,Boston River,Penarol,4.0,3.6,1.91,2.15,2.0,1.73,1.07,1.44,1.36,9.0,1.07
13,20/04/2024,15:00,BRAZIL - BRASILEIRO WOMEN,Real Brasilia W,Sao Paulo W,5.2,3.5,1.57,1.9,1.95,1.75,1.03,1.39,1.29,7.47,1.06
14,20/04/2024,17:00,USA - USL CHAMPIONSHIP,Loudoun,Louisville City,3.45,3.7,1.91,1.7,1.65,2.12,1.04,1.35,1.23,4.5,1.17
15,20/04/2024,18:30,CHILE - PRIMERA DIVISION,U. Catolica,Colo Colo,3.8,3.6,1.91,2.0,1.8,1.91,1.05,1.4,1.3,7.0,1.1
16,20/04/2024,20:00,USA - USL CHAMPIONSHIP,Miami FC,Birmingham,3.5,3.75,1.9,1.7,1.62,2.15,1.04,1.34,1.22,4.4,1.17
