Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
5,20/02/2024,05:00,AUSTRALIA - A-LEAGUE,Melbourne Victory,Western United,1.53,4.33,5.75,1.53,1.67,2.1,1.03,1.29,1.17,4.33,1.22
6,20/02/2024,12:00,MOROCCO - BOTOLA PRO,Raja Casablanca,Hassania Agadir,1.36,4.3,8.0,1.95,2.27,1.5,1.05,1.4,1.31,5.85,1.09
7,20/02/2024,16:30,ENGLAND - PREMIER LEAGUE,Manchester City,Brentford,1.2,6.5,15.0,1.4,1.95,1.8,1.02,1.22,1.13,3.4,1.33
8,20/02/2024,16:45,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Portadown,Newington,1.47,4.45,5.3,1.38,1.5,2.27,1.02,1.19,1.14,2.9,1.31
9,20/02/2024,16:45,ENGLAND - CHAMPIONSHIP,Ipswich,Rotherham,1.25,5.75,13.0,1.62,2.2,1.62,1.04,1.29,1.2,4.5,1.2
10,20/02/2024,16:45,SCOTLAND - LEAGUE ONE,Falkirk,Montrose,1.25,5.5,10.0,1.5,2.0,1.73,1.01,1.25,1.14,3.75,1.25
11,20/02/2024,16:45,ENGLAND - LEAGUE TWO,AFC Wimbledon,Crawley,1.65,4.0,5.25,1.67,1.73,2.0,1.04,1.3,1.2,5.0,1.17
1,19/02/2024,17:00,ENGLAND - PREMIER LEAGUE,Everton,Crystal Palace,1.7,3.75,5.25,2.08,2.0,1.75,1.07,1.44,1.36,8.0,1.08
2,19/02/2024,17:00,PERU - LIGA 1,Comerciantes Unidos,Grau,1.67,3.5,4.75,2.05,1.91,1.8,1.06,1.4,1.3,7.0,1.1
3,19/02/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,Aurora,Royal Pari,1.44,4.2,6.0,1.8,2.0,1.73,1.05,1.36,1.25,6.0,1.13
4,19/02/2024,22:00,ARGENTINA - PRIMERA NACIONAL,Gimnasia Mendoza,San Telmo,1.75,3.3,5.5,2.4,2.25,1.57,1.11,1.53,1.44,11.0,1.05
