Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BANGLADESH - PREMIER LEAGUE,22/12/2023,05:30,Abahani Limited,Rahmatgonj MFS,1.35,4.55,6.8
2,AUSTRALIA - A-LEAGUE,22/12/2023,05:45,Adelaide United,Newcastle Jets,1.8,4.2,3.8
3,BANGLADESH - PREMIER LEAGUE,22/12/2023,07:30,Bashundara Kings,Brothers U.,1.05,8.75,25.0
4,IRAQ - SUPER LEAGUE,22/12/2023,08:30,Al Shorta,Al Wasat,1.47,3.45,7.0
5,VIETNAM - V.LEAGUE 1,22/12/2023,09:15,Hanoi FC,Hong Linh Ha Tinh,1.34,4.75,7.6
6,SERBIA - SUPER LIGA,22/12/2023,10:00,Cukaricki,Mladost,1.42,4.45,6.5
7,INDIA - I-LEAGUE,22/12/2023,10:30,Rajasthan United,TRAU FC,1.55,4.1,5.0
8,CAMEROON - ELITE ONE,22/12/2023,11:30,Stade Renard,Victoria United,1.83,3.1,4.15
9,IVORY COAST - LIGUE 1,22/12/2023,12:30,ASEC Mimosas,Zoman,1.69,3.34,4.96
10,ALBANIA - SUPERLIGA,22/12/2023,13:00,Vllaznia,Skenderbeu,1.91,3.2,3.7
11,ALBANIA - SUPERLIGA,22/12/2023,13:00,Teuta,Dinamo Tirana,2.2,3.0,3.1
12,ITALY - SERIE C,22/12/2023,14:30,Torres,Pineto,1.65,3.6,5.0
13,ITALY - SERIE C,22/12/2023,14:30,Atalanta U23,Arzignano,1.83,3.25,4.45
14,ENGLAND - LEAGUE ONE,22/12/2023,16:45,Cambridge Utd,Exeter,2.05,3.2,4.0
15,NORTHERN IRELAND - NIFL PREMIERSHIP,22/12/2023,16:45,Linfield,Coleraine,1.34,4.9,7.7
