,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,AI_LAY_AWAY_RETORNOS,03/03/2024,02:00,SOUTH KOREA - K LEAGUE 1,Daegu FC,Gimcheon Sangmu,2.0,3.2,3.6,2.2,1.65,1.91,1.8,A,D,H
2,AI_LAY_AWAY_RETORNOS,03/03/2024,04:30,SOUTH KOREA - K LEAGUE 2,Busan IPark,Seoul E-Land,1.91,3.4,4.2,2.15,1.67,2.0,1.73,H,H,H
3,AI_LAY_AWAY_RETORNOS,03/03/2024,08:00,SPAIN - PRIMERA RFEF,Merida AD,Baleares,1.91,3.0,4.0,2.63,1.44,2.38,1.53,A,H,H
4,AI_LAY_AWAY_RETORNOS,03/03/2024,08:40,POLAND - DIVISION 1,Leczna,Motor Lublin,2.2,3.0,3.1,2.15,1.67,1.83,1.83,H,A,H
5,AI_LAY_AWAY_RETORNOS,03/03/2024,09:30,ROMANIA - LIGA 1,Universitatea Cluj,Botosani,1.57,3.8,5.25,1.93,1.93,1.91,1.8,H,D,A
6,AI_LAY_AWAY_RETORNOS,03/03/2024,10:15,SWITZERLAND - SUPER LEAGUE,Luzern,Lugano,2.05,3.75,3.3,1.7,2.1,1.62,2.2,D,D,H
7,AI_LAY_AWAY_RETORNOS,03/03/2024,11:00,POLAND - EKSTRAKLASA,Zaglebie Lubin,Korona Kielce,2.0,3.2,3.3,2.03,1.83,1.8,1.95,A,D,H
8,AI_LAY_AWAY_RETORNOS,03/03/2024,11:00,POLAND - DIVISION 1,Polonia Warszawa,Chrobry Glogow,2.0,3.4,3.4,1.88,1.98,1.73,2.0,H,A,H
9,AI_LAY_AWAY_RETORNOS,03/03/2024,12:00,SPAIN - PRIMERA RFEF,Atl. Madrid B,Alcoyano,1.95,3.0,3.8,2.38,1.53,2.2,1.62,A,H,H
10,AI_LAY_AWAY_RETORNOS,03/03/2024,12:30,SWITZERLAND - SUPER LEAGUE,Winterthur,Yverdon,1.83,3.75,4.33,1.67,2.15,1.62,2.2,D,D,H
11,AI_LAY_AWAY_RETORNOS,03/03/2024,13:00,AUSTRIA - BUNDESLIGA,Sturm Graz,Wolfsberger AC,1.73,4.0,4.5,1.83,2.03,1.8,1.95,H,D,D
12,AI_LAY_AWAY_RETORNOS,03/03/2024,13:30,POLAND - EKSTRAKLASA,Rakow Czestochowa,Lech Poznan,1.95,3.25,3.8,2.1,1.7,1.95,1.8,A,D,H
13,AI_LAY_AWAY_RETORNOS,03/03/2024,14:00,SPAIN - PRIMERA RFEF,Murcia,Recreativo Huelva,2.1,3.1,3.25,2.5,1.5,2.2,1.62,A,H,H
14,AI_LAY_AWAY_RETORNOS,03/03/2024,14:00,SPAIN - PRIMERA RFEF,Ceuta,CF Intercity,1.83,3.1,4.0,2.2,1.65,2.0,1.73,A,H,H
15,AI_LAY_AWAY_RETORNOS,03/03/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Nacional Potosi,Aurora,1.67,3.5,4.5,1.53,2.4,1.53,2.38,H,H,H
16,AI_LAY_AWAY_RETORNOS,03/03/2024,18:00,COLOMBIA - PRIMERA A,Atletico Bucaramanga,Patriotas,1.85,3.4,4.5,2.6,1.48,2.38,1.53,A,A,H
17,AI_LAY_AWAY_RETORNOS,03/03/2024,18:30,BOLIVIA - DIVISION PROFESIONAL,Universitario de Vinto,CA Independiente,1.8,3.4,4.0,2.15,1.67,2.0,1.73,H,H,H
18,AI_LAY_AWAY_RETORNOS,03/03/2024,19:00,COSTA RICA - PRIMERA DIVISION,Saprissa,San Carlos,1.53,3.8,5.25,1.83,1.98,1.83,1.83,H,H,D
19,AI_LAY_AWAY_RETORNOS,03/03/2024,19:15,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Boca Juniors,Belgrano,1.67,3.5,5.75,2.4,1.53,2.38,1.53,H,A,H
20,AI_LAY_AWAY_RETORNOS,03/03/2024,20:10,COLOMBIA - PRIMERA A,Ind Medellin,Rionegro,2.15,3.3,3.6,2.3,1.6,2.0,1.73,A,A,H
21,AI_LAY_AWAY_RETORNOS,03/03/2024,20:30,BOLIVIA - DIVISION PROFESIONAL,GV San Jose,Oriente Petrolero,1.57,3.75,4.75,1.53,2.4,1.57,2.25,H,H,H
22,AI_LAY_AWAY_RETORNOS,03/03/2024,21:30,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Newells,San Lorenzo,2.15,2.8,4.5,3.4,1.33,2.63,1.44,H,A,H
23,AI_LAY_AWAY_RETORNOS,03/03/2024,22:00,MEXICO - LIGA MX,Monterrey,Pumas UNAM,1.75,3.75,4.75,1.85,2.0,1.75,2.0,H,D,H
