,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,01/04/2024,11:00,ENGLAND - LEAGUE ONE,Oxford Utd,Fleetwood,1.75,3.8,4.5,1.85,1.75,2.0,1.04,1.36,1.25,6.0,1.13
2,01/04/2024,11:00,ENGLAND - LEAGUE TWO,Crewe,Forest Green,1.73,3.8,4.75,1.88,1.8,1.91,1.05,1.36,1.25,6.0,1.13
3,01/04/2024,11:00,ENGLAND - LEAGUE TWO,Morecambe,Barrow,3.6,3.5,2.05,2.0,1.8,1.91,1.05,1.4,1.3,7.0,1.1
4,01/04/2024,11:00,ENGLAND - LEAGUE TWO,Walsall,Salford,2.05,3.6,3.5,1.7,1.57,2.25,1.04,1.33,1.2,5.0,1.17
5,01/04/2024,11:00,ENGLAND - LEAGUE ONE,Cheltenham,Exeter,2.15,3.3,3.5,2.08,1.8,1.95,1.06,1.44,1.33,8.0,1.08
6,01/04/2024,11:30,SWEDEN - ALLSVENSKAN,AIK,Vasteras SK,1.67,3.8,5.5,1.88,1.8,1.95,1.05,1.36,1.25,6.0,1.13
7,01/04/2024,11:30,SWITZERLAND - SUPER LEAGUE,St. Gallen,Luzern,2.05,3.6,3.5,1.57,1.5,2.5,1.03,1.29,1.17,4.0,1.22
8,01/04/2024,13:30,ENGLAND - CHAMPIONSHIP,Ipswich,Southampton,2.55,3.6,2.63,1.57,1.44,2.63,1.03,1.29,1.17,4.33,1.22
