Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,09/04/2024,08:35,Beijing Guoan,Shenzhen Xinpengcheng,1.4,4.75,8.0
2,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,19:00,Argentinos Jrs (Arg),Racing Montevideo (Uru),1.4,4.5,9.0
3,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,19:00,Corinthians (Bra),Nacional Asuncion (Par),1.36,4.75,11.0
4,SOUTH AMERICA - COPA LIBERTADORES,09/04/2024,19:00,Estudiantes L.P. (Arg),The Strongest (Bol),1.23,6.0,14.5
5,SOUTH AMERICA - COPA LIBERTADORES,09/04/2024,19:00,Gremio (Bra),Huachipato (Chi),1.3,5.3,10.75
6,SOUTH AMERICA - COPA LIBERTADORES,09/04/2024,21:00,Libertad Asuncion (Par),Dep. Tachira (Ven),1.34,5.3,9.0
7,SOUTH AMERICA - COPA LIBERTADORES,09/04/2024,21:00,Fluminense (Bra),Colo Colo (Chi),1.53,4.15,6.5
8,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,21:00,Boca Juniors (Arg),Sportivo Trinidense (Par),1.22,6.0,17.0
9,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,21:30,Athletico-PR (Bra),Rayo Zuliano (Ven),1.06,11.0,29.0
10,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,21:30,Danubio (Uru),Ameliano (Par),1.85,3.5,4.2
