Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,27/01/2024,05:45,BANGLADESH - PREMIER LEAGUE,Rahmatgonj MFS,Bangladesh Police,4.3,4.0,1.6,1.53,1.57,2.34,1.02,1.24,1.14,3.92,1.19
2,27/01/2024,11:00,SCOTLAND - LEAGUE TWO,Elgin City,Dumbarton,4.0,3.5,1.73,1.85,1.8,1.91,1.02,1.36,1.25,5.5,1.13
3,27/01/2024,12:00,ENGLAND - FA CUP,Sheffield Utd,Brighton,5.5,4.33,1.57,1.67,1.75,2.0,1.03,1.33,1.2,5.0,1.17
4,27/01/2024,12:00,ENGLAND - LEAGUE ONE,Lincoln,Peterborough,4.5,3.8,1.73,1.93,1.95,1.8,1.05,1.4,1.29,6.5,1.11
5,27/01/2024,12:00,ENGLAND - LEAGUE ONE,Carlisle,Bolton,4.2,3.8,1.8,1.98,1.91,1.91,1.05,1.4,1.29,7.0,1.1
6,27/01/2024,12:00,SPAIN - PRIMERA RFEF,Granada CF B,Malaga,5.0,3.5,1.6,2.35,2.5,1.5,1.08,1.53,1.44,8.0,1.06
7,27/01/2024,12:00,ENGLAND - LEAGUE ONE,Port Vale,Portsmouth,3.75,3.5,2.0,1.98,1.8,1.95,1.05,1.4,1.29,6.5,1.11
8,27/01/2024,12:00,ENGLAND - LEAGUE TWO,Doncaster,Stockport County,4.5,3.6,1.8,2.05,1.83,1.83,1.06,1.4,1.33,8.0,1.08
9,27/01/2024,14:00,SWITZERLAND - CHALLENGE LEAGUE,Bellinzona,Thun,3.55,3.75,1.88,1.7,1.62,2.15,1.04,1.34,1.22,4.35,1.18
10,27/01/2024,15:00,ROMANIA - LIGA 1,Din. Bucuresti,FC Rapid Bucuresti,4.0,3.2,1.95,2.05,1.83,1.83,1.06,1.44,1.33,8.0,1.08
11,27/01/2024,16:30,SWITZERLAND - SUPER LEAGUE,Basel,Young Boys,3.6,3.5,1.95,1.57,1.53,2.38,1.03,1.29,1.17,4.33,1.2
12,27/01/2024,21:00,COSTA RICA - PRIMERA DIVISION,Sporting San Jose,Saprissa,4.5,3.8,1.6,1.75,1.8,1.91,1.04,1.33,1.22,5.5,1.14
13,27/01/2024,23:00,COSTA RICA - PRIMERA DIVISION,Zeledon,San Carlos,3.8,3.4,1.8,1.85,1.8,1.91,1.05,1.36,1.25,6.0,1.13
