,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,29/09/2023,05:00,INDONESIA - LIGA 1,Barito Putera,RANS Nusantara,1.75,3.65,4.1,1.62,1.6,2.07,1.01,1.3,1.2,4.6,1.14
2,29/09/2023,06:30,CHINA - SUPER LEAGUE,Cangzhou,Meizhou Hakka,2.45,3.75,2.63,1.65,1.57,2.25,1.03,1.3,1.2,4.5,1.18
3,29/09/2023,08:35,CHINA - SUPER LEAGUE,Shenzhen,Changchun Yatai,11.0,7.0,1.2,1.36,1.8,1.95,1.01,1.2,1.1,3.0,1.36
4,29/09/2023,08:35,CHINA - SUPER LEAGUE,Tianjin Jinmen Tiger,Chengdu Rongcheng,3.3,3.4,2.15,1.98,1.75,2.0,1.05,1.4,1.29,6.5,1.11
5,29/09/2023,09:00,INDONESIA - LIGA 1,Bali United,Persikabo 1973,1.44,4.5,5.8,1.42,1.57,2.12,1.01,1.23,1.11,3.1,1.27
6,29/09/2023,11:30,INDIA - ISL,North East Utd,Chennaiyin,4.0,4.0,1.67,1.5,1.5,2.5,1.02,1.25,1.14,3.75,1.25
7,29/09/2023,12:00,FINLAND - VEIKKAUSLIIGA,AC Oulu,KTP,1.95,3.8,3.4,1.57,1.57,2.25,1.03,1.3,1.17,4.33,1.2
8,29/09/2023,12:00,QATAR - QSL,Al Wakra,Al Rayyan,2.77,3.55,2.3,1.57,1.5,2.42,1.04,1.32,1.19,3.9,1.21
9,29/09/2023,12:00,FINLAND - VEIKKAUSLIIGA,VPS,Inter Turku,1.8,3.8,4.0,1.73,1.67,2.1,1.04,1.33,1.22,5.5,1.14
10,29/09/2023,12:30,SLOVAKIA - NIKE LIGA,Zilina,Skalica,1.62,3.85,5.2,1.72,1.72,2.02,1.05,1.38,1.23,4.6,1.17
12,29/09/2023,13:10,AUSTRIA - 2. LIGA,Ried,Horn,1.55,4.1,5.2,1.57,1.65,2.1,1.04,1.31,1.19,3.95,1.21
11,29/09/2023,13:10,AUSTRIA - 2. LIGA,Liefering,Leoben,2.32,3.55,2.72,1.6,1.52,2.37,1.04,1.32,1.2,4.0,1.2
13,29/09/2023,14:00,PORTUGAL - LIGA PORTUGAL 2,Vilaverdense,Benfica B,2.5,3.3,2.55,1.7,1.57,2.25,1.04,1.33,1.2,5.0,1.17
14,29/09/2023,15:00,NETHERLANDS - EERSTE DIVISIE,Eindhoven FC,Dordrecht,1.91,3.75,3.75,1.67,1.62,2.2,1.03,1.3,1.2,5.0,1.17
15,29/09/2023,15:00,BELGIUM - CHALLENGER PRO LEAGUE,St. Liege U23,Patro Eisden,5.5,3.5,1.55,1.65,1.65,2.12,1.04,1.36,1.22,4.3,1.18
16,29/09/2023,15:00,NETHERLANDS - EERSTE DIVISIE,Maastricht,Den Haag,3.2,3.8,2.05,1.48,1.44,2.63,1.02,1.25,1.14,3.75,1.25
17,29/09/2023,15:00,NETHERLANDS - EERSTE DIVISIE,Oss,FC Emmen,4.5,3.8,1.73,1.57,1.57,2.25,1.03,1.29,1.17,4.33,1.2
18,29/09/2023,15:15,SWITZERLAND - CHALLENGE LEAGUE,Xamax,Sion,3.0,3.65,2.12,1.65,1.57,2.27,1.04,1.33,1.21,4.2,1.19
20,29/09/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,Kortrijk,Cercle Brugge KSV,4.5,4.0,1.7,1.5,1.5,2.5,1.02,1.25,1.14,3.75,1.25
21,29/09/2023,15:45,ITALY - SERIE C,Pergolettese,Pro Patria,2.1,3.15,3.5,2.3,2.02,1.7,1.09,1.55,1.44,7.1,1.06
22,29/09/2023,15:45,IRELAND - PREMIER DIVISION,Dundalk,Drogheda,1.67,4.0,4.75,1.7,1.75,2.0,1.03,1.33,1.22,5.0,1.17
19,29/09/2023,15:45,IRELAND - PREMIER DIVISION,Cork City,St. Patricks,4.0,3.6,1.85,1.75,1.67,2.1,1.04,1.33,1.22,5.5,1.14
23,29/09/2023,20:00,PARAGUAY - PRIMERA DIVISION,Sportivo Trinidense,General Caballero JLM,2.15,3.4,3.25,2.05,1.83,1.83,1.06,1.44,1.3,7.0,1.1
