,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BRAZIL - BRASILEIRO WOMEN,24/03/2024,10:00,Palmeiras W,Botafogo RJ W,1.51,3.8,5.05
2,SERBIA - PRVA LIGA,24/03/2024,11:00,Mladost GAT,RFK Novi Sad,1.62,3.3,5.4
3,NIGERIA - NPFL,24/03/2024,12:00,Kwara,Enyimba,,,
4,GHANA - PREMIER LEAGUE,24/03/2024,12:00,Legon Cities,Nsoatreman,,,
5,GHANA - PREMIER LEAGUE,24/03/2024,12:00,Bofoakwa Tano,Karela,1.55,3.45,5.7
6,IVORY COAST - LIGUE 1,24/03/2024,12:30,Korhogo,Academie de FAD,2.65,2.52,3.0
7,IVORY COAST - LIGUE 1,24/03/2024,12:30,Zoman,Sporting Gagnoa,2.27,3.0,3.0
8,ITALY - SERIE C,24/03/2024,14:30,Brindisi,Taranto,6.3,4.0,1.5
9,GHANA - PREMIER LEAGUE,24/03/2024,15:00,Asante Kotoko,Nations FC,1.72,2.95,5.3
10,BRAZIL - BRASILEIRO WOMEN,24/03/2024,15:00,America Mineiro W,Santos W,6.45,4.2,1.37
11,JAMAICA - PREMIER LEAGUE,24/03/2024,15:00,Portmore,Vere United,1.57,3.4,6.4
12,JAMAICA - PREMIER LEAGUE,24/03/2024,18:00,Waterhouse,Dunbeholden,2.15,3.15,3.25
