Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,MEXICO - LIGA MX,10/02/2024,00:10,Club Tijuana,Queretaro,1.75,3.8,4.5
2,INDIA - I-LEAGUE,10/02/2024,08:00,Churchill Brothers,Namdhari,1.44,4.45,5.9
3,SLOVAKIA - NIKE LIGA,10/02/2024,11:00,Dun. Streda,Skalica,1.55,3.95,5.8
4,SERBIA - SUPER LIGA,10/02/2024,11:00,Vojvodina,Mladost,1.6,3.8,5.2
5,SCOTLAND - LEAGUE TWO,10/02/2024,12:00,Spartans,Elgin City,1.53,4.0,4.75
6,ITALY - SERIE C,10/02/2024,12:15,Torres,Juventus U23,1.6,3.75,5.3
7,SERBIA - SUPER LIGA,10/02/2024,12:30,Crvena zvezda,Vozdovac,1.1,8.0,20.0
8,MOROCCO - BOTOLA PRO,10/02/2024,14:00,Olympique de Safi,Moghreb Tetouan,1.95,3.0,4.33
9,ITALY - SERIE C,10/02/2024,14:30,Padova,Trento,1.32,4.5,9.75
10,PORTUGAL - LIGA PORTUGAL,10/02/2024,15:00,Moreirense,Chaves,1.8,3.6,4.75
11,SPAIN - PRIMERA RFEF,10/02/2024,16:00,Tarazona,Cornella,2.2,2.88,3.5
12,ANDORRA - PRIMERA DIVISIÓ,10/02/2024,16:30,FC Santa Coloma,Esperanca,1.09,7.7,17.0
13,ITALY - SERIE C,10/02/2024,16:45,Entella,Carrarese,2.52,2.8,3.05
14,ARGENTINA - PRIMERA NACIONAL,10/02/2024,17:00,Deportivo Madryn,Aldosivi,2.15,2.9,4.33
15,ARGENTINA - PRIMERA NACIONAL,10/02/2024,17:00,Almagro,Deportivo Moron,2.75,2.88,3.0
16,ARGENTINA - PRIMERA NACIONAL,10/02/2024,17:00,San Miguel,CA Estudiantes,2.55,2.9,3.1
17,ARGENTINA - PRIMERA NACIONAL,10/02/2024,17:00,Quilmes,Talleres (R.E),1.73,3.4,5.75
18,VENEZUELA - LIGA FUTVE,10/02/2024,18:45,Carabobo,Inter de Barinas,1.57,3.6,5.6
19,COLOMBIA - PRIMERA A,10/02/2024,20:10,Bucaramanga,Once Caldas,2.3,3.1,3.4
20,ARGENTINA - PRIMERA NACIONAL,10/02/2024,21:15,Almirante Brown,Tristan Suarez,2.1,3.0,4.2
21,ARGENTINA - COPA DE LA LIGA PROFESIONAL,10/02/2024,21:30,Central Cordoba,Sarmiento Junin,2.63,2.88,3.1
22,ARGENTINA - PRIMERA NACIONAL,10/02/2024,21:45,Brown Adrogue,Temperley,2.25,2.9,3.8
