,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BRAZIL - BRASILEIRO WOMEN,07/05/2024,15:00,Fluminense W,Avai Kindermann W,1.33,5.09,7.4
2,ITALY - SERIE C,07/05/2024,15:30,Atalanta U23,Trento,1.96,3.23,3.84
3,SOUTH AMERICA - COPA SUDAMERICANA,07/05/2024,19:00,Nacional Asuncion (Par),Corinthians (Bra),4.33,3.4,1.85
4,SOUTH AMERICA - COPA LIBERTADORES,07/05/2024,19:00,Caracas (Ven),Penarol (Uru),5.2,3.5,1.75
5,BRAZIL - BRASILEIRO WOMEN,07/05/2024,19:00,Santos W,Gremio W,,,
6,SOUTH AMERICA - COPA LIBERTADORES,07/05/2024,19:00,Rosario Central (Arg),Atletico-MG (Bra),3.55,3.05,2.27
7,SOUTH AMERICA - COPA LIBERTADORES,07/05/2024,21:00,Nacional (Uru),River Plate (Arg),3.6,3.4,2.1
8,SOUTH AMERICA - COPA LIBERTADORES,07/05/2024,21:00,Dep. Tachira (Ven),Libertad Asuncion (Par),3.8,3.2,2.12
9,SOUTH AMERICA - COPA SUDAMERICANA,07/05/2024,21:30,Alianza (Col),Cruzeiro (Bra),5.5,4.0,1.62
10,SOUTH AMERICA - COPA SUDAMERICANA,07/05/2024,21:30,Ameliano (Par),Danubio (Uru),2.4,3.2,3.1
