Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,06/08/2023,10:00,AZERBAIJAN - PREMIER LEAGUE,Kapaz,Neftci Baku,4.19,3.52,1.83,2.04,1.85,1.91,1.03,1.42,1.31,6.65,1.06
2,06/08/2023,10:00,BELARUS - VYSSHAYA LIGA,Isloch,Din. Minsk,5.15,3.9,1.65,1.94,1.9,1.86,1.02,1.39,1.28,6.05,1.08
3,06/08/2023,10:00,SWEDEN - SUPERETTAN,Skovde AIK,Vasteras SK,4.5,4.0,1.6,1.6,1.67,2.1,1.03,1.29,1.18,4.33,1.2
4,06/08/2023,12:00,AUSTRIA - BUNDESLIGA,A. Lustenau,Austria Vienna,4.0,4.0,1.83,1.57,1.53,2.38,1.03,1.29,1.17,4.33,1.2
5,06/08/2023,12:00,SERBIA - SUPER LIGA,Radnicki 1923,Cukaricki,4.19,3.48,1.84,2.09,1.88,1.88,1.03,1.43,1.32,6.85,1.06
6,06/08/2023,12:30,SLOVENIA - PRVA LIGA,Mura,Maribor,3.61,3.68,1.97,1.76,1.63,2.22,10.5,1.33,1.21,5.0,1.12
7,06/08/2023,13:30,BELGIUM - JUPILER PRO LEAGUE,Westerlo,Club Brugge KV,3.6,3.75,1.95,1.57,1.53,2.38,1.03,1.29,1.17,4.0,1.22
8,06/08/2023,13:30,LUXEMBOURG - NATIONAL DIVISION,Jeunesse Esch,Niedercorn,4.45,3.85,1.68,1.74,1.68,2.13,1.01,1.32,1.2,5.1,1.13
9,06/08/2023,15:00,ECUADOR - LIGA PRO,Mushuc Runa,Ind. del Valle,3.8,3.6,1.95,1.73,1.62,2.2,1.04,1.33,1.22,5.5,1.14
10,06/08/2023,18:00,CANADA - CANADIAN PREMIER LEAGUE,Vancouver FC,Valour,3.7,3.58,1.89,1.83,1.69,2.11,1.01,1.35,1.24,5.45,1.1
11,06/08/2023,18:30,BOLIVIA - DIVISION PROFESIONAL,Tomayapo,The Strongest,4.2,3.3,1.75,1.85,1.73,2.0,1.05,1.36,1.25,6.0,1.13
