Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,FIJI - PREMIER LEAGUE,27/08/2023,00:00,Rewa,Tailevu Naitasiri,1.41,4.7,6.36
2,HONG KONG - PREMIER LEAGUE,27/08/2023,05:00,Hong Kong Rangers,Sham Shui Po,1.07,10.0,22.0
3,HONG KONG - PREMIER LEAGUE,27/08/2023,05:00,Kitchee,Hong Kong FC,1.04,11.7,30.0
4,ROMANIA - LIGA 2,27/08/2023,05:00,Steaua Bucuresti,CSM Alexandria,1.3,4.95,9.25
5,VIETNAM - V.LEAGUE 1,27/08/2023,07:00,Hanoi FC,Viettel,1.92,3.35,3.84
6,PORTUGAL - LIGA PORTUGAL 2,27/08/2023,07:00,FC Porto B,Leiria,2.3,3.2,2.7
7,PORTUGAL - LIGA PORTUGAL 2,27/08/2023,07:00,Oliveirense,Penafiel,2.25,3.3,2.75
8,VIETNAM - V.LEAGUE 1,27/08/2023,07:00,Nam Dinh,Hong Linh Ha Tinh,2.01,3.28,3.61
9,VIETNAM - V.LEAGUE 1,27/08/2023,07:00,Cong An,Thanh Hoa,1.29,5.25,8.75
10,SOUTH KOREA - K LEAGUE 1,27/08/2023,07:30,Gwangju FC,Suwon Bluewings,1.91,3.3,4.33
11,MONGOLIA - PREMIER LEAGUE,27/08/2023,08:00,Falcons,Deren,1.58,4.3,4.67
12,BELGIUM - CHALLENGER PRO LEAGUE,27/08/2023,08:30,Dender,Lierse K.,2.05,3.4,3.2
13,THAILAND - THAI LEAGUE 1,27/08/2023,09:00,Khonkaen Utd.,Ratchaburi,2.2,3.54,3.01
14,FINLAND - VEIKKAUSLIIGA,27/08/2023,10:00,Honka,Ilves,1.8,3.4,4.2
15,SWEDEN - SUPERETTAN,27/08/2023,10:00,Oster,Orgryte,1.6,3.8,5.5
16,UZBEKISTAN - SUPER LEAGUE,27/08/2023,10:00,Bunyodkor,Buxoro,1.95,3.35,3.88
17,POLAND - DIVISION 1,27/08/2023,10:00,S. Rzeszow,Chrobry Glogow,1.65,3.5,4.5
18,BRAZIL - BRASILEIRO WOMEN,27/08/2023,10:30,Sao Paulo W,Ferroviaria W,2.14,3.0,3.45
19,NORTH MACEDONIA - 1. MFL,27/08/2023,11:00,Shkupi,KF Gostivar,1.36,4.7,7.55
20,BRAZIL - SERIE A,27/08/2023,11:00,Bragantino,Cuiaba,1.73,3.6,5.0
21,AZERBAIJAN - PREMIER LEAGUE,27/08/2023,11:30,Neftci Baku,Gabala,1.79,3.65,4.23
22,PORTUGAL - LIGA PORTUGAL,27/08/2023,11:30,Boavista,Casa Pia,2.2,3.2,3.4
23,SERBIA - PRVA LIGA,27/08/2023,12:00,Mladost GAT,Vrsac,1.75,3.4,4.7
24,NORWAY - OBOS-LIGAEN,27/08/2023,12:00,Sogndal,Skeid,1.33,5.5,7.0
25,SERBIA - PRVA LIGA,27/08/2023,12:00,OFK Beograd,Radnicki Beograd,1.73,3.48,4.7
26,SWEDEN - ALLSVENSKAN,27/08/2023,12:30,Djurgarden,Degerfors,1.29,5.5,11.0
27,SLOVENIA - PRVA LIGA,27/08/2023,12:30,O. Ljubljana,Celje,2.21,3.52,3.12
28,QATAR - QSL,27/08/2023,12:30,Al Arabi,Umm-Salal,1.61,4.1,4.89
29,POLAND - EKSTRAKLASA,27/08/2023,12:30,Jagiellonia,Gornik Zabrze,2.15,3.2,3.4
30,MOROCCO - BOTOLA PRO,27/08/2023,13:00,IR Tanger,Jeunesse Sportive Soualem,1.8,3.2,4.0
31,POLAND - DIVISION 1,27/08/2023,13:00,Termalica B-B.,Pruszkow,1.83,3.4,3.6
32,ARGENTINA - PRIMERA NACIONAL,27/08/2023,13:10,Almirante Brown,Deportivo Moron,2.25,3.0,3.6
33,AZERBAIJAN - PREMIER LEAGUE,27/08/2023,13:45,Qarabag,Kapaz,1.17,6.95,14.7
34,ICELAND - BESTA DEILD KARLA,27/08/2023,14:00,KR Reykjavik,Fylkir,1.69,4.3,4.37
35,SERBIA - SUPER LIGA,27/08/2023,14:30,Cukaricki,Radnik,1.56,3.94,5.7
36,QATAR - QSL,27/08/2023,14:30,Al Wakra,Shamal,1.51,4.33,5.67
37,ARGENTINA - COPA DE LA LIGA PROFESIONAL,27/08/2023,14:30,Platense,Defensa y Justicia,2.3,3.0,3.5
