Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,31/03/2024,01:00,Melbourne Victory,Perth Glory,1.4,5.5,6.5
2,SPAIN - PRIMERA RFEF,31/03/2024,07:00,Melilla,Sanluqueno,2.45,3.0,2.63
3,VIETNAM - V.LEAGUE 1,31/03/2024,08:00,Binh Dinh,Ho Chi Minh,1.8,3.7,3.8
4,SPAIN - LALIGA2,31/03/2024,09:00,Alcorcon,Amorebieta,2.15,3.0,4.0
5,MONGOLIA - PREMIER LEAGUE,31/03/2024,09:15,Khaan Khuns-Erchim,Khoromkhon,1.62,4.2,3.9
6,VIETNAM - V.LEAGUE 1,31/03/2024,09:15,Hanoi FC,Nam Dinh,2.37,3.25,2.77
7,NORTH MACEDONIA - 1. MFL,31/03/2024,10:00,Shkendija,Bregalnica Stip,1.36,4.45,7.7
8,MOLDOVA - SUPER LIGA,31/03/2024,10:00,Petrocub,Dacia Buiucani,1.3,4.3,9.5
9,SPAIN - PRIMERA RFEF,31/03/2024,11:00,Cultural Leonesa,Lugo,1.85,3.1,4.0
10,INDIA - ISL,31/03/2024,11:00,Mohun Bagan,Chennaiyin,1.53,4.0,5.5
11,BELGIUM - CHALLENGER PRO LEAGUE,31/03/2024,11:00,Patro Eisden,Lommel SK,2.6,3.2,2.75
12,SPAIN - LALIGA2,31/03/2024,11:15,Zaragoza,Tenerife,2.45,2.6,3.75
13,ENGLAND - PREMIER LEAGUE,31/03/2024,12:30,Manchester City,Arsenal,1.91,3.75,3.8
14,BULGARIA - PARVA LIGA,31/03/2024,13:00,CSKA 1948 Sofia,Beroe,1.67,3.6,6.0
15,BELGIUM - JUPILER PRO LEAGUE,31/03/2024,13:30,St. Truiden,Westerlo,2.2,3.5,3.25
16,IVORY COAST - LIGUE 1,31/03/2024,15:00,AS Denguele,San Pedro,2.22,3.0,3.1
17,ARGENTINA - PRIMERA NACIONAL,31/03/2024,15:30,Nueva Chicago,Almirante Brown,2.0,3.2,4.2
18,IRAQ - SUPER LEAGUE,31/03/2024,15:30,Al Zawraa,Al Najaf,1.95,2.92,3.9
19,ARGENTINA - PRIMERA NACIONAL,31/03/2024,16:00,Gimnasia y Tiro,Estudiantes Rio Cuarto,2.15,2.8,4.33
20,ARGENTINA - PRIMERA NACIONAL,31/03/2024,16:00,Alvarado,Club A. Guemes,1.95,3.1,4.5
21,COLOMBIA - PRIMERA A,31/03/2024,16:00,Santa Fe,Patriotas,1.6,3.8,6.0
22,EGYPT - PREMIER LEAGUE,31/03/2024,16:30,Ceramica Cleopatra,ZED,1.83,3.25,4.25
23,ARGENTINA - PRIMERA NACIONAL,31/03/2024,16:30,Racing Cordoba,Gimnasia Jujuy,2.0,3.1,4.33
24,ARGENTINA - PRIMERA NACIONAL,31/03/2024,17:45,All Boys,San Miguel,2.2,3.0,3.8
25,COSTA RICA - PRIMERA DIVISION,31/03/2024,22:00,Alajuelense,San Carlos,1.57,3.8,5.0
