,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,23/09/2023,07:00,Lee Man Warriors,HK U23,1.02,13.0,30.0
2,SPAIN - LALIGA2,23/09/2023,09:00,Andorra,Gijon,2.15,3.1,3.8
3,NORWAY - OBOS-LIGAEN,23/09/2023,10:00,Sogndal,Asane,1.53,4.75,5.25
4,SWEDEN - SUPERETTAN,23/09/2023,10:00,Vasteras SK,Sundsvall,1.36,5.0,6.5
5,MOLDOVA - SUPER LIGA,23/09/2023,10:00,Floresti,Dacia Buiucani,1.87,3.35,3.65
6,NORWAY - OBOS-LIGAEN,23/09/2023,10:00,Hodd,Jerv,2.15,3.75,3.1
7,RUSSIA - PREMIER LEAGUE,23/09/2023,10:30,Baltika,Akhmat Grozny,2.6,3.5,2.91
8,SCOTLAND - CHAMPIONSHIP,23/09/2023,11:00,Partick Thistle,Arbroath,1.65,3.5,4.75
9,SERBIA - PRVA LIGA,23/09/2023,11:00,Smederevo,Radnicki Beograd,1.75,3.35,4.15
10,SERBIA - PRVA LIGA,23/09/2023,11:00,Radnicki S. Mitrovica,Dubocica,1.53,3.6,5.5
11,SCOTLAND - LEAGUE TWO,23/09/2023,11:00,Spartans,East Fife,1.95,3.6,3.8
12,BULGARIA - PARVA LIGA,23/09/2023,11:30,Lok. Plovdiv,Slavia Sofia,1.6,4.0,5.75
13,INDIA - ISL,23/09/2023,11:30,Mohun Bagan,Punjab,1.65,3.5,4.75
14,CHILE - PRIMERA DIVISION,23/09/2023,12:30,Palestino,U. Espanola,1.8,3.6,4.5
15,BAHRAIN - PREMIER LEAGUE,23/09/2023,13:00,Al Riffa,Al-Najma,1.6,3.8,5.2
16,BAHRAIN - PREMIER LEAGUE,23/09/2023,13:00,Al-Hala,Busaiteen,2.57,3.3,2.6
17,MONTENEGRO - PRVA CRNOGORSKA LIGA,23/09/2023,13:00,Jedinstvo,Mladost DG,2.32,2.95,3.15
18,PORTUGAL - TAÇA DE PORTUGAL,23/09/2023,13:00,Trofense,Pevidem,1.5,3.75,5.5
19,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,23/09/2023,13:30,GOSK Gabela,Igman K.,2.15,3.15,3.3
20,ESTONIA - MEISTRILIIGA,23/09/2023,13:30,Levadia,Kuressaare,1.25,5.1,9.0
21,PORTUGAL - LIGA PORTUGAL,23/09/2023,14:00,Casa Pia,Vitoria Guimaraes,2.38,3.1,3.1
22,CROATIA - HNL,23/09/2023,14:15,Hajduk Split,Lok. Zagreb,1.33,5.25,7.5
23,SPAIN - PRIMERA RFEF,23/09/2023,15:00,Dep. La Coruna,Cornella,1.36,3.8,9.0
24,CHILE - PRIMERA DIVISION,23/09/2023,15:00,Curico Unido,Nublense,2.7,3.1,2.8
25,ANDORRA - PRIMERA DIVISIÓ,23/09/2023,15:30,FC Santa Coloma,Atletic Escaldes,1.75,3.45,4.0
26,ITALY - SERIE C,23/09/2023,15:45,Gubbio,Vis Pesaro,1.6,3.6,5.7
27,PORTUGAL - LIGA PORTUGAL,23/09/2023,16:30,FC Porto,Gil Vicente,1.22,7.0,10.0
28,PERU - LIGA 1,23/09/2023,17:00,Binacional,AD Cantolao,1.25,5.5,7.5
29,ECUADOR - LIGA PRO,23/09/2023,17:30,Emelec,Mushuc Runa,1.73,3.6,4.2
30,USA - MLS,23/09/2023,20:30,FC Cincinnati,Charlotte,1.67,4.0,5.25
31,COSTA RICA - PRIMERA DIVISION,23/09/2023,20:30,Herediano,Liberia,1.4,4.5,6.0
32,USA - MLS,23/09/2023,21:30,Minnesota United,St. Louis City,1.8,3.75,4.2
