Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,28/07/2023,13:00,LITHUANIA - A LYGA,Dainava Alytus,Siauliai FA,3.92,3.24,1.94,2.35,2.01,2.35,2.01
2,28/07/2023,14:30,SWITZERLAND - CHALLENGE LEAGUE,Schaffhausen,Thun,3.56,3.92,1.92,1.49,1.48,1.49,1.48
