,League,Date,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,Lay_0x1,Predictions,Profit,Profit_acu
1,FINLAND - VEIKKAUSLIIGA,2024-06-28,Inter Turku,VPS,3.0,1.0,2.54,3.55,3.0,13.0,1,1,0.94,0.94
2,ESTONIA - MEISTRILIIGA,2024-06-28,Tammeka,Kalju,1.0,1.0,4.4,3.95,1.79,11.0,1,1,0.94,1.88
3,SWEDEN - SUPERETTAN,2024-06-28,Brage,Gefle,2.0,2.0,1.58,4.6,6.0,27.0,1,1,0.94,2.82
4,NORWAY - ELITESERIEN,2024-06-28,Odd,Kristiansund,1.0,1.0,2.16,3.95,3.5,18.5,1,1,0.94,3.76
5,NORWAY - ELITESERIEN,2024-06-28,Sarpsborg 08,Bodo/Glimt,1.0,2.0,4.8,4.8,1.68,16.0,1,1,0.94,4.699999999999999
6,SWEDEN - SUPERETTAN,2024-06-28,Helsingborg,Varberg,1.0,0.0,2.0,3.7,4.2,16.0,1,1,0.94,5.639999999999999
7,FINLAND - VEIKKAUSLIIGA,2024-06-28,AC Oulu,KuPS,1.0,0.0,3.95,3.6,2.06,9.2,1,1,0.94,6.579999999999998
8,NORWAY - ELITESERIEN,2024-06-28,Brann,Stromsgodset,0.0,0.0,1.38,6.0,8.6,44.0,1,1,0.94,7.519999999999998
9,IRELAND - PREMIER DIVISION,2024-06-28,Derry City,Drogheda,5.0,1.0,1.31,6.0,12.5,38.0,1,1,0.94,8.459999999999997
10,IRELAND - PREMIER DIVISION,2024-06-28,Sligo Rovers,Shamrock Rovers,2.0,0.0,9.0,5.3,1.42,8.2,1,1,0.94,9.399999999999997
11,IRELAND - PREMIER DIVISION,2024-06-28,Shelbourne,Galway,2.0,0.0,2.38,3.05,3.8,10.5,1,1,0.94,10.339999999999996
12,IRELAND - PREMIER DIVISION,2024-06-28,St. Patricks,Bohemians,0.0,0.0,2.0,3.75,4.1,16.0,1,1,0.94,11.279999999999996
13,IRELAND - PREMIER DIVISION,2024-06-28,Dundalk,Waterford,0.0,0.0,2.32,3.25,3.7,12.0,1,1,0.94,12.219999999999995
14,NORWAY - ELITESERIEN,2024-06-28,Tromso,Molde,0.0,2.0,3.35,3.8,2.26,12.5,1,1,0.94,13.159999999999995
