Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,MEXICO - LIGA MX,22/02/2024,00:00,Club America,Mazatlan FC,1.25,6.0,11.0
2,INDONESIA - LIGA 1,22/02/2024,05:00,FC Bhayangkara,PSS Sleman,1.88,3.45,3.75
3,INDONESIA - LIGA 1,22/02/2024,09:00,RANS Nusantara,Arema FC,1.87,3.55,3.65
4,INDONESIA - LIGA 1,22/02/2024,09:00,Persija Jakarta,Madura United,1.72,3.6,4.35
5,SLOVENIA - PRVA LIGA,22/02/2024,11:00,Celje,Rogaska,1.31,5.1,8.0
6,INDIA - ISL,22/02/2024,11:00,Jamshedpur,East Bengal,2.05,3.4,3.6
7,MOROCCO - BOTOLA PRO,22/02/2024,14:00,IR Tanger,Union Touarga,2.2,3.1,3.25
8,ROMANIA - LIGA 2,22/02/2024,14:30,Concordia,Ceahlaul,1.87,3.25,4.25
9,COLOMBIA - PRIMERA A,22/02/2024,20:10,America De Cali,La Equidad,1.65,3.5,6.0
10,SOUTH AMERICA - COPA LIBERTADORES,22/02/2024,21:30,Godoy Cruz (Arg),Colo Colo (Chi),2.0,3.25,4.0
11,COLOMBIA - PRIMERA A,22/02/2024,22:20,Once Caldas,Pereira,2.3,3.1,3.25
