Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 2,29/11/2023,07:00,Gyeongnam,Bucheon FC 1995,2.05,3.25,3.4
2,SERBIA - PRVA LIGA,29/11/2023,09:00,Mladost GAT,Smederevo,2.27,2.9,3.05
3,NORTH MACEDONIA - 1. MFL,29/11/2023,09:00,Voska Sport,Tikves,2.05,3.05,3.65
4,NORTH MACEDONIA - 1. MFL,29/11/2023,09:00,Brera Strumica,Bregalnica Stip,1.75,3.4,4.5
5,INDIA - ISL,29/11/2023,11:30,Kerala Blasters,Chennaiyin,1.45,4.75,6.0
6,NIGERIA - NPFL,29/11/2023,12:00,Enyimba,Remo Stars,1.65,3.25,5.6
7,BRAZIL - SERIE A,29/11/2023,19:30,Flamengo RJ,Atletico-MG,1.91,3.4,4.2
8,BRAZIL - SERIE A,29/11/2023,20:00,Bahia,Sao Paulo,2.05,3.2,4.0
9,BRAZIL - SERIE A,29/11/2023,20:00,Cuiaba,Internacional,2.7,3.0,2.8
10,COLOMBIA - PRIMERA A,29/11/2023,20:15,Aguilas,Junior,2.63,3.3,2.75
11,BRAZIL - SERIE A,29/11/2023,21:30,Palmeiras,America MG,1.2,7.5,12.0
