,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,23/12/2023,01:30,Wellington Phoenix,WS Wanderers,2.63,3.3,2.7
2,INDIA - I-LEAGUE,23/12/2023,05:30,Lajong,Namdhari,1.72,3.85,3.95
3,BANGLADESH - PREMIER LEAGUE,23/12/2023,05:30,Sheikh Russel,Sheikh Jamal,2.37,3.35,2.55
4,CAMEROON - ELITE ONE,23/12/2023,11:00,Cotonsport,Fauve Azur Elite,1.44,3.4,8.25
5,SCOTLAND - LEAGUE TWO,23/12/2023,12:00,Spartans,Stranraer,1.67,3.6,4.75
6,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/12/2023,12:00,Ballyclare,Knockbreda,1.17,6.7,11.5
7,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/12/2023,12:00,Bangor FC,Dergview,1.52,4.15,5.2
8,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,23/12/2023,12:00,Al Taawon,Al Fateh,1.62,4.0,4.5
9,GHANA - PREMIER LEAGUE,23/12/2023,12:00,Berekum Chelsea,Bofoakwa Tano,1.98,2.87,3.9
10,ITALY - SERIE C,23/12/2023,16:45,Virtus Francavilla,Potenza,2.45,2.95,3.0
