Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SPAIN - PRIMERA RFEF,10/09/2023,07:00,Merida AD,Melilla,1.91,3.1,4.0
2,SPAIN - PRIMERA RFEF,10/09/2023,07:00,Atl. Madrid B,Ceuta,2.25,3.0,3.2
3,SPAIN - PRIMERA RFEF,10/09/2023,07:00,SD Logrones,Sestao,2.0,3.0,3.75
4,PORTUGAL - TAÇA DE PORTUGAL,10/09/2023,11:00,CD Portosantense,Gondomar,1.95,3.25,3.4
5,SPAIN - LALIGA2,10/09/2023,11:15,Racing Santander,Amorebieta,1.85,3.4,4.5
6,SPAIN - LALIGA2,10/09/2023,11:15,Ferrol,Villarreal B,1.91,3.5,4.2
7,ITALY - SERIE C,10/09/2023,11:15,Virtus Verona,Alessandria,1.82,3.2,4.55
8,ITALY - SERIE C,10/09/2023,13:30,Arzignano,Mantova,2.1,3.05,3.65
9,ARGENTINA - PRIMERA NACIONAL,10/09/2023,15:00,Agropecuario,Defensores Unidos,1.57,3.75,6.5
10,ARGENTINA - PRIMERA NACIONAL,10/09/2023,15:30,Atletico Atlanta,Racing Cordoba,2.05,3.3,3.8
11,ARGENTINA - PRIMERA NACIONAL,10/09/2023,15:30,Deportivo Maipu,CA Estudiantes,1.85,3.4,4.75
12,ITALY - SERIE C,10/09/2023,15:45,Monopoli,Monterosi,1.91,3.2,4.1
13,BRAZIL - SERIE B,10/09/2023,15:45,Atletico GO,Juventude,2.02,3.0,4.0
14,ARGENTINA - PRIMERA NACIONAL,10/09/2023,16:00,Aldosivi,Deportivo Madryn,2.3,3.0,3.5
15,ARGENTINA - PRIMERA NACIONAL,10/09/2023,16:30,Chaco For Ever,Quilmes,2.3,3.2,3.25
16,BRAZIL - SERIE B,10/09/2023,18:00,CRB,Vitoria,2.32,2.85,3.35
17,COLOMBIA - PRIMERA A,10/09/2023,18:00,Pereira,Once Caldas,2.05,3.3,3.8
18,PARAGUAY - PRIMERA DIVISION,10/09/2023,20:00,Cerro Porteno,Nacional Asuncion,1.73,3.8,4.5
19,COLOMBIA - PRIMERA A,10/09/2023,20:10,America De Cali,Dep. Cali,1.83,3.5,4.75
20,ARGENTINA - PRIMERA NACIONAL,10/09/2023,21:30,Ind. Rivadavia,Brown Adrogue,1.95,3.0,5.0
