,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,BTTS Sim,27/04/2024,04:15,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Macarthur FC,1.65,4.2,4.75,1.5,2.63,1.53,2.38,A,D,H
2,OVER2_5,27/04/2024,11:00,ENGLAND - PREMIER LEAGUE,Wolves,Luton,1.95,3.8,3.6,1.62,2.3,1.53,2.38,D,A,H
3,OVER2_5,27/04/2024,11:00,ENGLAND - PREMIER LEAGUE,Fulham,Crystal Palace,2.1,3.5,3.5,1.67,2.2,1.57,2.25,D,A,H
4,OVER2_5,27/04/2024,11:00,SCOTLAND - LEAGUE ONE,Queen of South,Cove Rangers,1.75,4.0,3.4,1.62,2.25,1.62,2.2,A,H,D
5,OVER2_5,27/04/2024,11:00,NORWAY - OBOS-LIGAEN,Bryne,Sogndal,2.05,3.5,3.2,1.85,2.0,1.67,2.1,H,D,H
6,OVER2_5,27/04/2024,11:00,NORWAY - OBOS-LIGAEN,Aalesunds,Raufoss,1.83,3.75,3.6,1.83,2.03,1.73,2.0,H,D,H
7,OVER2_5,27/04/2024,11:00,SCOTLAND - CHAMPIONSHIP,Partick Thistle,Ayr,2.0,3.75,3.0,1.73,2.08,1.67,2.1,H,D,A
8,OVER2_5,27/04/2024,11:00,SCOTLAND - PREMIERSHIP,Aberdeen,Motherwell,2.05,3.4,3.75,2.0,1.85,1.8,1.95,D,D,H
9,OVER2_5,27/04/2024,11:00,BELGIUM - JUPILER PRO LEAGUE,Patro Eisden,Deinze,2.1,3.5,3.4,1.83,1.98,1.67,2.1,A,A,H
10,BTTS Sim,27/04/2024,11:00,NORWAY - OBOS-LIGAEN,Kongsvinger,Start,1.67,3.8,4.33,1.65,2.2,1.67,2.1,H,D,H
11,OVER2_5,27/04/2024,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Akhdoud,Abha,1.83,3.8,3.8,1.67,2.15,1.67,2.1,H,A,H
12,BTTS Sim,27/04/2024,14:30,ROMANIA - LIGA 1,FCSB,Farul Constanta,1.8,3.3,3.8,1.83,2.03,1.73,2.0,D,H,H
