,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
23,USA - MLS,30/09/2023,20:30,Inter Miami,New York City,2.05,3.75,3.25,1.73,2.08,1.62,1.14,2.2,1.2,1.4,0.9,1.2,0.488,0.267,0.308,0.578,0.877,0.271,0.3,0.2,1,0.6471
24,USA - MLS,30/09/2023,20:30,New England Revolution,Charlotte,1.83,3.8,4.0,1.53,2.4,1.53,1.22,2.38,2.5,0.9,1.1,1.8,0.546,0.263,0.25,0.654,0.82,0.387,1.4,-0.9,1,0.6768
25,USA - MLS,30/09/2023,20:30,New York Red Bulls,Chicago Fire,1.6,3.8,5.5,1.75,2.05,1.8,1.14,1.95,1.3,1.2,0.8,1.7,0.625,0.263,0.182,0.571,0.877,0.54,0.5,-0.5,1,0.5056
26,USA - MLS,30/09/2023,20:30,Orlando City,CF Montreal,1.62,4.0,5.0,1.62,2.25,1.67,1.2,2.1,2.2,1.2,0.8,2.1,0.617,0.25,0.2,0.617,0.833,0.523,1.4,-0.9,1,0.7001
27,USA - MLS,30/09/2023,20:30,Toronto FC,FC Cincinnati,4.0,4.0,1.75,1.5,2.5,1.53,1.25,2.38,0.9,1.0,1.4,1.5,0.25,0.25,0.571,0.667,0.8,0.424,-0.5,-0.5,1,0.8687
28,USA - MLS,30/09/2023,20:30,Columbus Crew,Philadelphia Union,1.8,4.0,4.0,1.5,2.5,1.53,1.25,2.38,2.2,1.0,1.6,1.5,0.556,0.25,0.25,0.667,0.8,0.41,0.6,-0.5,1,0.5144
29,USA - MLS,30/09/2023,21:30,Nashville SC,Seattle Sounders,1.95,3.5,3.75,2.03,1.83,1.8,1.1,1.95,1.7,0.8,1.1,1.3,0.513,0.286,0.267,0.493,0.909,0.315,0.6,-0.5,1,0.5012
30,USA - MLS,30/09/2023,21:30,St. Louis City,Sporting Kansas City,2.05,3.5,3.4,1.62,2.25,1.57,1.18,2.25,2.6,1.1,1.2,2.1,0.488,0.286,0.294,0.617,0.847,0.262,1.4,-1.0,1,0.7338
31,USA - MLS,30/09/2023,21:30,Minnesota United,San Jose Earthquakes,1.8,3.6,4.33,1.6,2.3,1.57,1.2,2.25,1.4,1.1,0.8,1.4,0.556,0.278,0.231,0.625,0.833,0.404,0.6,-0.3,1,0.6857
32,USA - MLS,30/09/2023,21:30,Houston Dynamo,FC Dallas,1.8,3.8,4.2,1.93,1.93,1.8,1.11,1.95,2.0,0.9,0.9,1.3,0.556,0.263,0.238,0.518,0.901,0.41,1.1,-0.4,1,0.558
33,USA - MLS,30/09/2023,23:30,Vancouver Whitecaps,DC United,1.7,4.0,4.5,1.57,2.35,1.62,1.2,2.2,2.2,1.2,0.9,1.6,0.588,0.25,0.222,0.637,0.833,0.471,1.3,-0.4,1,0.6506
34,USA - MLS,30/09/2023,23:30,Los Angeles Galaxy,Portland Timbers,1.95,4.0,3.4,1.53,2.4,1.5,1.22,2.5,1.7,1.1,0.7,1.8,0.513,0.25,0.294,0.654,0.82,0.326,1.0,-0.7,1,0.6886
