,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,MEXICO - LIGA MX,21/08/2023,00:10,Necaxa,U.A.N.L.- Tigres,3.6,3.4,2.1,2.03,1.83,1.8,1.95,1.1,1.0440307,0.79,1.7,1.3453624,0.84,0.2777778,0.29411766,0.47619048,0.49261084,0.5464481,0.2574094,-0.6,2.389,1,0.8105
2,MEXICO - LIGA MX,21/08/2023,00:10,Club America,Atlas,2.15,3.4,3.4,1.75,2.05,1.62,2.2,1.4,1.356466,0.634,1.3,1.1874342,0.971,0.4651163,0.29411766,0.29411766,0.5714286,0.4878049,0.22958012,0.1,2.544,1,0.5134
3,FINLAND - VEIKKAUSLIIGA,21/08/2023,12:00,KTP,Haka,2.63,3.3,2.4,1.73,2.08,1.62,2.2,1.5,1.2845232,1.303,0.6,1.2,1.252,0.38022813,0.3030303,0.41666666,0.5780347,0.48076922,0.12921648,0.9,2.485,1,0.7701
4,ROMANIA - LIGA 1,21/08/2023,12:30,Sepsi Sf. Gheorghe,FC Hermannstadt,1.95,3.3,4.0,2.35,1.57,2.1,1.67,1.5,1.2845232,0.41,1.6,1.4282857,0.778,0.51282054,0.3030303,0.25,0.42553192,0.6369427,0.31940594,-0.1,2.713,1,0.6428
5,POLAND - EKSTRAKLASA,21/08/2023,14:00,Cracovia,Piast Gliwice,3.0,3.2,2.38,2.4,1.53,2.0,1.75,1.9,1.1357816,0.888,2.3,1.1,0.833,0.33333334,0.3125,0.42016807,0.41666666,0.6535948,0.13122034,-0.4,2.236,1,0.6659
6,SPAIN - LALIGA2,21/08/2023,14:00,Villarreal B,Eldense,2.25,3.3,3.3,2.1,1.7,1.83,1.83,1.3,1.4177446,0.987,1.3,1.1874342,1.066,0.44444445,0.3030303,0.3030303,0.47619048,0.5882353,0.1903749,0.0,2.605,1,0.6554
7,SWEDEN - ALLSVENSKAN,21/08/2023,14:10,Norrkoping,AIK,2.63,3.4,2.7,1.88,1.98,1.67,2.1,1.4,1.356466,0.889,1.3,1.4177446,0.766,0.38022813,0.29411766,0.37037036,0.5319149,0.5050505,0.11050006,0.1,2.774,1,0.7648
8,PORTUGAL - LIGA PORTUGAL 2,21/08/2023,14:45,Torreense,Nacional,2.05,3.2,3.4,2.1,1.7,1.83,1.83,2.0,1.264911,0.85,1.6,1.2,0.83,0.4878049,0.3125,0.29411766,0.47619048,0.5882353,0.2392918,0.4,2.465,1,0.7689
9,NETHERLANDS - EERSTE DIVISIE,21/08/2023,15:00,Jong Utrecht,Groningen,5.75,4.0,1.6,1.62,2.25,1.67,2.1,1.1,1.3,1.337,0.1,0.3,0.86,0.17391305,0.25,0.625,0.61728394,0.44444445,0.5639344,1.0,1.6,1,0.8074
10,PERU - LIGA 1,21/08/2023,15:00,Sport Boys,Grau,1.95,3.3,3.4,2.05,1.75,1.83,1.83,1.3,1.4177446,1.061,0.2,0.4,1.029,0.51282054,0.3030303,0.29411766,0.4878049,0.5714286,0.27314913,1.1,1.818,1,0.5874
