Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,12/05/2024,04:30,SOUTH KOREA - K LEAGUE 1,Pohang,Jeju Utd,1.75,3.6,4.5,1.98,1.83,1.83,1.05,1.4,1.29,6.5,1.11
2,12/05/2024,10:30,RUSSIA - PREMIER LEAGUE,Fakel Voronezh,Ural,2.69,3.16,3.06,2.7,2.17,1.66,1.08,1.59,1.62,10.2,1.01
3,12/05/2024,14:10,CROATIA - HNL,Istra 1961,Hajduk Split,4.33,3.5,1.83,2.15,2.0,1.73,1.07,1.44,1.36,9.0,1.07
4,12/05/2024,16:00,ARGENTINA - PRIMERA NACIONAL,Gimnasia Jujuy,San Miguel,2.2,2.9,3.75,2.7,2.2,1.62,1.11,1.62,1.53,13.0,1.04
5,12/05/2024,18:00,ARGENTINA - PRIMERA NACIONAL,Racing Cordoba,CA Estudiantes,2.25,3.0,3.5,2.88,2.38,1.53,1.14,1.62,1.57,15.0,1.03
6,12/05/2024,20:30,VENEZUELA - LIGA FUTVE,Carabobo,Puerto Cabello,2.4,2.87,3.1,2.42,2.02,1.62,1.07,1.57,1.5,9.9,1.01
