,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,02/05/2024,08:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Samtredia,Iberia 1999,4.8,3.9,1.55,1.57,1.66,2.16,1.01,1.28,1.18,4.3,1.18
2,02/05/2024,13:30,SERBIA - SUPER LIGA,Cukaricki,Napredak,1.25,5.4,10.75,1.55,2.05,1.7,1.03,1.3,1.18,3.8,1.22
3,02/05/2024,18:00,PANAMA - LPF,Tauro,Potros del Este,1.86,3.28,4.17,2.07,1.88,1.88,1.05,1.44,1.33,7.95,1.05
4,02/05/2024,22:00,MEXICO - LIGA MX,Necaxa,Queretaro,2.15,3.25,3.4,1.8,1.67,2.1,1.05,1.36,1.25,6.0,1.13
