Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,06/04/2024,02:00,Ulsan HD,Suwon FC,1.6,3.8,5.5
2,ROMANIA - LIGA 2,06/04/2024,05:00,CSM Slatina,Tunari,1.9,3.2,3.95
3,ROMANIA - LIGA 2,06/04/2024,05:00,Metaloglobus Bucharest,Alexandria,1.8,3.3,4.35
4,SWEDEN - SUPERETTAN,06/04/2024,08:00,Ostersund,Trelleborg,1.8,3.6,4.2
5,ESTONIA - MEISTRILIIGA,06/04/2024,08:30,Paide,Kuressaare,1.35,4.65,6.5
6,CHINA - SUPER LEAGUE,06/04/2024,08:35,Zhejiang Professional,Qingdao West Coast,1.4,5.25,7.0
7,THAILAND - THAI LEAGUE 1,06/04/2024,09:00,Buriram,Prachuap,1.26,5.6,9.25
8,POLAND - EKSTRAKLASA,06/04/2024,10:00,Korona Kielce,Stal Mielec,1.8,3.5,4.5
9,NIGERIA - NPFL,06/04/2024,11:00,Plateau United,Doma United,1.45,3.55,8.25
10,ENGLAND - LEAGUE TWO,06/04/2024,11:00,Bradford City,Gillingham,2.25,3.25,3.3
11,MOLDOVA - SUPER LIGA,06/04/2024,12:00,Petrocub,Milsami,1.78,3.35,4.05
12,GHANA - PREMIER LEAGUE,06/04/2024,12:00,Bechem United,Asante Kotoko,1.7,3.15,4.8
13,GHANA - PREMIER LEAGUE,06/04/2024,12:00,Accra Lions,Bofoakwa Tano,1.7,3.15,4.8
14,AZERBAIJAN - PREMIER LEAGUE,06/04/2024,13:00,Qarabag,Sabail,1.28,5.2,8.5
15,ITALY - SERIE C,06/04/2024,13:30,Taranto,Potenza,1.83,3.1,4.8
16,NIGERIA - NPFL,06/04/2024,13:30,Remo Stars,Akwa United,1.31,4.1,12.5
17,SENEGAL - LIGUE 1,06/04/2024,13:30,Pikine,US Goree,2.52,2.7,2.9
18,ARGENTINA - PRIMERA NACIONAL,06/04/2024,14:10,Chacarita Juniors,San Martin S.J.,2.2,2.9,4.0
19,ARGENTINA - PRIMERA NACIONAL,06/04/2024,14:30,Almirante Brown,Deportivo Moron,2.5,3.0,3.2
20,SPAIN - PRIMERA RFEF,06/04/2024,15:00,Alcoyano,San Fernando,1.85,3.1,4.33
21,ARGENTINA - PRIMERA NACIONAL,06/04/2024,15:30,Defensores Unidos,Brown Adrogue,1.91,3.2,4.5
22,NETHERLANDS - EREDIVISIE,06/04/2024,16:00,Twente,Sittard,1.4,5.0,7.0
23,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,06/04/2024,16:00,Al Ettifaq,Al Riyadh,1.33,4.75,7.5
24,VENEZUELA - LIGA FUTVE,06/04/2024,18:45,Carabobo,Rayo Zuliano,1.5,3.7,6.7
25,MEXICO - LIGA MX,06/04/2024,20:00,Club Leon,Queretaro,1.73,4.0,4.33
26,ECUADOR - LIGA PRO,06/04/2024,20:00,Barcelona SC,Dep. Cuenca,1.55,3.8,6.0
27,USA - MLS,06/04/2024,20:30,New York City,Atlanta Utd,2.0,3.5,3.75
28,USA - USL CHAMPIONSHIP,06/04/2024,22:00,New Mexico,El Paso,1.72,3.7,4.4
