,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Flandria,San Martin S.J.,3.4,3.25,2.2,2.05,1.8,1.73,1.1,2.0,1.1,1.5,1.0,1.5,0.29411766,0.30769232,0.45454547,0.4878049,0.5555556,0.909,0.20629002,0.1,0.0,0,0.5499
2,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Estudiantes Rio Cuarto,Nueva Chicago,1.95,3.25,4.33,2.7,1.44,2.38,1.04,1.53,1.5,0.8,0.6,0.7,0.51282054,0.30769232,0.23094688,0.37037036,0.6944444,0.962,0.3394896,0.9,0.1,0,0.6012
3,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Def. de Belgrano,San Martin T.,2.55,3.1,3.0,2.6,1.48,2.2,1.04,1.62,1.4,0.7,0.6,0.8,0.39215687,0.32258064,0.33333334,0.3846154,0.6756757,0.962,0.08753459,0.8,-0.1,0,0.6002
4,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Club A. Guemes,Almagro,1.95,3.25,4.33,2.7,1.44,2.25,1.04,1.57,1.0,0.6,0.2,1.4,0.51282054,0.30769232,0.23094688,0.37037036,0.6944444,0.962,0.3394896,0.8,-0.8,0,0.6184
5,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Alvarado,Defensores Unidos,2.15,3.1,3.8,2.7,1.44,2.25,1.04,1.57,0.8,0.4,0.5,1.2,0.4651163,0.32258064,0.2631579,0.37037036,0.6944444,0.962,0.24193016,0.3,-0.8,0,0.5838
6,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Almirante Brown,Temperley,1.73,3.4,5.5,2.4,1.53,2.25,1.05,1.57,1.0,0.4,1.0,1.1,0.5780347,0.29411766,0.18181819,0.41666666,0.6535948,0.952,0.47459346,0.0,-0.7,0,0.6817
7,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Gimnasia Mendoza,Guillermo Brown,1.5,3.6,10.0,2.25,1.62,2.5,1.07,1.5,1.8,0.7,0.5,1.4,0.6666667,0.2777778,0.1,0.44444445,0.61728394,0.935,0.6796865,1.3,-0.7,0,0.5391
8,ARGENTINA - COPA DE LA LIGA PROFESIONAL,16/10/2023,16:00,Banfield,Atl. Tucuman,2.2,3.0,3.8,2.6,1.48,2.1,1.04,1.67,1.1,0.8,0.7,1.0,0.45454547,0.33333334,0.2631579,0.3846154,0.6756757,0.962,0.2256465,0.4,-0.2,0,0.699
9,SPAIN - LALIGA2,16/10/2023,16:00,Levante,Ferrol,1.8,3.4,4.75,2.1,1.7,2.0,1.08,1.73,1.5,1.1,1.1,1.1,0.5555556,0.29411766,0.21052632,0.47619048,0.5882353,0.926,0.41585407,0.4,0.0,0,0.6276
10,ARGENTINA - COPA DE LA LIGA PROFESIONAL,16/10/2023,18:00,Central Cordoba,Lanus,2.9,2.75,2.88,2.6,1.48,2.1,1.04,1.67,0.9,1.1,0.9,1.2,0.3448276,0.36363637,0.3472222,0.3846154,0.6756757,0.962,0.023755588,0.0,-0.1,0,0.8596
11,ARGENTINA - COPA DE LA LIGA PROFESIONAL,16/10/2023,20:00,Defensa y Justicia,Belgrano,2.25,3.1,3.5,2.4,1.53,2.0,1.05,1.73,1.6,0.7,0.2,1.4,0.44444445,0.32258064,0.2857143,0.41666666,0.6535948,0.952,0.1932887,1.4,-0.7,0,0.8667
