,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,PHILIPPINES - PFL,12/05/2024,05:00,Mendiola FC 1991,Philippine Army,1.11,9.0,13.0
2,SPAIN - SEGUNDA RFEF,12/05/2024,06:30,Getafe B,Marbella,2.22,2.95,3.35
3,PHILIPPINES - PFL,12/05/2024,06:30,Cebu FC,One Taguig,1.5,5.0,4.0
4,SWEDEN - SUPERETTAN,12/05/2024,08:00,Gefle,Skovde AIK,1.91,3.6,3.8
5,CHINA - SUPER LEAGUE,12/05/2024,09:00,Shenzhen Xinpengcheng,Qingdao West Coast,2.0,3.4,3.75
6,THAILAND - THAI LEAGUE 1,12/05/2024,09:00,Bangkok Utd,Trat FC,1.2,6.4,11.25
7,VIETNAM - V.LEAGUE 1,12/05/2024,09:15,Hai Phong,Quang Nam,1.65,3.6,4.75
8,NETHERLANDS - EREDIVISIE,12/05/2024,09:30,Twente,FC Volendam,1.06,13.0,29.0
9,ITALY - SERIE D,12/05/2024,11:00,Cavese,Altamura,2.02,3.3,3.2
10,NORTH MACEDONIA - 1. MFL,12/05/2024,12:00,Shkupi,Brera Strumica,1.55,3.65,5.2
11,NORTH MACEDONIA - 1. MFL,12/05/2024,12:00,Makedonija GP,Bregalnica Stip,1.88,3.25,3.7
12,BELARUS - VYSSHAYA LIGA,12/05/2024,12:00,Zhodino,Naftan,1.31,5.15,11.0
13,FINLAND - YKKONEN,12/05/2024,12:00,Keski-Uusimaa,KuPS Akatemia,1.83,4.5,2.9
14,FINLAND - YKKONEN,12/05/2024,12:30,Jazz Pori,Rovaniemi,1.44,5.0,4.5
15,FINLAND - YKKONEN,12/05/2024,12:30,Atlantis,VIFK,1.4,5.0,5.0
16,FINLAND - YKKONEN,12/05/2024,12:30,Klubi 04,EPS,1.25,5.5,7.5
17,POLAND - DIVISION 1,12/05/2024,13:00,Polonia Warszawa,Leczna,2.45,3.2,2.75
18,ITALY - SERIE C,12/05/2024,13:00,Virtus Francavilla,Monopoli,2.55,3.1,2.67
19,SPAIN - SEGUNDA RFEF,12/05/2024,14:00,Lleida,Yeclano,2.18,3.05,3.3
20,SPAIN - SEGUNDA RFEF,12/05/2024,14:00,Orihuela,Badalona Futur,2.25,2.9,3.3
21,MONTENEGRO - PRVA CRNOGORSKA LIGA,12/05/2024,14:00,Petrovac,Arsenal Tivat,2.18,2.92,3.45
22,PORTUGAL - LIGA PORTUGAL,12/05/2024,16:30,FC Porto,Boavista,1.14,7.5,15.0
23,PERU - LIGA 1,12/05/2024,17:00,Deportivo Garcilaso,Grau,2.0,3.3,3.75
24,ECUADOR - LIGA PRO,12/05/2024,17:30,Delfin,Orense,2.25,3.0,3.4
25,JAMAICA - PREMIER LEAGUE,12/05/2024,19:00,Mount Pleasant,Waterhouse,1.7,3.45,4.8
