,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,21/04/2024,02:00,Central Coast Mariners,Adelaide United,1.75,4.0,4.0
2,ROMANIA - LIGA 2,21/04/2024,05:00,Selimbar,Unirea Slobozia,2.67,3.0,2.7
3,PORTUGAL - LIGA PORTUGAL 2,21/04/2024,07:00,Oliveirense,Os Belenenses,2.05,3.3,3.2
4,THAILAND - THAI LEAGUE 1,21/04/2024,07:30,Muang Thong Utd,Lamphun Warrior,1.75,3.95,3.85
5,SWEDEN - SUPERETTAN,21/04/2024,08:00,Oddevold,Gefle,1.91,3.4,3.6
6,CHINA - SUPER LEAGUE,21/04/2024,08:00,Henan Songshan Longmen,Qingdao Hainiu,1.95,3.5,4.0
7,THAILAND - THAI LEAGUE 1,21/04/2024,08:00,Prachuap,Sukhothai,1.7,3.8,4.35
8,FINLAND - YKKONEN,21/04/2024,10:00,OLS Oulu,Atlantis,2.2,3.4,2.75
9,BELARUS - VYSSHAYA LIGA,21/04/2024,10:00,Din. Minsk,Zhodino,2.49,3.02,3.14
10,ANDORRA - PRIMERA DIVISIÓ,21/04/2024,11:00,Inter Escaldes,Esperanca,1.06,8.75,19.5
11,PORTUGAL - LIGA PORTUGAL,21/04/2024,11:30,Famalicao,Portimonense,1.62,3.8,6.0
12,ITALY - SERIE C,21/04/2024,11:30,Sestri Levante,Vis Pesaro,2.18,3.0,3.1
13,NIGERIA - NPFL,21/04/2024,12:00,Katsina Utd,Sporting Lagos,1.5,3.6,6.8
14,NIGERIA - NPFL,21/04/2024,12:00,Kwara,Akwa United,1.72,3.15,5.3
15,AZERBAIJAN - PREMIER LEAGUE,21/04/2024,12:00,Araz,Sabail,2.15,3.2,3.2
16,NIGERIA - NPFL,21/04/2024,12:00,Rivers United,Enugu Rangers,1.7,3.3,5.1
17,NIGERIA - NPFL,21/04/2024,12:00,Sunshine Stars,Enyimba,2.07,3.05,3.55
18,GHANA - PREMIER LEAGUE,21/04/2024,12:00,Heart of Lions,Nations FC,2.0,2.95,3.7
19,SERBIA - PRVA LIGA,21/04/2024,12:00,Dubocica,Sloboda,2.02,3.0,3.55
20,ARGENTINA - PRIMERA NACIONAL,21/04/2024,13:00,San Miguel,Racing Cordoba,2.25,3.0,3.6
21,BELGIUM - JUPILER PRO LEAGUE,21/04/2024,14:15,Charleroi,Eupen,1.7,3.75,4.75
22,ITALY - SERIE C,21/04/2024,15:00,Crotone,Monopoli,2.05,3.1,3.35
23,ITALY - SERIE C,21/04/2024,15:00,ACR Messina,Potenza,2.27,3.0,2.95
24,MOROCCO - BOTOLA PRO,21/04/2024,15:00,FAR Rabat,Maghreb Fez,1.3,4.0,10.0
25,ARGENTINA - PRIMERA NACIONAL,21/04/2024,16:00,Gimnasia y Tiro,Gimnasia Jujuy,2.0,3.1,4.5
26,PANAMA - LPF,21/04/2024,20:15,Miguelito,Potros del Este,2.42,3.2,2.72
27,USA - MLS,21/04/2024,21:15,Los Angeles Galaxy,San Jose Earthquakes,1.65,4.33,4.5
28,COSTA RICA - PRIMERA DIVISION,21/04/2024,22:15,San Carlos,Sporting San Jose,1.53,3.75,5.25
