,League,Round,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 2,ROUND 26,15/08/2023,07:00,Gimcheon Sangmu,Seoul E-Land,1.53,4.0,5.25
2,ARGENTINA - PRIMERA NACIONAL,ROUND 29,15/08/2023,13:30,Estudiantes Rio Cuarto,Alvarado,2.0,3.2,4.0
3,NORTHERN IRELAND - NIFL PREMIERSHIP,ROUND 3,15/08/2023,15:45,Crusaders,Dungannon,1.2,6.55,11.9
4,NORTHERN IRELAND - NIFL PREMIERSHIP,ROUND 3,15/08/2023,15:45,Larne,Ballymena,1.2,6.1,13.6
5,ARGENTINA - PRIMERA NACIONAL,ROUND 29,15/08/2023,19:10,Almirante Brown,Patronato,1.91,3.4,4.2
6,ARGENTINA - PRIMERA NACIONAL,ROUND 29,15/08/2023,20:00,Temperley,Guillermo Brown,2.05,3.2,3.75
7,BRAZIL - SERIE A,ROUND 19,15/08/2023,20:00,Athletico-PR,Cuiaba,1.83,3.5,4.5
