,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,26/08/2023,07:00,Gimcheon Sangmu,Asan,1.6,3.75,4.75,1.9,1.9,1.83,1.11,1.83,2.2,1.0,1.1,1.5,0.625,0.267,0.211,0.526,0.901,0.499,1.1,-0.5,1,0.9048
2,SOUTH KOREA - K LEAGUE 2,26/08/2023,08:00,Bucheon FC 1995,Seoul E-Land,2.15,3.1,3.2,2.25,1.62,1.91,1.07,1.8,1.3,1.2,1.1,1.1,0.465,0.323,0.312,0.444,0.935,0.19,0.2,0.1,1,0.6647
3,BELGIUM - CHALLENGER PRO LEAGUE,26/08/2023,11:00,St. Liege U23,Beerschot VA,4.33,4.2,1.57,1.57,2.35,1.62,1.22,2.2,0.9,1.5,1.1,1.8,0.231,0.238,0.637,0.637,0.82,0.515,-0.2,-0.3,1,0.8956
4,BELGIUM - JUPILER PRO LEAGUE,26/08/2023,11:00,Westerlo,KV Mechelen,2.25,3.5,3.0,1.6,2.3,1.5,1.2,2.5,2.1,1.8,0.9,2.2,0.444,0.286,0.333,0.625,0.833,0.187,1.2,-0.4,1,0.7468
5,SCOTLAND - PREMIERSHIP,26/08/2023,11:00,Hibernian,Livingston,1.83,3.75,4.2,1.95,1.9,1.8,1.13,1.95,2.0,1.9,0.6,2.0,0.546,0.267,0.238,0.513,0.885,0.396,1.4,-0.1,1,0.7031
6,AUSTRIA - BUNDESLIGA,26/08/2023,12:00,Wolfsberger AC,Salzburg,6.5,4.33,1.5,1.67,2.15,1.8,1.17,1.95,1.2,1.2,1.9,0.7,0.154,0.231,0.667,0.599,0.855,0.644,-0.7,0.5,1,0.8704
7,SPAIN - LALIGA2,26/08/2023,12:00,Burgos CF,R. Oviedo,2.6,2.88,3.2,3.1,1.36,2.5,1.03,1.5,0.9,1.2,0.9,0.9,0.385,0.347,0.312,0.323,0.971,0.086,0.0,0.3,1,0.5664
8,URUGUAY - PRIMERA DIVISION,26/08/2023,13:00,Plaza Colonia,River Plate,2.7,3.2,2.4,2.1,1.7,1.83,1.08,1.83,1.5,1.3,1.5,1.5,0.37,0.312,0.417,0.476,0.926,0.117,0.0,-0.2,1,0.5666
9,ARGENTINA - PRIMERA NACIONAL,26/08/2023,14:00,Tristan Suarez,Atletico Atlanta,2.05,3.25,3.75,2.25,1.62,2.0,1.06,1.73,1.3,1.5,0.9,0.9,0.488,0.308,0.267,0.444,0.943,0.271,0.4,0.6,1,0.5522
10,AUSTRIA - BUNDESLIGA,26/08/2023,14:30,A. Lustenau,Altach,2.55,3.6,2.63,1.83,2.03,1.67,1.13,2.1,1.7,1.7,0.5,1.8,0.392,0.278,0.38,0.546,0.885,0.146,1.2,-0.1,1,0.7611
11,BELGIUM - CHALLENGER PRO LEAGUE,26/08/2023,15:00,Lommel SK,Deinze,2.1,3.4,3.1,1.57,2.35,1.5,1.22,2.5,1.9,1.1,1.1,1.1,0.476,0.294,0.323,0.637,0.82,0.219,0.8,0.0,1,0.9372
12,SPAIN - PRIMERA RFEF,26/08/2023,15:00,Merida AD,Linares,2.1,3.0,3.3,2.2,1.65,1.91,1.07,1.8,1.2,1.3,1.3,1.9,0.476,0.333,0.303,0.455,0.935,0.204,-0.1,-0.6,1,0.5541
13,URUGUAY - PRIMERA DIVISION,26/08/2023,15:30,Liverpool M.,Danubio,1.8,3.4,4.0,2.1,1.7,1.91,1.08,1.8,2.3,1.3,1.0,1.6,0.556,0.294,0.25,0.476,0.926,0.368,1.3,-0.3,1,0.5859
