,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,GHANA - PREMIER LEAGUE,04/03/2024,07:00,Samartex,Nations FC,1.55,3.35,6.0
2,ARMENIA - PREMIER LEAGUE,04/03/2024,08:00,Pyunik Yerevan,West Armenia,1.19,5.7,10.5
3,INDONESIA - LIGA 1,04/03/2024,09:00,Persis Solo,PSM Makassar,2.45,3.3,2.65
4,INDIA - I-LEAGUE,04/03/2024,10:30,Churchill Brothers,Lajong,2.1,3.25,3.25
5,NIGERIA - NPFL,04/03/2024,11:00,Doma United,Sporting Lagos,1.36,3.8,11.0
6,GHANA - PREMIER LEAGUE,04/03/2024,12:00,Real Tamale,Bofoakwa Tano,2.27,2.62,3.45
7,POLAND - DIVISION 1,04/03/2024,14:00,Lechia Gdansk,R. Rzeszow,1.45,4.0,6.5
8,PORTUGAL - LIGA PORTUGAL,04/03/2024,17:15,Famalicao,Boavista,1.95,3.3,4.2
9,JAMAICA - PREMIER LEAGUE,04/03/2024,19:00,Cavalier,Humble Lions,1.34,4.55,7.9
10,ECUADOR - LIGA PRO,04/03/2024,21:00,LDU Quito,Macara,1.17,6.5,15.0
11,ARGENTINA - PRIMERA NACIONAL,04/03/2024,21:10,San Martin T.,Quilmes,2.3,2.8,3.8
