Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,13/04/2024,02:30,AUSTRALIA - A-LEAGUE,Western United,Central Coast Mariners,3.5,4.1,1.91,1.53,1.5,2.5,1.03,1.29,1.17,4.0,1.25
15,13/04/2024,05:00,ROMANIA - LIGA 2,Alexandria,FC Arges,4.25,3.4,1.78,1.98,1.87,1.75,1.03,1.44,1.33,7.12,1.06
14,13/04/2024,09:00,MOLDOVA - SUPER LIGA,Dacia Buiucani,Milsami,4.1,3.5,1.72,1.75,1.72,2.07,1.01,1.34,1.24,5.38,1.12
13,13/04/2024,09:30,NETHERLANDS - TWEEDE DIVISIE,Noordwijk,Quick Boys,3.8,3.75,1.78,1.55,1.53,2.18,1.01,1.28,1.17,3.65,1.19
12,13/04/2024,10:00,SLOVENIA - PRVA LIGA,Rogaska,Celje,5.6,4.0,1.53,1.72,1.8,1.91,1.05,1.36,1.24,4.6,1.16
11,13/04/2024,10:00,NETHERLANDS - TWEEDE DIVISIE,Kozakken Boys,Spakenburg,4.65,4.25,1.57,1.5,1.6,2.07,1.01,1.24,1.14,3.45,1.22
10,13/04/2024,10:00,BELARUS - VYSSHAYA LIGA,FC Gomel,Din. Minsk,3.73,3.56,1.99,1.97,1.8,1.96,1.02,1.4,1.28,6.15,1.07
16,13/04/2024,11:00,FINLAND - VEIKKAUSLIIGA,Mariehamn,KuPS,4.33,3.4,1.7,1.98,1.8,1.95,1.05,1.36,1.29,6.5,1.11
9,13/04/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Coleraine,Glentoran,3.45,3.8,1.91,1.62,1.57,2.25,1.04,1.32,1.2,4.1,1.19
7,13/04/2024,11:00,ENGLAND - PREMIER LEAGUE,Burnley,Brighton,3.5,3.75,2.0,1.73,1.57,2.25,1.04,1.3,1.22,5.0,1.17
6,13/04/2024,11:00,SCOTLAND - PREMIERSHIP,St Johnstone,Kilmarnock,3.8,3.5,2.0,2.1,1.95,1.8,1.07,1.44,1.36,8.0,1.08
5,13/04/2024,12:30,POLAND - EKSTRAKLASA,Puszcza,Lech Poznan,4.5,3.5,1.7,2.03,1.95,1.8,1.05,1.4,1.3,7.0,1.1
4,13/04/2024,13:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Petrovac,Decic,3.8,3.4,1.88,2.05,1.93,1.7,1.05,1.45,1.36,8.8,1.03
3,13/04/2024,15:00,SPAIN - PRIMERA RFEF,Teruel,Dep. La Coruna,4.2,3.2,1.8,2.5,2.38,1.53,1.1,1.57,1.5,8.5,1.05
2,13/04/2024,16:30,PORTUGAL - LIGA PORTUGAL,Estoril,Braga,4.5,4.0,1.73,1.57,1.57,2.25,1.03,1.29,1.17,4.0,1.22
8,13/04/2024,21:00,COSTA RICA - PRIMERA DIVISION,AD Santos,Herediano,4.5,3.4,1.8,2.08,1.91,1.8,1.07,1.44,1.33,8.0,1.08
17,13/04/2024,22:00,PERU - LIGA 1,Sport Boys,U. de Deportes,5.75,3.6,1.62,2.05,2.0,1.73,1.07,1.44,1.33,8.0,1.08
