Nº,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,28/10/2024,10:15,UZBEKISTAN - SUPER LEAGUE,Din. Samarkand,Nasaf Qarshi,5.7,3.55,1.57,1.98,2.0,1.65
2,28/10/2024,21:00,BRAZIL - SERIE B,America MG,Sport Recife,2.1,3.3,3.6,2.25,2.0,1.73
