Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,KS7r9FVF,21/08/2023,07:30,SOUTH KOREA - K LEAGUE 2,Gyeongnam,Cheonan City,ROUND 27,1.67,3.8,4.2,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.73,2.0,1.68,2.15,1.21,4.25,13.0,13.0,23.0,51.0,8.0,8.0,15.0,34.0,8.5,8.5,15.0,34.0,13.0,13.0,23.0,41.0,201.0
2,G0pBhyp0,21/08/2023,08:30,THAILAND - THAI LEAGUE 1,Chonburi,Khonkaen Utd.,ROUND 2,1.57,4.1,5.31,1.33,3.14,1.01,11.6,1.2,3.84,1.74,2.09,2.67,1.39,4.9,1.13,1.75,2.03,,,,,10.0,15.0,31.0,81.0,6.0,6.5,15.0,46.0,6.0,6.0,13.0,46.0,8.5,9.5,18.0,61.0,201.0
3,WlWPUu6A,21/08/2023,14:30,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Etar,ROUND 6,1.2,6.5,13.0,1.33,3.25,1.04,12.0,1.25,3.75,1.75,2.05,3.0,1.36,5.5,1.14,2.75,1.4,1.21,4.25,,,12.0,21.0,51.0,201.0,6.0,13.0,34.0,101.0,5.0,11.0,41.0,81.0,6.5,13.0,41.0,151.0,201.0
4,YcGnOxHD,21/08/2023,16:30,SPAIN - LALIGA2,Huesca,Tenerife,ROUND 2,2.88,2.8,2.88,1.62,2.2,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.1,1.67,2.75,1.43,1.45,2.68,6.0,7.0,12.0,29.0,7.0,5.5,12.0,29.0,12.0,12.0,17.0,41.0,29.0,29.0,41.0,67.0,201.0
5,407i7SDB,21/08/2023,18:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Huracan,Banfield,ROUND 1,2.38,3.0,3.25,1.62,2.2,1.13,6.0,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.38,1.53,2.35,1.58,1.35,3.1,5.5,7.0,15.0,41.0,5.5,6.0,13.0,34.0,9.5,11.0,21.0,51.0,23.0,26.0,41.0,81.0,201.0
6,j5BDY88B,21/08/2023,20:00,PERU - LIGA 1,Cesar Vallejo,ADT Tarma,CLAUSURA ,1.91,3.3,3.6,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.73,2.0,1.98,1.88,1.28,3.55,11.0,12.0,21.0,41.0,7.5,6.5,13.0,29.0,9.5,8.5,15.0,34.0,17.0,15.0,26.0,41.0,201.0
7,0dAxpBF4,21/08/2023,20:45,ARGENTINA - PRIMERA NACIONAL,Gimnasia Mendoza,Estudiantes Rio Cuarto,ROUND 30,2.38,2.9,3.5,1.62,2.2,1.13,6.0,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.25,1.57,2.35,1.58,1.35,3.1,5.5,7.5,15.0,41.0,5.5,6.0,13.0,34.0,9.5,11.0,21.0,51.0,21.0,23.0,41.0,81.0,201.0
8,WWb7zBil,21/08/2023,21:00,BOLIVIA - DIVISION PROFESIONAL,Tomayapo,Blooming,ROUND 24,1.67,3.5,4.5,1.44,2.63,1.07,9.0,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,2.0,1.73,,,,,9.0,12.0,23.0,51.0,6.5,7.0,15.0,41.0,7.5,8.5,19.0,41.0,13.0,15.0,29.0,51.0,201.0
9,GQ5VxFIg,21/08/2023,21:00,COLOMBIA - PRIMERA A,Millonarios,Once Caldas,CLAUSURA ,1.75,3.4,5.25,1.5,2.5,1.1,7.0,1.44,2.63,2.35,1.57,4.5,1.18,11.0,1.05,2.2,1.62,1.75,2.1,,,7.0,11.0,23.0,51.0,5.5,6.5,19.0,41.0,7.0,9.0,21.0,51.0,13.0,17.0,41.0,81.0,201.0
10,4UGToXph,21/08/2023,21:10,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,Almirante Brown,ROUND 30,2.3,3.1,3.3,1.53,2.38,1.1,7.0,1.44,2.63,2.5,1.5,5.0,1.17,11.0,1.05,2.1,1.67,2.3,1.6,1.35,3.1,7.0,8.0,15.0,34.0,6.5,6.0,13.0,34.0,9.5,10.0,17.0,41.0,21.0,21.0,41.0,67.0,201.0
