,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,13/04/2024,04:00,Eastern AA,Resources Capital,1.12,6.9,21.0
2,HONG KONG - PREMIER LEAGUE,13/04/2024,04:00,Southern District,Hong Kong Rangers,1.9,3.95,3.25
3,PHILIPPINES - PFL,13/04/2024,04:00,Taguig,Philippine Air Force,,,
4,ROMANIA - LIGA 2,13/04/2024,05:00,CSM Resita,Metaloglobus Bucharest,2.25,3.05,3.15
5,MONGOLIA - PREMIER LEAGUE,13/04/2024,05:15,Bavarians,Deren,29.0,15.0,1.04
6,PHILIPPINES - PFL,13/04/2024,06:45,Stallion,Loyola,,,
7,MALTA - PREMIER LEAGUE,13/04/2024,09:00,Floriana,Mosta,1.25,5.2,10.5
8,AZERBAIJAN - PREMIER LEAGUE,13/04/2024,09:30,Gabala,Turan,3.1,3.55,2.07
9,PHILIPPINES - PFL,13/04/2024,09:30,Don Bosco Garelli,Kaya,,,
10,FINLAND - YKKONEN,13/04/2024,09:30,KPV Kokkola,Rovaniemi,1.57,3.75,4.75
11,MOLDOVA - SUPER LIGA,13/04/2024,10:00,Sparta Selemet,Drochia,,,
12,FINLAND - YKKONEN,13/04/2024,10:00,EPS,OLS Oulu,3.0,4.0,1.91
13,SAN MARINO - CAMPIONATO SAMMARINESE,13/04/2024,10:00,Cosmos,Libertas,,,
14,MOLDOVA - SUPER LIGA,13/04/2024,10:00,Saxan Gagauz Yeri,Floresti,,,
15,FINLAND - YKKONEN,13/04/2024,11:00,VIFK,KuPS Akatemia,1.73,3.75,3.6
16,CAMEROON - ELITE ONE,13/04/2024,11:00,Colombe,Yong Sports Academy,,,
17,ENGLAND - LEAGUE ONE,13/04/2024,11:00,Bolton,Portsmouth,2.25,3.4,3.2
18,PORTUGAL - LIGA PORTUGAL,13/04/2024,11:30,Vitoria Guimaraes,SC Farense,1.53,4.0,6.5
19,MOLDOVA - SUPER LIGA,13/04/2024,12:00,Sheriff Tiraspol,Balti,1.3,4.8,7.4
20,FINLAND - YKKONEN,13/04/2024,13:00,Klubi 04,Jazz Pori,1.8,4.0,3.2
21,MOROCCO - BOTOLA PRO,13/04/2024,13:00,Maghreb Fez,Youssoufia Berrechid,1.67,3.25,4.75
22,BRAZIL - BRASILEIRO WOMEN,13/04/2024,15:00,America Mineiro W,Atletico-MG W,1.53,4.0,4.75
23,ARGENTINA - PRIMERA NACIONAL,13/04/2024,15:00,Brown Adrogue,Atletico Atlanta,2.7,2.88,3.0
24,ARGENTINA - PRIMERA NACIONAL,13/04/2024,15:30,Almagro,Defensores Unidos,2.15,3.0,3.8
25,BRAZIL - BRASILEIRO WOMEN,13/04/2024,16:00,Cruzeiro W,Real Brasilia W,1.5,3.85,5.5
26,URUGUAY - PRIMERA DIVISION,13/04/2024,20:00,Maldonado,Cerro Largo,2.38,3.0,3.2
27,USA - MLS,13/04/2024,21:30,Minnesota United,Houston Dynamo,2.1,3.6,3.4
