Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 2,07/10/2023,01:30,Busan,Cheonan City,1.45,4.33,6.5
2,HONG KONG - PREMIER LEAGUE,07/10/2023,04:00,Eastern AA,Sham Shui Po,1.08,8.5,23.0
3,ROMANIA - LIGA 2,07/10/2023,05:00,Mioveni,CSM Resita,1.78,3.5,4.3
4,FINLAND - YKKONEN,07/10/2023,08:00,Jaro,KaPa,1.36,5.0,6.5
5,BULGARIA - PARVA LIGA,07/10/2023,08:45,CSKA Sofia,Levski Sofia,2.2,3.1,3.6
6,NORTH MACEDONIA - 1. MFL,07/10/2023,09:00,Bregalnica Stip,Rabotnicki,2.22,3.1,3.2
7,NORTH MACEDONIA - 1. MFL,07/10/2023,09:00,Voska Sport,Makedonija GP,2.22,2.95,3.3
8,NETHERLANDS - TWEEDE DIVISIE,07/10/2023,09:30,Noordwijk,Jong Almere City,1.65,4.05,4.25
9,SWEDEN - ALLSVENSKAN,07/10/2023,10:00,AIK,Mjallby,1.67,3.75,5.5
10,POLAND - DIVISION 1,07/10/2023,10:00,Podbeskidzie,S. Rzeszow,1.85,3.5,3.75
11,SWEDEN - SUPERETTAN,07/10/2023,10:00,Vasteras SK,Jonkoping,1.36,5.0,8.0
12,UZBEKISTAN - SUPER LEAGUE,07/10/2023,10:30,Nasaf Qarshi,Neftchi Fargona,1.82,3.15,4.5
13,SCOTLAND - PREMIERSHIP,07/10/2023,11:00,Celtic,Kilmarnock,1.18,7.5,13.0
14,AZERBAIJAN - PREMIER LEAGUE,07/10/2023,11:00,Sabah Baku,Araz,1.55,3.7,5.6
15,NORTHERN IRELAND - NIFL PREMIERSHIP,07/10/2023,11:00,Cliftonville,Dungannon,1.25,5.7,9.5
16,ENGLAND - LEAGUE ONE,07/10/2023,11:00,Portsmouth,Port Vale,1.67,4.0,5.0
17,ENGLAND - LEAGUE TWO,07/10/2023,11:00,Colchester,Morecambe,1.91,3.75,3.8
18,ENGLAND - LEAGUE TWO,07/10/2023,11:00,Stockport County,Doncaster,1.5,4.2,7.0
19,NIGERIA - NPFL,07/10/2023,12:00,Bendel,Shooting,1.52,3.3,7.8
20,NIGERIA - NPFL,07/10/2023,12:00,Kano Pillars,Katsina Utd,1.85,3.0,4.55
21,SERBIA - PRVA LIGA,07/10/2023,13:00,Metalac,FK Indjija,2.2,2.9,3.2
22,SPAIN - PRIMERA RFEF,07/10/2023,13:00,Sestao,Cornella,2.2,3.0,3.25
23,ITALY - SERIE C,07/10/2023,13:30,Padova,Pro Patria,1.6,3.5,5.8
24,SPAIN - LALIGA2,07/10/2023,13:30,Racing Santander,Gijon,2.25,3.2,3.5
25,SPAIN - PRIMERA RFEF,07/10/2023,14:00,Teruel,Arenteiro,2.2,3.0,3.25
26,MONTENEGRO - PRVA CRNOGORSKA LIGA,07/10/2023,14:00,Mornar Bar,Mladost DG,1.87,3.15,4.2
27,ECUADOR - LIGA PRO,07/10/2023,15:00,Tecnico U.,Orense,1.73,3.4,4.5
28,ARGENTINA - PRIMERA NACIONAL,07/10/2023,15:30,Almagro,Patronato,1.91,3.1,4.0
29,ANDORRA - PRIMERA DIVISIÓ,07/10/2023,15:30,Pas de la Casa,Esperanca,1.35,4.75,6.3
30,SPAIN - LALIGA2,07/10/2023,16:00,Leganes,R. Oviedo,2.45,2.9,3.4
31,BRAZIL - SERIE B,07/10/2023,17:00,Botafogo SP,Avai,2.12,2.8,3.95
32,PERU - LIGA 1,07/10/2023,17:00,Deportivo Garcilaso,AD Cantolao,1.14,6.5,17.0
33,ECUADOR - LIGA PRO,07/10/2023,17:30,Emelec,Cumbaya,1.5,3.8,5.5
34,PANAMA - LPF,07/10/2023,18:00,Tauro,Miguelito,2.02,3.25,3.45
35,BRAZIL - SERIE B,07/10/2023,18:00,Guarani,Vila Nova FC,1.95,3.0,4.2
36,ARGENTINA - PRIMERA NACIONAL,07/10/2023,18:10,Temperley,Deportivo Moron,2.15,2.88,4.2
37,NICARAGUA - LIGA PRIMERA,07/10/2023,20:00,Ferretti,Jalapa,1.74,3.77,4.46
38,USA - USL CHAMPIONSHIP,07/10/2023,20:30,Louisville City,Hartford Athletic,1.33,5.1,7.5
39,USA - MLS,07/10/2023,20:30,Philadelphia Union,Nashville SC,1.75,3.9,4.5
40,USA - MLS,07/10/2023,21:30,FC Dallas,San Jose Earthquakes,1.91,3.5,4.0
41,NICARAGUA - LIGA PRIMERA,07/10/2023,22:00,Diriangen,Matagalpa,1.29,5.53,9.45
42,COLOMBIA - PRIMERA A,07/10/2023,22:20,Santa Fe,Aguilas,1.91,3.4,4.2
