,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ARMENIA - PREMIER LEAGUE,10/12/2023,07:00,West Armenia,Alashkert,8.5,4.9,1.27
2,SERBIA - SUPER LIGA,10/12/2023,09:00,Radnik,Vozdovac,2.72,3.0,2.65
3,NORTH MACEDONIA - 1. MFL,10/12/2023,09:00,Voska Sport,Rabotnicki,2.4,3.15,2.82
4,SLOVENIA - PRVA LIGA,10/12/2023,09:00,Bravo,Rogaska,1.78,3.65,4.05
5,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,10/12/2023,09:00,Igman K.,Tuzla City,2.45,3.3,2.65
6,BELGIUM - CHALLENGER PRO LEAGUE,10/12/2023,09:30,Beerschot VA,Deinze,2.38,3.5,2.8
7,ANDORRA - PRIMERA DIVISIÓ,10/12/2023,09:30,Inter Escaldes,Esperanca,1.03,10.75,23.0
8,BULGARIA - PARVA LIGA,10/12/2023,10:00,Botev Plovdiv,Hebar,1.25,5.0,12.0
9,AUSTRIA - BUNDESLIGA,10/12/2023,10:30,BW Linz,Tirol,1.95,3.6,4.0
10,PORTUGAL - LIGA PORTUGAL 2,10/12/2023,11:00,Os Belenenses,Oliveirense,2.38,3.4,2.88
11,MOROCCO - BOTOLA PRO,10/12/2023,12:00,Chabab Mohammedia,Mouloudia Oujda,2.15,3.0,3.4
12,GHANA - PREMIER LEAGUE,10/12/2023,12:00,Nsoatreman,Karela,,,
13,BELGIUM - CHALLENGER PRO LEAGUE,10/12/2023,12:00,RFC Liege,Francs Borains,1.7,3.6,4.2
14,IVORY COAST - LIGUE 1,10/12/2023,12:30,Korhogo,Sporting Gagnoa,,,
15,SENEGAL - LIGUE 1,10/12/2023,13:30,Mbour,Diambars,2.27,2.65,3.4
16,SENEGAL - LIGUE 1,10/12/2023,13:30,Pikine,Sonacos,2.35,2.62,3.35
17,SENEGAL - LIGUE 1,10/12/2023,13:30,Ouakam,Guediawaye,2.67,2.62,2.82
18,SPAIN - PRIMERA RFEF,10/12/2023,16:00,Murcia,Antequera,2.15,3.0,3.1
19,JAMAICA - PREMIER LEAGUE,10/12/2023,17:00,Vere United,Humble Lions,3.4,3.45,1.98
20,JAMAICA - PREMIER LEAGUE,10/12/2023,17:00,Treasure Beach,Montego Bay,2.55,3.2,2.62
21,JAMAICA - PREMIER LEAGUE,10/12/2023,20:00,Waterhouse,Portmore,2.55,3.1,2.7
