,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,19/08/2023,07:30,Cheongju,Gimpo FC,3.0,2.9,2.38,2.6,1.48,2.1,1.04,1.67,1.1,1.4,0.9,0.5,0.33333334,0.3448276,0.42016807,0.3846154,0.6756757,0.962,0.105192564,0.2,0.9,0,0.5835
2,SWEDEN - ALLSVENSKAN,19/08/2023,10:00,Brommapojkarna,Halmstad,2.0,3.5,3.75,1.88,1.98,1.7,1.13,2.05,1.4,1.2,1.1,1.8,0.5,0.2857143,0.26666668,0.5319149,0.5050505,0.885,0.30157617,0.3,-0.6,0,0.6536
3,BELGIUM - CHALLENGER PRO LEAGUE,19/08/2023,11:00,Beerschot VA,Waregem,2.5,3.25,2.5,1.6,2.3,1.5,1.2,2.5,1.4,0.7,1.3,2.3,0.4,0.30769232,0.4,0.625,0.4347826,0.833,0.11785113,0.1,-1.6,0,0.969
4,SCOTLAND - LEAGUE TWO,19/08/2023,11:00,Spartans,Elgin City,1.57,3.8,4.5,1.73,2.08,1.8,1.17,1.91,1.0,0.5,0.5,2.2,0.6369427,0.2631579,0.22222222,0.5780347,0.48076922,0.855,0.49879318,0.5,-1.7,0,0.8785
5,SCOTLAND - LEAGUE TWO,19/08/2023,11:00,Dumbarton,Forfar Athletic,2.45,3.4,2.45,2.05,1.75,1.83,1.08,1.83,0.8,1.2,0.9,1.1,0.40816328,0.29411766,0.40816328,0.4878049,0.5714286,0.926,0.14524356,-0.1,0.1,0,0.5395
6,SCOTLAND - LEAGUE TWO,19/08/2023,11:00,Clyde,Peterhead,2.55,3.4,2.3,1.9,1.95,1.73,1.13,2.0,1.1,1.4,0.3,3.1,0.39215687,0.29411766,0.4347826,0.5263158,0.51282054,0.885,0.15759987,0.8,-1.7,0,0.7109
7,SCOTLAND - LEAGUE TWO,19/08/2023,11:00,Bonnyrigg Rose,Stranraer,2.4,3.4,2.5,2.05,1.75,1.83,1.08,1.83,1.1,1.5,0.8,1.6,0.41666666,0.29411766,0.4,0.4878049,0.5714286,0.926,0.14657216,0.3,-0.1,0,0.596
8,SPAIN - LALIGA2,19/08/2023,14:00,Espanyol,Racing Santander,1.8,3.5,4.75,2.25,1.62,2.1,1.07,1.67,1.4,1.7,0.8,1.6,0.5555556,0.2857143,0.21052632,0.44444445,0.61728394,0.935,0.42253816,0.6,0.1,0,0.7274
9,AUSTRIA - BUNDESLIGA,19/08/2023,14:30,A. Klagenfurt,Altach,1.75,3.75,4.33,1.7,2.1,1.67,1.17,2.1,1.0,1.5,0.6,1.6,0.5714286,0.26666668,0.23094688,0.5882353,0.47619048,0.855,0.42874706,0.4,-0.1,0,0.5492
10,SPAIN - LALIGA2,19/08/2023,14:30,Levante,Burgos CF,1.67,3.5,6.0,2.4,1.53,2.38,1.05,1.53,1.4,0.5,0.4,1.0,0.5988024,0.2857143,0.16666667,0.41666666,0.6535948,0.952,0.52013004,1.0,-0.5,0,0.5394
11,ARGENTINA - PRIMERA NACIONAL,19/08/2023,15:00,CA Estudiantes,Atl. Rafaela,2.5,3.1,3.0,2.5,1.5,2.1,1.05,1.67,1.0,1.1,1.0,0.9,0.4,0.32258064,0.33333334,0.4,0.6666667,0.952,0.09729182,0.0,0.2,0,0.5674
12,ARGENTINA - PRIMERA NACIONAL,19/08/2023,15:00,Tristan Suarez,Aldosivi,2.05,3.6,3.5,2.15,1.67,1.91,1.07,1.8,1.0,1.9,1.1,1.8,0.4878049,0.2777778,0.2857143,0.4651163,0.5988024,0.935,0.27734625,-0.1,0.1,0,0.6628
13,ARGENTINA - PRIMERA NACIONAL,19/08/2023,15:00,Brown Adrogue,Deportivo Madryn,2.1,2.8,4.5,2.7,1.44,2.25,1.04,1.57,1.1,0.4,0.8,0.9,0.47619048,0.35714287,0.22222222,0.37037036,0.6944444,0.962,0.29486725,0.3,-0.5,0,0.6134
14,BELGIUM - CHALLENGER PRO LEAGUE,19/08/2023,15:00,Deinze,Oostende,2.55,3.4,2.3,1.7,2.1,1.57,1.17,2.25,2.4,1.7,1.0,3.3,0.39215687,0.29411766,0.4347826,0.5882353,0.47619048,0.855,0.15759987,1.4,-1.6,0,0.8051
15,ARGENTINA - COPA DE LA LIGA PROFESIONAL,19/08/2023,16:30,Independiente,Colon Santa Fe,2.05,3.1,4.0,2.7,1.44,2.25,1.04,1.57,1.5,0.8,0.5,1.0,0.4878049,0.32258064,0.25,0.37037036,0.6944444,0.962,0.2815265,1.0,-0.2,0,0.5871
16,ARGENTINA - COPA DE LA LIGA PROFESIONAL,19/08/2023,21:00,Velez Sarsfield,Barracas Central,2.2,3.1,3.4,2.6,1.48,2.2,1.04,1.62,1.2,0.8,0.8,1.2,0.45454547,0.32258064,0.29411766,0.3846154,0.6756757,0.962,0.19572671,0.4,-0.4,0,0.7805
