,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SPAIN - PRIMERA RFEF,01/10/2023,07:00,Algeciras,Sanluqueno,1.95,3.25,3.5
2,HONG KONG - PREMIER LEAGUE,01/10/2023,08:00,Lee Man Warriors,Hong Kong Rangers,1.42,4.65,5.8
3,BELGIUM - CHALLENGER PRO LEAGUE,01/10/2023,08:30,Waregem,Club Brugge KV U23,1.53,4.2,4.5
4,NORTH MACEDONIA - 1. MFL,01/10/2023,09:00,Rabotnicki,Tikves,1.95,3.2,3.75
5,NORTH MACEDONIA - 1. MFL,01/10/2023,09:00,KF Gostivar,Shkendija,4.25,3.5,1.75
6,NORTH MACEDONIA - 1. MFL,01/10/2023,09:00,Shkupi,Struga,1.93,3.15,3.9
7,SWITZERLAND - CHALLENGE LEAGUE,01/10/2023,09:15,Bellinzona,Stade Nyonnais,2.32,3.5,2.75
8,SWITZERLAND - CHALLENGE LEAGUE,01/10/2023,09:15,Baden,Schaffhausen,2.8,3.65,2.22
9,SERBIA - PRVA LIGA,01/10/2023,10:00,Smederevo,RFK Novi Sad,1.53,3.75,5.3
10,SAN MARINO - CAMPIONATO SAMMARINESE,01/10/2023,10:00,San Marino Academy U22,Pennarossa,,,
11,NORWAY - OBOS-LIGAEN,01/10/2023,10:00,Moss,Hodd,1.95,3.6,3.75
12,GHANA - PREMIER LEAGUE,01/10/2023,12:00,Legon Cities,Aduana,1.85,2.95,4.3
13,MOLDOVA - SUPER LIGA,01/10/2023,12:00,Milsami,Floresti,1.53,3.8,5.3
14,FINLAND - VEIKKAUSLIIGA,01/10/2023,12:00,KuPS,SJK,1.73,3.75,4.75
15,MALTA - PREMIER LEAGUE,01/10/2023,12:00,Sliema,Marsaxlokk,3.2,3.5,2.02
16,MALTA - PREMIER LEAGUE,01/10/2023,12:15,Gudja,Gzira,3.85,3.55,1.82
17,SPAIN - PRIMERA RFEF,01/10/2023,13:00,Unionistas,R. Union,2.4,3.0,2.75
18,SLOVAKIA - NIKE LIGA,01/10/2023,13:00,Dun. Streda,Trnava,2.05,3.45,3.4
19,ESTONIA - MEISTRILIIGA,01/10/2023,13:00,Levadia,Narva,1.26,4.9,9.0
20,PORTUGAL - LIGA PORTUGAL 2,01/10/2023,14:00,Feirense,Pacos Ferreira,2.9,3.25,2.25
21,SPAIN - PRIMERA RFEF,01/10/2023,14:00,Arenteiro,Tarazona,1.85,3.0,4.0
22,MOROCCO - BOTOLA PRO,01/10/2023,14:15,Youssoufia Berrechid,Mouloudia Oujda,2.2,2.88,3.2
23,MOROCCO - BOTOLA PRO,01/10/2023,14:15,Maghreb Fez,Jeunesse Sportive Soualem,2.15,2.9,3.25
24,GHANA - PREMIER LEAGUE,01/10/2023,15:00,Asante Kotoko,Karela,1.75,3.15,4.45
25,BRAZIL - SERIE B,01/10/2023,15:45,Vila Nova FC,Chapecoense-SC,1.7,3.2,5.7
26,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,01/10/2023,15:45,Borac Banja Luka,Velez Mostar,1.6,3.6,5.4
27,ARGENTINA - PRIMERA NACIONAL,01/10/2023,16:00,Gimnasia Jujuy,Atletico Atlanta,1.91,3.25,4.33
28,NICARAGUA - LIGA PRIMERA,01/10/2023,18:00,Matagalpa,UNAN-Managua,2.32,3.3,2.82
