League,Date,Time,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under05_HT,Odd_Over05_HT,Odd_Under15_HT,Odd_Over15_HT,Odd_Under25_HT,Odd_Over25_HT,Odd_Under05,Odd_Over05,Odd_Under15,Odd_Over15,Odd_Under25,Odd_Over25,Odd_Under45,Odd_Over45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0,Odd_CS_0x1,Odd_CS_0x2,Odd_CS_0x3,Odd_CS_1x0,Odd_CS_1x1,Odd_CS_1x2,Odd_CS_1x3,Odd_CS_2x0,Odd_CS_2x1,Odd_CS_2x2,Odd_CS_2x3,Odd_CS_3x0,Odd_CS_3x1,Odd_CS_3x2,Odd_CS_3x3,Odd_CS_Goleada_H,Odd_CS_Goleada_A,Odd_CS_Goleada_D,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
Italian Serie A,2024-05-12,07:30:00,Lazio,Empoli,1.66,6.2,4.1,3.0,1.44,1.42,3.0,1.11,8.0,12.5,1.08,3.75,1.34,1.93,2.02,1.13,7.8,2.04,1.9,12.5,17.5,44.0,46.0,7.6,8.6,21.0,80.0,8.6,9.6,22.0,85.0,14.5,16.5,36.0,100.0,9.4,100.0,38.0,0.60240966,0.24390244,0.16129032,0.4950495,0.5181347,0.49019608,0.5263158,2.4698796,3.7349398,0.40487805,1.5121951,0.26774195,0.66129035,0.49268293,0.4707317,0.5700688,0.4236111,0.57760817,0.2038835,0.3398693,0.26774195,1.5121951,0.40487805,0.8217822,3.0693069,0.49268293,0.99019605,11.96,-0.20401338,0.17558528,0.13879599,0.51839465,0.56993,2.272121,0.6007653,5.565537,50.65948,0.12727922,2.576572,5.565537,2.1,2.44,1,1.0
Estonian Premier League,2024-05-12,08:30:00,FCI Tallinn,Nomme Kalju,1.43,6.4,4.0,3.05,1.34,1.54,2.46,1.12,5.5,7.6,1.01,2.24,1.01,2.24,1.69,1.18,2.68,1.84,1.84,3.1,4.2,4.2,3.5,3.6,9.6,4.2,3.45,7.6,7.8,3.15,4.2,10.0,11.0,3.25,3.45,2.86,3.45,3.5,0.6993007,0.25,0.15625,0.591716,0.44642857,0.54347825,0.54347825,2.7972028,4.4755244,0.3575,1.6,0.2234375,0.625,0.4225,0.56,0.6431459,0.4732965,0.6347382,0.23076923,0.4059754,0.2234375,1.6,0.3575,0.84615386,3.7869823,0.4225,0.91847825,11.83,-0.2172443,0.20287405,0.12087912,0.54099745,0.6303004,2.4854846,0.68673474,6.0881686,52.109585,0.7778175,-15.376251,6.0881686,2.4,2.57,1,1.0
Belgian First Division A,2024-05-12,08:30:00,Gent,Oud-Heverlee Leuven,1.43,6.8,5.6,4.5,1.23,1.84,2.04,1.25,4.4,21.0,1.02,7.2,1.11,3.25,1.37,1.4,3.25,1.59,2.52,7.4,7.6,8.2,8.8,13.5,12.5,7.8,8.2,11.0,9.8,16.0,8.0,13.0,12.0,21.0,9.2,2.88,7.8,9.0,0.6993007,0.17857143,0.14705883,0.729927,0.30769232,0.6289308,0.3968254,3.9160838,4.7552447,0.25535715,1.2142857,0.21029411,0.8235294,0.24464285,0.58035713,0.7412072,0.59317213,0.6524909,0.09677419,0.6068867,0.21029411,1.2142857,0.25535715,1.0437956,4.963504,0.24464285,0.8616352,13.83,-0.30151844,0.0867679,0.10339841,0.49168473,0.61140203,2.8185635,0.74062,6.9040422,64.37686,2.6587214,-43.22853,6.9040422,1.2,4.17,1,1.0
German Bundesliga 2,2024-05-12,08:30:00,Braunschweig,Wehen Wiesbaden,2.1,3.7,3.75,3.25,1.38,1.5,2.72,1.13,7.2,14.0,1.06,4.3,1.27,2.12,1.81,1.15,3.0,1.7,2.28,14.5,14.5,25.0,44.0,10.0,7.6,14.0,34.0,12.5,9.8,15.0,34.0,23.0,18.5,29.0,48.0,11.5,26.0,16.5,0.47619048,0.26666668,0.27027026,0.5524862,0.4716981,0.5882353,0.4385965,1.7857143,1.7619047,0.56,0.9866667,0.5675676,1.0135136,0.48266667,0.5653333,0.28998962,0.2820513,0.27586207,0.0067114094,0.34892085,0.5675676,0.9866667,0.56,1.160221,2.044199,0.48266667,1.0647058,9.55,-0.17277487,-0.005235602,0.21989529,0.38743454,0.29482532,0.9385272,0.36230552,2.2989128,39.522633,0.4384062,-8.810733,2.2989128,0.05,1.65,1,1.0
German Bundesliga 2,2024-05-12,08:30:00,Karlsruhe,Hannover,2.08,3.45,4.1,3.8,1.28,1.66,2.24,1.18,5.1,22.0,1.03,5.7,1.17,2.88,1.49,1.27,3.75,1.51,2.76,24.0,21.0,27.0,46.0,14.0,9.6,14.0,29.0,15.0,10.0,13.5,30.0,23.0,16.0,22.0,40.0,7.8,16.0,12.0,0.48076922,0.24390244,0.28985506,0.67114097,0.3472222,0.66225165,0.36231884,1.9711539,1.6586539,0.50731707,0.8414634,0.60289854,1.1884058,0.36341465,0.702439,0.30327243,0.32686085,0.2477396,0.08609272,0.46690518,0.60289854,0.8414634,0.50731707,1.3959732,2.3154361,0.36341465,0.98675495,9.63,-0.20976116,-0.0674974,0.21599169,0.35825545,0.321235,1.0311644,0.4329218,2.5258267,45.28505,1.9657569,-34.7993,2.5258267,0.65,2.02,1,1.0
German Bundesliga 2,2024-05-12,08:30:00,St Pauli,VfL Osnabruck,1.25,14.0,7.6,4.5,1.26,1.77,2.14,1.23,4.6,22.0,1.02,6.4,1.13,3.05,1.44,1.36,3.5,2.02,1.91,14.5,48.0,20.0,23.0,11.0,16.0,44.0,21.0,8.2,10.5,26.0,20.0,9.2,12.0,24.0,21.0,3.05,21.0,24.0,0.8,0.13157895,0.071428575,0.6944444,0.32786885,0.4950495,0.5235602,6.08,11.2,0.16447368,1.8421053,0.08928572,0.54285717,0.18947369,0.40131578,0.98759586,0.7175141,0.8360656,0.2962963,0.6814159,0.08928572,1.8421053,0.16447368,0.8680556,9.722222,0.18947369,0.7128713,22.85,-0.27789935,0.28008753,0.054704595,0.61269146,0.8369824,6.375016,0.996692,15.615537,72.517624,2.2768838,-38.834064,15.615537,6.4,6.35,1,1.0
Danish Superliga,2024-05-12,09:00:00,Randers,Hvidovre,1.46,7.0,5.1,3.55,1.31,1.63,2.34,1.15,5.7,15.0,1.03,2.42,1.12,2.42,1.52,1.24,4.0,1.69,2.06,18.0,4.9,4.4,4.5,9.2,10.5,21.0,4.5,8.4,7.6,16.0,4.5,11.0,11.5,20.0,4.6,2.64,4.4,4.5,0.6849315,0.19607843,0.14285715,0.65789473,0.41322315,0.591716,0.4854369,3.4931507,4.7945204,0.28627452,1.372549,0.20857143,0.7285714,0.29803923,0.4745098,0.7148234,0.55487806,0.6548463,0.1570248,0.5407855,0.20857143,1.372549,0.28627452,0.9605263,4.605263,0.29803923,0.8994083,13.56,-0.26843658,0.14011799,0.107669614,0.5162242,0.6228259,2.8151731,0.7280414,6.8957376,61.213383,1.2727922,-24.227745,6.8957376,1.9,3.64,1,1.0
Danish Superliga,2024-05-12,09:00:00,Viborg,Vejle,1.87,4.3,3.75,2.96,1.4,1.46,2.8,1.11,7.4,10.0,1.06,3.65,1.28,1.91,1.87,1.12,5.9,1.77,2.08,12.5,13.5,6.4,6.6,7.8,7.6,14.5,6.2,9.8,9.0,15.5,6.4,17.0,16.0,6.4,6.6,4.6,6.2,7.0,0.53475934,0.26666668,0.23255815,0.53475934,0.5235602,0.56497175,0.48076922,2.0053475,2.2994652,0.49866667,1.1466666,0.4348837,0.872093,0.49866667,0.5093333,0.39209175,0.33451957,0.39384118,0.06832298,0.33451957,0.4348837,1.1466666,0.49866667,1.0,2.2994652,0.49866667,1.0564972,9.92,-0.18951613,0.055443548,0.18850806,0.43346775,0.3853484,1.2742187,0.42893583,3.1211858,43.22853,0.05656854,-1.1457628,3.1211858,0.55,1.88,1,1.0
Spanish Segunda Division,2024-05-12,09:00:00,Amorebieta,Villarreal B,2.52,3.1,3.35,2.96,1.42,1.41,2.98,1.09,8.4,3.4,1.06,3.4,1.32,1.84,1.98,1.1,3.4,1.8,2.12,10.5,10.5,17.0,8.0,9.4,7.0,12.0,8.0,14.0,10.5,15.5,8.0,8.0,22.0,7.8,8.6,6.8,7.4,9.4,0.3968254,0.29850745,0.32258064,0.5050505,0.54347825,0.5555556,0.4716981,1.3293651,1.2301587,0.7522388,0.92537314,0.8129032,1.0806452,0.5910448,0.5492537,0.1233226,0.14139694,0.10320285,0.03875969,0.25703564,0.8129032,0.92537314,0.7522388,1.2727273,1.5656565,0.5910448,1.1,8.97,-0.09253066,-0.02787068,0.28093645,0.34559643,0.14240581,0.42579338,0.22396348,1.0429765,22.53845,0.1979899,4.004173,1.0429765,0.25,0.83,1,1.0
Swedish Allsvenskan,2024-05-12,09:00:00,Norrkoping,Hammarby,2.64,2.68,3.7,3.4,1.36,1.54,2.62,1.14,6.8,14.0,1.05,4.5,1.25,2.2,1.77,1.16,5.5,1.67,2.44,16.0,11.5,17.5,9.8,12.0,8.0,11.0,19.5,17.0,11.0,14.0,9.8,9.6,21.0,9.4,10.5,7.4,7.6,12.0,0.37878788,0.27027026,0.37313432,0.56497175,0.45454547,0.5988024,0.40983605,1.4015151,1.0151515,0.7135135,0.72432435,0.98507464,1.380597,0.4783784,0.5945946,0.14638114,0.16719243,0.007518797,0.1598746,0.35283363,0.98507464,0.72432435,0.7135135,1.4915254,1.5141243,0.4783784,1.0598803,9.02,-0.11751663,-0.11308204,0.29268292,0.29711753,0.19981506,0.60077727,0.29259577,1.4715978,27.92359,0.60811186,-12.133881,1.4715978,1.02,1.06,1,1.0
