,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
4,29/07/2023,08:35,CHINA - SUPER LEAGUE,Meizhou Hakka,Dalian Pro,1.57,4.0,5.5,1.8,1.8
3,29/07/2023,13:00,BULGARIA - PARVA LIGA,Hebar,Beroe,2.5,3.1,3.0,2.35,2.0
5,29/07/2023,13:45,CROATIA - HNL,Gorica,Lok. Zagreb,2.2,3.3,3.1,1.88,1.67
1,29/07/2023,14:30,ARGENTINA - LIGA PROFESIONAL,Central Cordoba,Atl. Tucuman,2.4,3.0,3.4,2.7,2.2
7,29/07/2023,15:30,MONTENEGRO - PRVA CRNOGORSKA LIGA,Jedinstvo,Rudar,2.02,3.3,3.32,1.93,1.74
6,29/07/2023,16:00,CROATIA - HNL,Istra 1961,D. Zagreb,5.25,4.0,1.5,2.03,2.1
2,29/07/2023,17:00,BRAZIL - SERIE B,ABC,Londrina,1.98,3.2,4.22,2.65,2.25
8,29/07/2023,17:15,PERU - LIGA 1,Cajamarca,Union Comercio,1.57,4.0,6.0,1.75,1.8
9,29/07/2023,23:00,USA - USL CHAMPIONSHIP,Monterey Bay,Phoenix Rising,1.96,3.5,3.52,1.86,1.69
