,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SERBIA - PRVA LIGA,03/04/2024,11:00,Smederevo,Tekstilac Odzaci,2.4,2.8,3.0
2,SERBIA - PRVA LIGA,03/04/2024,11:00,Mladost GAT,OFK Beograd,3.1,3.35,2.05
3,ITALY - SERIE C,03/04/2024,11:15,Triestina,Atalanta U23,2.05,3.1,3.75
4,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,03/04/2024,16:00,Al Fateh,Al Ettifaq,3.1,3.75,1.95
5,EGYPT - PREMIER LEAGUE,03/04/2024,17:00,Ceramica Cleopatra,ZED,1.87,3.15,4.25
6,SOUTH AMERICA - COPA LIBERTADORES,03/04/2024,19:00,Nacional (Uru),Libertad Asuncion (Par),2.32,3.3,3.2
7,SOUTH AMERICA - COPA LIBERTADORES,03/04/2024,19:00,Botafogo RJ (Bra),Junior (Col),1.6,3.9,6.1
8,SOUTH AMERICA - COPA LIBERTADORES,03/04/2024,19:00,Huachipato (Chi),Estudiantes L.P. (Arg),3.3,3.3,2.25
9,SOUTH AMERICA - COPA SUDAMERICANA,03/04/2024,19:00,Cuiaba (Bra),Lanus (Arg),2.3,3.2,3.25
10,SOUTH AMERICA - COPA SUDAMERICANA,03/04/2024,19:00,Rayo Zuliano (Ven),Danubio (Uru),3.6,3.4,2.1
11,SOUTH AMERICA - COPA SUDAMERICANA,03/04/2024,21:00,Nacional Potosi (Bol),Boca Juniors (Arg),2.15,3.3,3.5
12,SOUTH AMERICA - COPA SUDAMERICANA,03/04/2024,21:00,Sportivo Trinidense (Par),Fortaleza (Bra),5.5,3.75,1.67
13,SOUTH AMERICA - COPA SUDAMERICANA,03/04/2024,21:00,Bragantino (Bra),Coquimbo (Chi),1.33,5.0,10.0
14,SOUTH AMERICA - COPA LIBERTADORES,03/04/2024,21:30,Alianza Lima (Per),Fluminense (Bra),4.85,3.5,1.8
15,SOUTH AMERICA - COPA SUDAMERICANA,03/04/2024,23:00,Alianza (Col),Union La Calera (Chi),2.0,3.1,4.33
