,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,26/07/2023,15:30,SWITZERLAND - SUPER LEAGUE,Lausanne Ouchy,Lugano,3.4,3.6,2.05,1.73,1.62
2,26/07/2023,20:00,USA - USL CHAMPIONSHIP,Pittsburgh,Indy Eleven,1.63,3.64,5.22,2.13,2.03
