,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,MEXICO - LIGA MX,19/08/2023,00:00,U.N.A.M.- Pumas,Toluca,2.6,3.5,2.6,1.57,2.35,1.5,2.5,1.6,1.4282857,0.602,1.4,1.356466,0.894,0.3846154,0.2857143,0.3846154,0.6369427,0.42553192,0.13258252,0.2,2.785,1,0.6272
2,MEXICO - LIGA MX,19/08/2023,00:10,Juarez,Guadalajara Chivas,2.63,3.25,2.75,2.25,1.62,1.95,1.8,1.5,1.2845232,0.869,1.8,1.2489996,0.797,0.38022813,0.30769232,0.36363637,0.44444445,0.61728394,0.08852958,-0.3,2.534,1,0.786
3,ROMANIA - LIGA 2,19/08/2023,05:00,Progresul Spartac,Concordia,8.35,5.1,1.31,1.7,2.13,2.17,1.66,1.1,1.0440307,0.769,1.1,1.3,1.306,0.119760476,0.19607843,0.7633588,0.5882353,0.46948355,0.79809964,0.0,2.344,1,0.5545
4,ROMANIA - LIGA 2,19/08/2023,05:00,Metaloglobus Bucharest,CSM Slatina,2.46,3.02,2.93,2.49,1.52,2.03,1.75,1.9,1.1357816,0.746,1.0,1.0954452,1.32,0.40650406,0.33112583,0.34129694,0.40160644,0.65789473,0.09285739,0.9,2.231,1,0.51
5,INDONESIA - LIGA 1,19/08/2023,05:00,Persikabo 1973,Madura United,2.91,3.48,2.23,1.76,2.04,1.59,2.29,1.3,1.1874342,1.255,1.3,1.1874342,0.754,0.34364262,0.28735632,0.44843048,0.5681818,0.49019608,0.18549958,0.0,2.375,1,0.5064
6,SOUTH KOREA - K LEAGUE 2,19/08/2023,07:00,Ansan Greeners,Asan,3.6,3.4,1.91,1.98,1.83,1.8,1.91,0.8,1.1661904,0.64,0.8,1.1661904,1.019,0.2777778,0.29411766,0.5235602,0.5050505,0.5464481,0.30729696,0.0,2.332,1,0.7628
7,PORTUGAL - LIGA PORTUGAL 2,19/08/2023,07:00,Mafra,Pacos Ferreira,2.63,3.25,2.45,1.93,1.93,1.73,2.0,1.6,1.2,0.598,1.1,1.3,1.079,0.38022813,0.30769232,0.40816328,0.5181347,0.5181347,0.115893036,0.5,2.5,1,0.8556
8,SOUTH KOREA - K LEAGUE 1,19/08/2023,07:00,Gangwon,Suwon FC,2.15,3.3,2.88,1.8,2.0,1.62,2.2,0.6,0.48989794,0.125,0.3,0.9,0.745,0.4651163,0.3030303,0.3472222,0.5555556,0.5,0.18401162,0.3,1.39,1,0.5272
9,SINGAPORE - PREMIER LEAGUE,19/08/2023,07:00,Geylang,Young Lions,1.36,5.0,5.75,1.2,4.33,1.33,3.25,1.3,1.4177446,0.367,0.0,0.0,1.134,0.7352941,0.2,0.17391305,0.8333333,0.23094688,0.6997109,1.3,1.418,1,0.5057
10,SOUTH KOREA - K LEAGUE 2,19/08/2023,07:30,Cheongju,Gimpo FC,3.0,2.9,2.38,2.6,1.48,2.1,1.67,1.5,1.2845232,1.128,1.9,1.1357816,1.17,0.33333334,0.3448276,0.42016807,0.3846154,0.6756757,0.105192564,-0.4,2.42,1,0.7161
11,SOUTH KOREA - K LEAGUE 1,19/08/2023,07:30,Seoul,Daegu,2.0,3.25,3.4,2.1,1.7,1.83,1.83,1.3,1.1874342,1.371,1.2,1.2489996,0.753,0.5,0.30769232,0.29411766,0.47619048,0.5882353,0.2559909,0.1,2.436,1,0.5135
12,SWEDEN - SUPERETTAN,19/08/2023,08:00,Landskrona,Brage,2.25,3.4,2.8,1.8,2.0,1.62,2.2,1.8,1.2489996,0.467,0.5,0.92195445,1.08,0.44444445,0.29411766,0.35714287,0.5555556,0.5,0.16875939,1.3,2.171,1,0.596
13,CHINA - SUPER LEAGUE,19/08/2023,08:35,Chengdu Rongcheng,Wuhan Three Towns,2.3,3.5,3.0,1.73,2.08,1.62,2.2,2.1,1.1357816,0.681,1.6,1.2,0.659,0.4347826,0.2857143,0.33333334,0.5780347,0.48076922,0.17697003,0.5,2.336,1,0.8546
14,CHINA - SUPER LEAGUE,19/08/2023,08:35,Beijing Guoan,Shanghai Shenhua,2.3,3.3,3.2,2.15,1.67,1.91,1.91,1.9,1.1357816,0.915,1.7,1.3453624,0.436,0.4347826,0.3030303,0.3125,0.4651163,0.5988024,0.17138115,0.2,2.481,1,0.6506
15,CHINA - SUPER LEAGUE,19/08/2023,08:35,Shenzhen,Nantong Zhiyun,4.5,3.6,1.8,1.88,1.98,1.8,1.95,1.0,1.3416408,0.927,0.5,0.5,0.749,0.22222222,0.2777778,0.5555556,0.5319149,0.5050505,0.41442147,0.5,1.842,1,0.6488
16,RUSSIA - PREMIER LEAGUE,19/08/2023,09:00,Dynamo Moscow,CSKA Moscow,2.72,3.79,2.61,1.75,2.26,1.56,2.36,1.5,1.5,0.797,1.4,1.356466,0.683,0.36764705,0.26385224,0.38314176,0.5714286,0.44247788,0.15658921,0.1,2.856,1,0.5513
17,INDONESIA - LIGA 1,19/08/2023,09:00,Persis Solo,Bali United,2.59,3.64,2.35,1.57,2.38,1.46,2.63,1.4,1.1135529,0.627,1.3,1.4177446,0.694,0.38610038,0.2747253,0.42553192,0.6369427,0.42016807,0.17634839,0.1,2.531,1,0.5056
18,NETHERLANDS - TWEEDE DIVISIE,19/08/2023,09:30,Excelsior Maassluis,Hardenberg,4.55,4.6,1.57,1.5,2.45,1.57,2.34,1.0,1.3416408,1.114,1.5,1.2845232,0.801,0.21978022,0.2173913,0.6369427,0.6666667,0.40816328,0.550829,-0.5,2.626,1,0.7484
19,NORWAY - OBOS-LIGAEN,19/08/2023,10:00,Jerv,Sandnes,2.1,3.6,3.4,1.53,2.4,1.44,2.63,1.5,1.2845232,0.642,1.4,1.356466,0.814,0.47619048,0.2777778,0.29411766,0.6535948,0.41666666,0.2574094,0.1,2.641,1,0.5519
20,SWEDEN - ALLSVENSKAN,19/08/2023,10:00,Degerfors,Goteborg,2.75,3.5,2.5,1.88,1.98,1.7,2.05,1.2,1.2489996,0.971,0.7,0.9,1.122,0.36363637,0.2857143,0.4,0.5319149,0.5050505,0.13629603,0.5,2.149,1,0.8064
