Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,26/08/2023,05:00,HONG KONG - PREMIER LEAGUE,Eastern AA,Tai Po,1.3,5.15,8.65,1.54,1.87,1.89,1.01,1.24,1.14,4.1,1.18
25,26/08/2023,05:00,ROMANIA - LIGA 2,Gloria Buzau,Metaloglobus Bucharest,1.63,3.64,5.22,2.14,2.04,1.74,1.05,1.44,1.34,8.1,1.04
24,26/08/2023,08:35,CHINA - SUPER LEAGUE,Zhejiang Professional,Dalian Pro,1.6,4.0,5.5,1.67,1.75,2.0,1.03,1.3,1.2,5.0,1.17
23,26/08/2023,09:00,RUSSIA - PREMIER LEAGUE,Zenit,Ural,1.55,4.48,6.77,1.94,1.98,1.79,1.01,1.37,1.25,5.6,1.09
22,26/08/2023,11:00,FINLAND - VEIKKAUSLIIGA,SJK,Mariehamn,1.55,4.0,5.5,1.88,1.95,1.8,1.05,1.36,1.25,6.0,1.13
21,26/08/2023,11:00,ENGLAND - PREMIER LEAGUE,Arsenal,Fulham,1.2,7.0,13.0,1.5,2.05,1.7,1.02,1.25,1.14,3.75,1.29
20,26/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Newington,Knockbreda,1.53,4.5,4.91,1.36,1.46,2.63,1.01,1.19,1.13,3.08,1.3
19,26/08/2023,11:00,SCOTLAND - CHAMPIONSHIP,Morton,Arbroath,1.73,3.4,5.25,2.1,2.0,1.73,1.07,1.44,1.33,7.0,1.08
18,26/08/2023,11:00,ENGLAND - PREMIER LEAGUE,Manchester Utd,Nottingham,1.3,5.75,9.0,1.53,1.91,1.91,1.03,1.25,1.17,4.0,1.25
17,26/08/2023,11:00,SCOTLAND - LEAGUE ONE,Hamilton,Montrose,1.53,4.0,6.0,1.67,1.8,1.91,1.04,1.3,1.2,4.5,1.17
16,26/08/2023,13:00,SLOVAKIA - NIKE LIGA,Dun. Streda,Banska Bystrica,1.55,4.4,5.4,1.63,1.69,2.11,1.02,1.29,1.16,4.3,1.16
15,26/08/2023,13:00,ROMANIA - LIGA 1,CFR Cluj,FC Botosani,1.36,4.75,6.5,2.03,2.5,1.5,1.05,1.4,1.33,7.0,1.1
26,26/08/2023,13:30,ENGLAND - PREMIER LEAGUE,Brighton,West Ham,1.5,4.75,5.25,1.4,1.53,2.38,1.02,1.22,1.13,3.4,1.33
14,26/08/2023,13:30,RUSSIA - PREMIER LEAGUE,Spartak Moscow,Akhmat Grozny,1.74,4.32,4.79,1.69,1.63,2.22,1.01,1.3,1.17,4.3,1.16
12,26/08/2023,15:00,ECUADOR - LIGA PRO,Ind. del Valle,U. Catolica,1.53,4.33,6.0,1.73,1.83,1.83,1.04,1.33,1.22,5.5,1.14
11,26/08/2023,15:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Decic,Rudar,1.6,3.6,5.83,2.0,2.08,1.71,1.04,1.4,1.33,7.2,1.06
10,26/08/2023,15:15,SLOVENIA - PRVA LIGA,Maribor,Domzale,1.57,4.3,5.35,1.68,1.72,2.07,13.9,1.31,1.18,4.5,1.15
9,26/08/2023,15:30,SPAIN - PRIMERA RFEF,Dep. La Coruna,Rayo Majadahonda,1.45,3.8,6.0,2.15,2.38,1.53,1.06,1.44,1.36,7.0,1.08
8,26/08/2023,16:00,VENEZUELA - LIGA FUTVE,Dep. Tachira,Metropolitanos,1.74,3.48,4.82,2.27,2.07,1.72,1.04,1.48,1.38,7.9,1.03
7,26/08/2023,16:10,ARGENTINA - PRIMERA NACIONAL,Chacarita Juniors,Racing Cordoba,1.62,3.75,5.5,2.3,2.25,1.57,1.07,1.5,1.4,10.0,1.06
6,26/08/2023,16:30,SPAIN - LALIGA2,Valladolid,Alcorcon,1.7,3.5,5.75,2.35,2.25,1.57,1.1,1.5,1.44,11.0,1.05
5,26/08/2023,16:30,SPAIN - LALIGA2,Elche,Villarreal B,1.57,3.75,7.0,2.05,2.1,1.67,1.06,1.44,1.33,8.0,1.08
4,26/08/2023,18:30,BRAZIL - SERIE A,Flamengo RJ,Internacional,1.45,4.2,7.5,1.93,2.05,1.7,1.05,1.36,1.29,6.0,1.13
3,26/08/2023,20:00,USA - USL CHAMPIONSHIP,Indy Eleven,Loudoun,1.62,3.96,4.78,1.71,1.69,2.11,1.01,1.31,1.19,4.75,1.13
2,26/08/2023,20:30,USA - MLS,Orlando City,St. Louis City,1.75,3.6,4.75,1.67,1.62,2.2,1.04,1.3,1.2,5.0,1.17
13,26/08/2023,21:30,USA - MLS,Sporting Kansas City,San Jose Earthquakes,1.62,4.0,5.25,1.67,1.7,2.05,1.03,1.3,1.2,5.0,1.17
27,26/08/2023,23:30,USA - USL CHAMPIONSHIP,Sacramento Republic,Orange County SC,1.69,3.7,4.6,1.9,1.81,1.95,1.02,1.37,1.26,5.9,1.08
