,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,GEORGIA - CRYSTALBET EROVNULI LIGA,02/10/2023,07:30,Shukura,Dinamo Batumi,11.5,6.2,1.16,1.33,2.93,1.82,1.94,0.2,0.4,0.603,2.1,1.1357816,0.7,0.08695652,0.16129032,0.86206895,0.7518797,0.34129694,0.9434937,-1.9,1.536,1,0.5114
2,ITALY - SERIE C,02/10/2023,10:00,Taranto,Audace Cerignola,2.45,3.0,2.95,2.32,1.55,1.98,1.75,1.8,0.9797959,0.8,1.5,1.024695,0.371,0.40816328,0.33333334,0.33898306,0.43103448,0.6451613,0.09446302,0.3,2.004,1,0.6
3,ITALY - SERIE C,02/10/2023,10:00,Taranto,Audace Cerignola,2.45,3.0,2.95,2.32,1.55,1.98,1.75,1.8,0.9797959,0.8,1.5,1.024695,0.371,0.40816328,0.33333334,0.33898306,0.43103448,0.6451613,0.09446302,0.3,2.004,1,0.6
4,GEORGIA - CRYSTALBET EROVNULI LIGA,02/10/2023,11:00,Telavi,Samtredia,1.98,3.2,3.4,2.02,1.62,1.85,1.91,0.9,1.1357816,1.084,1.1,1.3,1.2,0.5050505,0.3125,0.29411766,0.4950495,0.61728394,0.25744438,-0.2,2.436,1,0.5075
5,INDIA - ISL,02/10/2023,11:30,Goa,Punjab,1.8,3.75,3.4,1.62,2.25,1.55,2.32,1.9,1.3747727,0.614,2.1,1.1357816,0.969,0.5555556,0.26666668,0.29411766,0.61728394,0.44444445,0.349884,-0.2,2.511,1,0.5036
6,BULGARIA - PARVA LIGA,02/10/2023,11:30,Pirin Blagoevgrad,Slavia Sofia,3.6,3.3,2.15,2.35,1.57,2.0,1.73,1.0,1.3416408,1.271,1.2,1.2489996,0.775,0.2777778,0.3030303,0.4651163,0.42553192,0.6369427,0.23807512,-0.2,2.591,1,0.8185
7,ROMANIA - LIGA 1,02/10/2023,12:00,Poli Iasi,Petrolul,2.45,3.1,2.8,2.25,1.62,1.91,1.8,2.0,1.264911,1.061,1.5,1.2845232,0.659,0.40816328,0.32258064,0.35714287,0.44444445,0.61728394,0.09694111,0.5,2.549,1,0.7136
8,FINLAND - YKKONEN,02/10/2023,12:30,TPS,Ekenas,3.8,3.6,1.8,1.7,2.1,1.67,2.1,2.5,1.024695,0.61,2.1,1.1357816,0.772,0.2631579,0.2777778,0.5555556,0.5882353,0.47619048,0.36805797,0.4,2.16,1,0.7428
9,FINLAND - YKKONEN,02/10/2023,12:30,HIFK,Mikkeli,2.9,3.5,2.15,1.67,2.15,1.57,2.25,1.7,1.3453624,0.753,2.0,1.264911,0.631,0.3448276,0.2857143,0.4651163,0.5988024,0.4651163,0.20438796,-0.3,2.61,1,0.539
10,POLAND - DIVISION 1,02/10/2023,13:00,Leczna,Zaglebie Sosnowiec,2.5,3.3,2.55,1.98,1.88,1.73,2.0,1.5,1.024695,0.969,0.7,0.9,1.815,0.4,0.3030303,0.39215687,0.5050505,0.5319149,0.12047262,0.8,1.925,1,0.6417
11,ALBANIA - SUPERLIGA,02/10/2023,13:00,Dinamo Tirana,Vllaznia,3.65,3.25,1.91,1.98,1.65,1.85,1.91,0.9,1.1357816,1.735,1.1,1.0440307,0.759,0.2739726,0.30769232,0.5235602,0.5050505,0.6060606,0.30012673,-0.2,2.18,1,0.5209
12,SWEDEN - SUPERETTAN,02/10/2023,14:00,Jonkoping,Ostersund,2.75,3.3,2.5,1.88,1.98,1.67,2.1,1.6,1.4282857,0.599,1.3,1.1874342,0.84,0.36363637,0.3030303,0.4,0.5319149,0.5050505,0.11249426,0.3,2.616,1,0.6847
