League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
INDONESIA - LIGA 1,25/10/2024,05:30,Semen Padang,Dewa United,2.95,3.15,2.32,1.88,1.82,1.65,2.0,H,D,A,O,O,O,N,Y,Y
AUSTRALIA - A-LEAGUE,25/10/2024,05:35,Macarthur FC,Newcastle Jets,1.8,4.1,4.1,1.44,2.75,1.44,2.63,A,D,H,O,O,O,N,Y,N
BULGARIA - PARVA LIGA,25/10/2024,08:00,Arda,Septemvri Sofia,1.48,4.0,7.5,2.1,1.7,2.25,1.57,A,A,H,U,U,O,Y,N,N
UZBEKISTAN - SUPER LEAGUE,25/10/2024,08:00,Termez Surkhon,Lok. Tashkent,2.62,3.05,2.62,2.07,1.6,1.8,1.8,D,A,H,O,U,U,N,Y,Y
INDONESIA - LIGA 1,25/10/2024,09:00,Borneo,PSBS Biak Numfor,1.47,3.9,6.4,1.87,1.83,1.93,1.7,H,D,A,O,O,O,N,Y,Y
THAILAND - THAI LEAGUE 1,25/10/2024,09:00,Nong Bua Pitchaya,Ratchaburi,3.65,3.3,2.0,1.78,1.95,1.62,2.15,H,H,D,U,U,U,Y,N,Y
VIETNAM - V.LEAGUE 1,25/10/2024,09:15,Viettel,Binh Duong,2.1,3.2,3.3,2.12,1.57,1.91,1.7,D,D,D,U,U,O,Y,N,Y
UZBEKISTAN - SUPER LEAGUE,25/10/2024,10:15,Navbahor Namangan,Metallurg Bekabad,1.57,3.45,6.0,2.2,1.52,2.22,1.52,D,A,H,O,U,U,N,Y,Y
BULGARIA - PARVA LIGA,25/10/2024,10:30,Botev Plovdiv,Cherno More,2.45,3.0,3.1,2.5,1.5,2.0,1.73,A,A,H,U,U,O,Y,N,N
INDIA - ISL,25/10/2024,11:00,Kerala Blasters,Bengaluru FC,2.4,3.2,2.6,1.85,1.95,1.67,2.1,A,H,H,O,O,U,Y,N,Y
SERBIA - SUPER LIGA,25/10/2024,11:30,IMT Novi Beograd,Tekstilac Odzaci,1.62,3.8,5.0,2.0,1.75,2.0,1.72,A,D,D,O,O,O,Y,Y,Y
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/10/2024,11:35,Al Qadisiya,Damac,1.62,4.0,5.0,1.8,2.0,1.83,1.83,A,D,D,O,U,U,Y,N,Y
AZERBAIJAN - PREMIER LEAGUE,25/10/2024,12:00,Turan,Kapaz,1.36,4.45,7.8,1.83,1.88,2.12,1.57,D,A,A,U,U,O,N,Y,N
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/10/2024,12:05,Al Kholood,Al Nassr,11.0,5.5,1.25,1.44,2.63,1.8,1.91,A,D,D,O,U,U,Y,N,Y
BAHRAIN - PREMIER LEAGUE,25/10/2024,13:00,Ali CSC,Malkia,3.05,3.2,2.27,2.0,1.75,1.75,1.95,A,D,D,U,O,U,Y,N,N
AUSTRIA - 2. LIGA,25/10/2024,13:00,Amstetten,Floridsdorfer AC,2.52,3.35,2.62,1.72,2.05,1.55,2.3,H,H,H,O,U,U,N,Y,N
AUSTRIA - 2. LIGA,25/10/2024,13:00,First Vienna,ASK Voitsberg,1.85,3.9,3.55,1.6,2.22,1.57,2.25,H,H,H,O,U,U,N,Y,N
AUSTRIA - 2. LIGA,25/10/2024,13:00,Ried,Kapfenberg,1.34,5.0,7.4,1.55,2.32,1.85,1.85,H,H,H,O,U,U,N,Y,N
POLAND - EKSTRAKLASA,25/10/2024,13:00,Piast Gliwice,Lechia Gdansk,1.53,4.1,6.0,1.95,1.9,2.0,1.75,H,H,H,U,U,O,N,Y,N
POLAND - DIVISION 1,25/10/2024,13:00,Chrobry Glogow,Kotwica Kolobrzeg,2.1,3.3,3.0,2.0,1.85,1.8,1.91,H,H,A,O,U,O,N,Y,Y
