Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2024-12-31,05:00:00,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Melbourne City,3.7,2.06,2.08,3.95,2.48,1.64,1.58,2.68,A,D,H,O,U,U,N,N,Y
2024-12-31,09:30:00,WALES - CYMRU PREMIER,Bala,Caernarfon,1.85,4.0,6.2,3.7,2.16,1.7,1.75,2.06,H,H,H,U,O,U,N,Y,Y
2024-12-31,09:30:00,WALES - CYMRU PREMIER,Briton Ferry Llansawel,Barry,2.98,2.12,2.36,3.9,2.64,1.49,1.49,2.66,H,H,H,U,O,U,N,Y,Y
2024-12-31,10:00:00,EGYPT - PREMIER LEAGUE,Ceramica Cleopatra,Al Masry,2.8,2.96,3.15,3.0,1.65,2.32,1.81,2.02,A,A,D,O,U,U,Y,N,Y
2024-12-31,11:30:00,WALES - CYMRU PREMIER,TNS,Connahs Q.,1.2,15.5,22.0,7.6,2.88,1.42,2.14,1.78,H,H,H,U,O,U,N,Y,Y
2024-12-31,12:00:00,SCOTLAND - CHAMPIONSHIP,Morton,Partick Thistle,3.9,2.14,2.2,3.4,1.72,2.2,1.93,1.94,H,H,D,O,U,O,N,N,N
2024-12-31,12:00:00,ENGLAND - NATIONAL LEAGUE,Solihull Moors,Tamworth FC,1.54,5.9,7.0,4.4,2.3,1.67,1.77,2.16,H,H,H,U,U,U,N,Y,Y
2024-12-31,14:30:00,ISRAEL - LIGAT HA'AL,Ironi Tiberias,Hapoel Kiryat Shmona,2.8,2.7,3.05,3.05,1.6,2.36,1.97,1.86,A,D,A,O,U,O,N,Y,N
2024-12-31,14:45:00,WALES - CYMRU PREMIER,Penybont,Cardiff Metropolitan,1.48,6.8,8.2,4.3,2.12,1.69,1.81,1.9,H,H,H,U,O,U,N,Y,Y
2024-12-31,14:45:00,ISRAEL - LIGAT HA'AL,Maccabi Petah Tikva,Hapoel Hadera,2.34,3.25,3.75,3.2,1.65,2.28,1.96,1.87,A,D,A,O,U,O,N,Y,N
2024-12-31,15:00:00,ISRAEL - LIGAT HA'AL,SC Ashdod,Sakhnin,2.74,2.66,3.25,2.92,1.65,2.26,1.64,1.67,A,D,A,O,U,O,N,Y,N
