Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2024-12-12,12:30:00,SERBIA - SUPER LIGA,Sp. Subotica,Partizan,5.3,1.66,1.82,3.55,1.71,2.14,1.92,1.68,D,A,A,U,U,U,Y,Y,Y
2024-12-12,14:45:00,EUROPE - EUROPA LEAGUE,PAOK,Ferencvaros,1.99,4.3,4.4,3.65,1.97,2.0,1.82,2.1,A,D,H,O,O,U,N,Y,Y
2024-12-12,14:45:00,EUROPE - EUROPA LEAGUE,Plzen,Manchester Utd,6.2,1.61,1.62,4.5,2.42,1.68,1.75,2.22,A,D,H,O,O,U,N,Y,Y
2024-12-12,14:45:00,EUROPE - EUROPA LEAGUE,Ludogorets,AZ Alkmaar,3.2,2.46,2.48,3.45,1.94,2.04,1.77,2.16,A,D,H,O,O,U,N,Y,Y
2024-12-12,14:45:00,EUROPE - EUROPA LEAGUE,Hoffenheim,FCSB,1.5,7.2,7.6,5.0,2.42,1.66,1.84,2.08,A,D,H,O,O,U,N,Y,Y
2024-12-12,14:45:00,EUROPE - EUROPA LEAGUE,Olympiacos Piraeus,Twente,1.81,4.8,5.1,3.9,2.18,1.82,1.75,2.16,A,D,H,O,O,U,N,Y,Y
2024-12-12,14:45:00,EUROPE - EUROPA LEAGUE,Royale Union SG,Nice,2.12,3.85,3.9,3.6,1.89,2.08,1.84,2.06,A,D,H,O,O,U,N,Y,Y
2024-12-12,14:45:00,EUROPE - EUROPA LEAGUE,Malmo FF,Galatasaray,3.7,2.1,2.12,3.85,2.68,1.56,1.52,2.74,A,D,H,O,O,U,N,Y,Y
2024-12-12,14:45:00,EUROPE - EUROPA LEAGUE,AS Roma,Braga,1.76,5.3,5.4,3.95,2.04,1.94,1.89,2.04,A,D,H,O,O,U,N,Y,Y
2024-12-12,16:00:00,BOLIVIA - DIVISION PROFESIONAL,SA Bulo Bulo,Ind Petrolero,1.83,3.4,4.6,3.4,2.26,1.57,1.49,2.18,H,D,H,U,O,O,Y,Y,N
2024-12-12,17:00:00,EUROPE - EUROPA LEAGUE,Slavia Prague,Anderlecht,1.53,7.0,7.2,4.8,2.32,1.74,1.89,2.0,A,D,H,O,O,U,N,Y,Y
2024-12-12,17:00:00,EUROPE - EUROPA LEAGUE,Lyon,Eintracht Frankfurt,2.18,3.45,3.5,3.9,2.6,1.61,1.54,2.74,A,D,H,O,O,U,N,Y,Y
2024-12-12,17:00:00,EUROPE - EUROPA LEAGUE,Maccabi Tel Aviv,Rigas Futbola Skola,1.59,6.4,7.0,4.4,2.12,1.86,1.93,1.95,A,D,H,O,O,U,N,Y,Y
2024-12-12,17:00:00,EUROPE - EUROPA LEAGUE,FC Porto,Midtjylland,1.33,11.0,11.5,6.2,2.66,1.58,1.94,1.96,A,D,H,O,O,U,N,Y,Y
2024-12-12,17:00:00,EUROPE - EUROPA LEAGUE,Real Sociedad,Dyn. Kyiv,1.28,15.5,17.5,6.2,2.12,1.84,2.5,1.59,A,D,H,O,O,U,N,Y,Y
2024-12-12,17:00:00,EUROPE - EUROPA LEAGUE,Rangers,Tottenham,3.6,2.06,2.08,4.0,2.82,1.53,1.51,2.8,A,D,H,O,O,U,N,Y,Y
2024-12-12,17:00:00,EUROPE - EUROPA LEAGUE,Bodo/Glimt,Besiktas,1.81,4.5,4.6,4.3,2.7,1.56,1.57,2.58,A,D,H,O,O,U,N,Y,Y
2024-12-12,17:00:00,POLAND - DIVISION 1,Wisla,Legnica,1.76,4.3,5.4,3.8,2.1,1.73,1.68,1.97,A,H,A,U,U,O,N,N,N
2024-12-12,17:00:00,EUROPE - EUROPA LEAGUE,Ajax,Lazio,2.32,3.2,3.3,3.75,2.3,1.73,1.62,2.48,A,D,H,O,O,U,N,Y,Y
2024-12-12,17:00:00,EUROPE - EUROPA LEAGUE,Elfsborg,Qarabag FK,2.66,2.76,2.78,3.75,2.52,1.64,1.56,2.64,A,D,H,O,O,U,N,Y,Y
2024-12-12,23:00:00,MEXICO - LIGA MX,Club America,Monterrey,1.92,4.5,4.9,3.3,1.71,2.24,1.89,1.88,H,D,A,U,U,O,Y,Y,N
