Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2024-12-10,12:00:00,ROMANIA - LIGA 2,Csikszereda M. Ciuc,Metaloglobus Bucharest,1.3,2.18,1000.0,3.0,1.15,1.4,1.05,1.02,H,A,A,U,O,U,Y,Y,N
2024-12-10,14:45:00,EUROPE - CHAMPIONS LEAGUE,Girona,Liverpool,7.8,1.48,1.49,5.0,2.62,1.6,1.78,2.2,H,H,H,O,U,U,N,N,Y
2024-12-10,14:45:00,EUROPE - CHAMPIONS LEAGUE,D. Zagreb,Celtic,3.4,2.24,2.26,3.7,2.2,1.8,1.69,2.36,H,H,H,O,U,U,N,N,Y
2024-12-10,16:00:00,BOLIVIA - DIVISION PROFESIONAL,SA Bulo Bulo,Bolivar,4.3,1.75,1.8,3.9,2.56,1.5,1.6,2.3,D,A,A,O,O,O,N,Y,Y
2024-12-10,16:45:00,ENGLAND - NATIONAL LEAGUE,Solihull Moors,Aldershot,1.92,3.7,4.3,4.0,2.34,1.57,1.53,2.26,D,H,H,U,U,O,N,Y,Y
2024-12-10,16:45:00,ENGLAND - NATIONAL LEAGUE,FC Halifax,Sutton,2.68,2.7,3.1,3.15,1.69,2.18,1.84,1.96,D,H,H,U,U,O,N,Y,Y
2024-12-10,16:45:00,ENGLAND - NATIONAL LEAGUE,AFC Fylde,Ebbsfleet,1.82,4.0,4.6,3.85,2.22,1.66,1.63,2.3,D,H,H,U,U,O,N,Y,Y
2024-12-10,16:45:00,ENGLAND - NATIONAL LEAGUE,Wealdstone,Altrincham,2.82,2.4,2.7,3.4,1.91,1.87,1.68,1.97,D,H,H,U,U,O,N,Y,Y
2024-12-10,16:45:00,ENGLAND - NATIONAL LEAGUE,Forest Green,Dag & Red,1.26,2.36,1000.0,3.6,1.22,1.01,1.02,1.02,D,H,H,U,U,O,N,Y,Y
2024-12-10,16:45:00,ENGLAND - CHAMPIONSHIP,Burnley,Derby,1.72,6.4,6.6,3.7,1.67,2.44,2.3,1.71,D,H,H,U,U,U,Y,N,N
2024-12-10,16:45:00,ENGLAND - CHAMPIONSHIP,Luton,Stoke,2.16,3.8,3.85,3.6,2.02,1.92,1.74,2.18,D,H,H,U,U,U,Y,N,N
2024-12-10,16:45:00,ENGLAND - CHAMPIONSHIP,Plymouth,Swansea,4.2,1.94,1.95,3.95,2.16,1.78,1.72,2.2,D,H,H,U,U,U,Y,N,N
2024-12-10,16:45:00,ENGLAND - CHAMPIONSHIP,Sheffield Wed,Blackburn,2.34,3.35,3.45,3.55,1.91,2.06,1.8,2.12,D,H,H,U,U,U,Y,N,N
2024-12-10,16:45:00,ENGLAND - CHAMPIONSHIP,Sunderland,Bristol City,2.0,4.5,4.7,3.5,1.77,2.22,2.0,1.91,D,H,H,U,U,U,Y,N,N
2024-12-10,16:45:00,ENGLAND - CHAMPIONSHIP,Portsmouth,Norwich,3.1,2.4,2.42,3.7,2.18,1.83,1.69,2.32,D,H,H,U,U,U,Y,N,N
2024-12-10,16:45:00,SCOTLAND - LEAGUE TWO,Spartans,Stranraer,1.77,4.5,6.2,3.35,1.73,2.06,1.91,1.8,H,H,D,U,O,O,N,Y,Y
2024-12-10,16:45:00,WALES - CYMRU PREMIER,Barry,Cardiff Metropolitan,2.38,2.92,3.25,3.4,2.1,1.7,1.53,2.24,H,H,A,U,O,O,N,Y,Y
2024-12-10,17:00:00,EUROPE - CHAMPIONS LEAGUE,Atalanta,Real Madrid,2.88,2.56,2.58,3.75,2.46,1.67,1.57,2.66,H,H,H,O,U,U,N,N,Y
2024-12-10,17:00:00,EUROPE - CHAMPIONS LEAGUE,Bayer Leverkusen,Inter,2.3,3.35,3.4,3.65,2.16,1.84,1.68,2.38,H,H,H,O,U,U,N,N,Y
2024-12-10,17:00:00,ENGLAND - CHAMPIONSHIP,Leeds,Middlesbrough,1.92,4.5,4.7,3.8,2.1,1.87,1.73,2.18,D,H,H,U,U,U,Y,N,N
2024-12-10,17:00:00,EUROPE - CHAMPIONS LEAGUE,Brest,PSV,4.2,1.95,1.97,3.85,2.22,1.8,1.7,2.32,H,H,H,O,U,U,N,N,Y
2024-12-10,17:00:00,EUROPE - CHAMPIONS LEAGUE,Club Brugge KV,Sporting CP,3.05,2.46,2.48,3.75,2.38,1.71,1.6,2.56,H,H,H,O,U,U,N,N,Y
2024-12-10,17:00:00,EUROPE - CHAMPIONS LEAGUE,Salzburg,PSG,9.8,1.36,1.37,6.0,3.2,1.43,1.71,2.34,H,H,H,O,U,U,N,N,Y
2024-12-10,17:00:00,EUROPE - CHAMPIONS LEAGUE,RB Leipzig,Aston Villa,2.66,2.8,2.84,3.65,2.24,1.79,1.64,2.48,H,H,H,O,U,U,N,N,Y
2024-12-10,17:00:00,EUROPE - CHAMPIONS LEAGUE,Shakhtar Donetsk,Bayern Munich,22.0,1.17,1.18,10.0,3.25,1.42,2.28,1.74,H,H,H,O,U,U,N,N,Y
2024-12-10,20:00:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Tomayapo,1.24,10.5,17.0,6.4,2.48,1.5,2.02,1.81,D,A,A,O,O,O,N,Y,Y
2024-12-10,21:30:00,BOLIVIA - DIVISION PROFESIONAL,Oriente Petrolero,Always Ready,2.02,3.4,4.1,3.45,2.08,1.77,1.63,2.16,D,A,A,O,O,O,N,Y,Y
