League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
MEXICO - LIGA DE EXPANSION MX,31/08/2024,00:00,Leones Negros,Correcaminos,1.5,4.0,5.9,1.75,1.95,1.83,1.78,H,H,A,U,O,U,Y,Y,Y
MEXICO - LIGA MX,31/08/2024,00:05,Club Tijuana,Club Leon,2.0,3.6,3.6,1.6,2.3,1.53,2.38,A,D,A,O,O,U,N,Y,N
ROMANIA - LIGA 2,31/08/2024,05:00,Metaloglobus Bucharest,FC Voluntari,3.1,3.25,2.22,2.07,1.7,1.85,1.85,D,H,H,O,U,U,N,Y,Y
ROMANIA - LIGA 2,31/08/2024,05:00,Mioveni,Viitorul Tg. Jiu,1.52,3.75,6.4,2.07,1.7,2.15,1.62,D,H,H,O,U,U,N,Y,Y
HONG KONG - PREMIER LEAGUE,31/08/2024,05:00,North District,Kitchee,12.5,6.3,1.18,1.28,3.0,1.72,1.88,A,H,D,U,O,O,N,N,Y
HONG KONG - PREMIER LEAGUE,31/08/2024,05:00,Southern District,Lee Man Warriors,5.9,4.35,1.45,1.45,2.37,1.6,2.07,A,H,D,U,O,O,N,N,Y
ROMANIA - LIGA 2,31/08/2024,05:00,Concordia,Campulung,1.38,4.55,7.3,1.7,2.07,1.93,1.78,D,H,H,O,U,U,N,Y,Y
ROMANIA - LIGA 2,31/08/2024,05:00,CSM Focsani,CSC Dumbravita,2.7,3.1,2.6,2.2,1.62,1.88,1.82,D,H,H,O,U,U,N,Y,Y
ROMANIA - LIGA 2,31/08/2024,05:00,Selimbar,Unirea Ungheni,1.62,3.7,5.1,1.98,1.78,1.98,1.75,D,H,H,O,U,U,N,Y,Y
SINGAPORE - PREMIER LEAGUE,31/08/2024,07:00,Young Lions,Balestier Khalsa,4.75,4.75,1.42,1.2,4.33,1.29,3.5,H,D,H,O,O,U,N,Y,N
SOUTH KOREA - K LEAGUE 1,31/08/2024,07:00,Ulsan HD,Pohang,2.0,3.5,3.4,1.88,1.98,1.73,2.0,A,D,H,U,O,U,Y,N,N
