Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-11-29,01:00,AUSTRALIA 1,Wellington Phoenix,Adelaide United,3.2,2.05,3.7,2.3,1.62,1.53,2.38,H,D,A,U,U,O,N,Y,Y
2025-11-29,02:00,JAPAN 2,Chiba,Imabari,1.57,5.25,3.7,2.0,1.8,1.8,1.91,H,A,D,O,O,U,Y,Y,N
2025-11-29,02:00,JAPAN 2,Kumamoto,Kofu,1.76,4.5,3.3,1.75,2.05,1.83,1.83,H,A,D,O,O,U,Y,Y,N
2025-11-29,02:00,JAPAN 2,Mito,Oita Trinita,1.53,6.5,3.5,1.5,2.5,2.5,1.5,H,A,D,O,O,U,Y,Y,N
2025-11-29,02:00,JAPAN 2,Vegalta Sendai,Iwaki,1.86,3.9,3.4,1.75,2.05,1.83,1.83,H,A,D,O,O,U,Y,Y,N
2025-11-29,02:00,JAPAN 2,Montedio Yamagata,Fujieda MYFC,2.05,3.3,3.4,2.0,1.8,1.67,2.1,H,A,D,O,O,U,Y,Y,N
2025-11-29,02:00,JAPAN 2,Tokushima,V-Varen Nagasaki,2.95,2.35,3.05,1.78,2.03,1.73,2.0,H,A,D,O,O,U,Y,Y,N
2025-11-29,02:00,JAPAN 2,Sagan Tosu,Iwata,2.32,2.82,3.25,1.98,1.83,1.67,2.1,H,A,D,O,O,U,Y,Y,N
2025-11-29,02:00,JAPAN 2,Renofa Yamaguchi,Omiya Ardija,2.95,2.2,3.25,1.95,1.85,1.67,2.1,H,A,D,O,O,U,Y,Y,N
2025-11-29,02:00,JAPAN 2,Toyama,Blaublitz,1.96,3.6,3.3,1.73,2.08,1.83,1.83,H,A,D,O,O,U,Y,Y,N
2025-11-29,02:00,JAPAN 2,Hokkaido Consadole Sapporo,Ehime,1.57,5.0,3.9,2.25,1.62,1.62,2.2,H,A,D,O,O,U,Y,Y,N
2025-11-29,03:00,AUSTRALIA 1,Central Coast Mariners,Melbourne City,4.75,1.71,3.5,2.0,1.8,1.75,2.0,H,D,A,U,U,O,N,Y,Y
2025-11-29,05:35,AUSTRALIA 1,WS Wanderers,Sydney FC,2.95,2.15,3.7,2.5,1.53,1.44,2.63,H,D,A,U,U,O,N,Y,Y
2025-11-29,07:30,ESTONIA 1,Kuressaare,Viimsi JK,2.05,2.9,3.6,2.0,1.66,1.62,2.17,A,H,H,O,U,O,N,N,N
2025-11-29,07:30,TURKEY 2,Keciorengucu,Igdir FK,2.2,2.9,3.4,2.0,1.8,1.67,2.1,A,H,D,U,U,O,Y,Y,N
