Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2024-12-14,01:00:00,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Macarthur FC,2.3,3.25,3.35,3.8,2.08,1.79,1.7,2.28,H,H,H,U,U,U,N,Y,N
2024-12-14,03:00:00,AUSTRALIA - A-LEAGUE,Sydney FC,Western United,1.49,6.0,6.8,5.2,3.0,1.44,1.63,2.44,H,H,H,U,U,U,N,Y,N
2024-12-14,05:35:00,AUSTRALIA - A-LEAGUE,WS Wanderers,Brisbane Roar,1.87,4.1,4.2,4.4,2.96,1.49,1.55,2.74,H,H,H,U,U,U,N,Y,N
2024-12-14,06:00:00,ROMANIA - LIGA 2,FC Voluntari,CSC Dumbravita,1.35,9.2,18.0,3.55,1.6,2.1,2.44,1.53,H,A,A,U,O,U,Y,Y,N
2024-12-14,06:00:00,ROMANIA - LIGA 2,Chindia Targoviste,Csikszereda M. Ciuc,3.25,2.3,2.68,2.88,1.48,2.5,2.04,1.75,H,A,A,U,O,U,Y,Y,N
2024-12-14,06:00:00,ROMANIA - LIGA 2,ASA Unirea Ungheni,CSM Focsani,1.68,5.1,7.2,3.2,1.61,2.08,2.06,1.71,H,A,A,U,O,U,Y,Y,N
2024-12-14,06:00:00,ROMANIA - LIGA 2,ACS Muscelul Campulung,FC Arges,2.56,1.16,1.97,3.0,1.15,1.01,1.05,1.05,H,A,A,U,O,U,Y,Y,N
2024-12-14,06:00:00,ROMANIA - LIGA 2,CS Afumati,Steaua Bucuresti,3.8,1.9,2.22,3.1,1.64,2.14,1.94,1.81,H,A,A,U,O,U,Y,Y,N
2024-12-14,06:00:00,ROMANIA - LIGA 2,Selimbar,Bihor Oradea,2.22,3.05,4.3,2.86,1.48,2.36,2.02,1.77,H,A,A,U,O,U,Y,Y,N
2024-12-14,07:00:00,ROMANIA - LIGA 2,Ceahlaul,CSM Resita,2.0,1.24,4.2,2.0,1.15,1.38,1.87,1.93,H,A,A,U,O,U,Y,Y,N
2024-12-14,07:30:00,TURKEY - 1. LIG,Istanbulspor AS,Erzurumspor,2.26,3.4,3.7,3.35,1.84,2.06,1.84,2.02,H,D,H,O,O,O,Y,Y,Y
2024-12-14,07:30:00,TURKEY - 1. LIG,Sanliurfaspor,Pendikspor,3.1,2.28,2.48,3.5,1.98,1.91,1.74,2.18,H,D,H,O,O,O,Y,Y,Y
2024-12-14,07:45:00,AUSTRALIA - A-LEAGUE,Perth Glory,Newcastle Jets,2.78,2.58,2.6,3.95,2.6,1.61,1.54,2.72,H,H,H,U,U,U,N,Y,N
2024-12-14,08:00:00,SPAIN - SEGUNDA RFEF,Deportivo La Coruna II,CD Laredo,1.44,9.2,14.0,3.8,1.72,2.14,2.36,1.6,H,A,D,U,O,U,Y,N,Y
2024-12-14,08:00:00,HUNGARY - OTP BANK LIGA,MTK Budapest,Fehervar FC,2.06,3.6,4.1,3.55,2.08,1.85,1.71,2.24,H,D,A,U,O,U,Y,Y,Y
2024-12-14,08:00:00,UKRAINE - PREMIER LEAGUE,Oleksandriya,LNZ Cherkasy,1.63,6.4,7.8,3.7,1.63,2.4,2.3,1.64,H,H,D,O,U,O,N,Y,Y
2024-12-14,08:00:00,PORTUGAL - LIGA PORTUGAL 2,Leiria,Pacos Ferreira,2.44,3.15,3.4,3.2,1.71,2.32,1.94,1.92,A,H,H,O,O,O,N,Y,N
2024-12-14,09:00:00,GERMANY - 2. BUNDESLIGA,Schalke,Dusseldorf,2.7,2.7,2.76,3.7,2.26,1.76,1.63,2.48,D,H,A,O,O,O,N,N,Y
2024-12-14,09:00:00,GERMANY - 2. BUNDESLIGA,Ulm,Hamburger SV,4.1,1.93,1.95,4.1,2.48,1.64,1.63,2.44,D,H,A,O,O,O,N,N,Y
2024-12-14,09:00:00,GERMANY - 2. BUNDESLIGA,Magdeburg,Paderborn,2.68,2.76,2.78,3.65,2.34,1.72,1.61,2.52,D,H,A,O,O,O,N,N,Y
2024-12-14,09:00:00,SERBIA - SUPER LIGA,Tekstilac Odzaci,Mladost,2.54,2.96,3.4,3.1,1.66,2.32,1.92,1.89,D,A,A,U,U,U,Y,Y,Y
2024-12-14,09:30:00,ENGLAND - LEAGUE ONE,Leyton Orient,Burton,1.54,7.4,8.2,4.2,1.84,2.14,2.16,1.75,A,D,A,U,U,O,Y,Y,N
2024-12-14,09:30:00,ENGLAND - CHAMPIONSHIP,Bristol City,QPR,1.98,4.5,4.6,3.6,1.77,2.24,2.0,1.91,A,A,H,U,U,O,Y,N,Y
2024-12-14,09:30:00,ENGLAND - CHAMPIONSHIP,Preston,Leeds,6.2,1.7,1.71,3.95,1.74,2.32,2.24,1.75,A,A,H,U,U,O,Y,N,Y
2024-12-14,09:30:00,ENGLAND - LEAGUE TWO,Tranmere,Harrogate,1.76,5.5,5.7,3.8,1.81,2.14,1.98,1.79,A,H,D,U,O,U,N,Y,Y
2024-12-14,09:30:00,ENGLAND - LEAGUE TWO,Salford,Notts Co,2.62,2.84,2.92,3.5,1.96,1.99,1.7,2.16,A,H,D,U,O,U,N,Y,Y
2024-12-14,09:30:00,ENGLAND - CHAMPIONSHIP,Coventry,Hull,1.87,4.5,4.6,4.0,2.14,1.85,1.81,2.18,A,A,H,U,U,O,Y,N,Y
2024-12-14,09:30:00,ROMANIA - LIGA 1,Otelul,UTA Arad,1.98,5.0,5.5,3.1,1.54,2.68,2.22,1.67,D,H,A,O,U,O,Y,Y,N
