League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
MEXICO - LIGA MX,17/05/2024,00:00,Monterrey,Cruz Azul,2.15,3.3,3.5,2.0,1.85,1.75,2.0,D,H,H,U,O,O,Y,N,Y
CHINA - SUPER LEAGUE,17/05/2024,08:00,Zhejiang Professional,Nantong Zhiyun,1.42,4.75,6.5,1.44,2.7,1.67,2.1,H,D,H,O,U,U,N,Y,N
CHINA - SUPER LEAGUE,17/05/2024,08:35,Meizhou Hakka,Chengdu Rongcheng,6.0,3.9,1.55,1.98,1.88,2.0,1.75,H,D,H,O,U,U,N,Y,N
CHINA - SUPER LEAGUE,17/05/2024,08:35,Henan Songshan Longmen,Wuhan Three Towns,1.8,3.4,4.75,2.2,1.65,2.05,1.7,H,D,H,O,U,U,N,Y,N
CHINA - SUPER LEAGUE,17/05/2024,08:35,Cangzhou,Tianjin Jinmen Tiger,4.33,3.7,1.75,1.65,2.2,1.67,2.1,H,D,H,O,U,U,N,Y,N
CHINA - SUPER LEAGUE,17/05/2024,09:00,Changchun Yatai,Beijing Guoan,3.6,3.5,2.0,1.73,2.08,1.62,2.2,H,D,H,O,U,U,N,Y,N
BULGARIA - PARVA LIGA,17/05/2024,09:15,Pirin Blagoevgrad,Etar,1.48,4.2,6.5,2.15,1.67,2.38,1.53,D,D,H,O,O,O,Y,Y,Y
TURKEY - SUPER LIG,17/05/2024,11:00,Istanbulspor AS,Sivasspor,3.0,3.5,2.25,1.73,2.08,1.62,2.2,H,A,D,O,O,U,N,Y,N
BULGARIA - PARVA LIGA,17/05/2024,11:45,Lok. Sofia,Botev Vratsa,2.25,3.2,3.25,2.2,1.65,1.91,1.8,D,D,H,O,O,O,Y,Y,Y
FINLAND - VEIKKAUSLIIGA,17/05/2024,12:00,HJK,VPS,1.75,3.5,3.8,1.85,2.0,1.8,1.95,H,D,H,O,U,O,Y,N,Y
FINLAND - VEIKKAUSLIIGA,17/05/2024,12:00,AC Oulu,Mariehamn,1.85,3.4,3.6,1.98,1.88,1.91,1.91,H,D,H,O,U,O,Y,N,Y
FINLAND - YKKONEN,17/05/2024,12:30,JJK Jyvaskyla,Atlantis,2.8,3.6,2.1,1.57,2.35,1.5,2.5,A,A,H,U,U,U,N,Y,Y
CROATIA - HNL,17/05/2024,13:00,Istra 1961,Varazdin,2.05,3.1,3.6,2.2,1.65,1.91,1.8,D,H,A,U,U,U,N,N,Y
POLAND - DIVISION 1,17/05/2024,13:00,Pruszkow,Wisla Plock,3.3,3.3,1.95,1.93,1.93,1.7,2.02,D,A,H,O,U,U,N,Y,Y
POLAND - EKSTRAKLASA,17/05/2024,13:00,Stal Mielec,Pogon Szczecin,4.5,4.2,1.65,1.57,2.35,1.67,2.1,A,A,D,O,U,O,Y,N,Y
FINLAND - VEIKKAUSLIIGA,17/05/2024,13:00,SJK,Inter Turku,2.2,3.4,2.75,1.7,2.1,1.62,2.2,H,D,H,O,U,O,Y,N,Y
AUSTRIA - 2. LIGA,17/05/2024,13:10,Lafnitz,Admira,3.45,3.65,1.93,1.75,2.02,1.65,2.1,H,H,H,U,U,O,Y,Y,N
AUSTRIA - 2. LIGA,17/05/2024,13:10,Stripfing,Grazer AK,4.15,3.95,1.7,1.65,2.15,1.7,2.05,H,H,H,U,U,O,Y,Y,N
AUSTRIA - 2. LIGA,17/05/2024,13:10,Ried,Sturm Graz (Am),1.19,6.9,10.5,1.23,3.7,1.65,2.12,H,H,H,U,U,O,Y,Y,N
