Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2024-11-23,02:00:00,SOUTH KOREA - K LEAGUE 1,Gangwon,Pohang,2.14,3.75,4.1,3.4,1.73,2.22,1.94,1.96,D,H,H,O,O,O,N,Y,Y
2024-11-23,02:00:00,SOUTH KOREA - K LEAGUE 1,Gimcheon Sangmu,Seoul,2.28,3.45,3.7,3.3,1.81,2.16,1.87,2.02,D,H,H,O,O,O,N,Y,Y
2024-11-23,02:00:00,SOUTH KOREA - K LEAGUE 1,Ulsan HD,Suwon FC,2.02,3.8,4.1,3.75,2.1,1.85,1.75,2.22,D,H,H,O,O,O,N,Y,Y
2024-11-23,03:00:00,AUSTRALIA - A-LEAGUE,Brisbane Roar,Adelaide United,3.25,2.22,2.24,4.0,2.8,1.51,1.5,2.86,A,D,D,U,O,O,Y,Y,Y
2024-11-23,05:35:00,AUSTRALIA - A-LEAGUE,Sydney FC,WS Wanderers,1.71,4.6,4.8,4.7,3.0,1.49,1.56,2.66,A,D,D,U,O,O,Y,Y,Y
2024-11-23,06:00:00,ROMANIA - LIGA 2,CSM Focsani,Metaloglobus Bucharest,5.7,1.64,1.86,3.35,1.61,2.06,2.18,1.68,A,H,A,O,U,O,Y,N,N
2024-11-23,06:00:00,ROMANIA - LIGA 2,CSM Resita,ASA Unirea Ungheni,1.35,1.6,1000.0,3.75,1.34,1.2,1.05,1.12,A,H,A,O,U,O,Y,N,N
2024-11-23,06:00:00,ROMANIA - LIGA 2,ACS Muscelul Campulung Elite,Ceahlaul,5.1,1.39,1.74,4.0,1.28,1.73,2.06,1.73,A,H,A,O,U,O,Y,N,N
2024-11-23,06:00:00,ROMANIA - LIGA 2,Csikszereda M. Ciuc,Mioveni,1.25,6.2,1000.0,4.4,1.35,1.9,1.12,1.05,A,H,A,O,U,O,Y,N,N
2024-11-23,06:00:00,ROMANIA - LIGA 2,CSC Dumbravita,Selimbar,2.2,3.45,4.3,2.94,1.35,1.74,2.1,1.73,A,H,A,O,U,O,Y,N,N
2024-11-23,06:00:00,ROMANIA - LIGA 2,CSM Slatina,Concordia,2.44,2.88,4.1,2.86,1.58,2.32,1.95,1.87,A,H,A,O,U,O,Y,N,N
2024-11-23,07:00:00,ROMANIA - LIGA 2,Metalul Buzau,CS Afumati,1.6,1.58,6.4,3.0,1.2,1.3,1.81,1.88,A,H,A,O,U,O,Y,N,N
2024-11-23,07:30:00,TURKEY - SUPER LIG,Eyupspor,Rizespor,2.12,4.1,4.3,3.4,1.92,1.97,1.77,2.14,H,H,H,O,O,O,Y,N,N
2024-11-23,07:30:00,TURKEY - 1. LIG,Keciorengucu,Manisa FK,2.62,2.78,3.05,3.25,1.77,2.08,1.83,2.04,D,D,D,U,U,O,Y,N,N
2024-11-23,07:30:00,BULGARIA - PARVA LIGA,Arda,Botev Plovdiv,1.83,5.5,5.6,3.35,1.57,2.3,2.14,1.72,D,A,H,O,U,U,N,Y,N
2024-11-23,08:00:00,PORTUGAL - LIGA PORTUGAL 2,Portimonense,Benfica B,2.54,2.88,3.2,3.35,1.9,1.98,1.76,2.18,D,D,A,U,O,U,N,N,Y
2024-11-23,08:00:00,UKRAINE - PREMIER LEAGUE,Vorskla Poltava,LNZ Cherkasy,2.62,2.72,3.25,2.9,1.65,2.24,1.91,1.91,D,H,A,U,U,O,Y,N,Y
2024-11-23,08:50:00,CROATIA - PRVA NL,Vukovar 1991,Dubrava,1.56,3.45,9.0,3.05,1.47,2.08,1.02,1.02,A,H,D,O,U,O,N,Y,N
2024-11-23,09:00:00,GERMANY - 2. BUNDESLIGA,Greuther Furth,Karlsruher SC,2.74,2.52,2.62,3.85,2.48,1.61,1.59,2.62,H,H,D,O,O,U,N,Y,Y
2024-11-23,09:00:00,GERMANY - 2. BUNDESLIGA,Hannover,Darmstadt,1.97,3.95,4.2,3.85,2.26,1.71,1.64,2.3,H,H,D,O,O,U,N,Y,Y
2024-11-23,09:00:00,GERMANY - 2. BUNDESLIGA,Dusseldorf,Elversberg,2.06,3.8,4.0,3.8,2.22,1.79,1.65,2.28,H,H,D,O,O,U,N,Y,Y
2024-11-23,09:00:00,GERMANY - 2. BUNDESLIGA,Hertha Berlin,Ulm,1.66,5.7,6.2,4.1,2.12,1.84,1.81,2.02,H,H,D,O,O,U,N,Y,Y
2024-11-23,09:30:00,ENGLAND - CHAMPIONSHIP,Sheffield Wed,Cardiff,2.08,4.0,4.2,3.6,1.91,2.04,1.78,2.06,H,D,D,U,O,O,N,N,Y
2024-11-23,09:30:00,ENGLAND - CHAMPIONSHIP,Bristol City,Burnley,2.82,2.86,2.88,3.3,1.66,2.36,2.02,1.92,H,D,D,U,O,O,N,N,Y
2024-11-23,09:30:00,ENGLAND - LEAGUE ONE,Stevenage,Leyton Orient,2.86,2.96,3.0,3.1,1.57,2.52,2.04,1.84,D,H,D,U,U,U,Y,Y,N
