League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
INDONESIA - LIGA 1,19/08/2024,05:30,PSS Sleman,Persik Kediri,2.07,3.4,3.2,1.65,1.98,1.57,2.12,D,A,H,O,U,U,N,Y,N
INDONESIA - LIGA 1,19/08/2024,09:00,Dewa United,Persib Bandung,2.62,3.3,2.47,1.65,1.98,1.53,2.18,D,A,H,O,U,U,N,Y,N
THAILAND - THAI LEAGUE 1,19/08/2024,09:00,Port MTI FC,Chiangrai Utd,1.33,4.9,8.25,1.57,2.27,1.9,1.82,D,A,D,O,U,U,Y,Y,N
ARMENIA - PREMIER LEAGUE,19/08/2024,10:00,Noah,West Armenia,1.27,4.75,8.75,1.6,2.07,1.78,1.99,A,H,H,U,U,U,Y,N,N
ROMANIA - LIGA 2,19/08/2024,11:00,Chindia Targoviste,Selimbar,2.45,2.95,3.0,2.37,1.52,2.0,1.72,D,H,H,O,U,U,N,Y,Y
UZBEKISTAN - SUPER LEAGUE,19/08/2024,11:30,Navbahor Namangan,Bunyodkor,1.35,4.45,8.25,1.85,1.87,2.15,1.55,A,A,H,U,O,O,Y,N,Y
RUSSIA - PREMIER LEAGUE,19/08/2024,11:30,Akron Togliatti,Rubin Kazan,3.11,3.48,2.46,2.14,1.82,1.83,1.93,A,D,H,U,O,O,N,N,N
ARMENIA - PREMIER LEAGUE,19/08/2024,12:00,Urartu,Ararat-Armenia,4.2,3.5,1.72,1.91,1.7,1.88,1.88,A,H,H,U,U,U,Y,N,N
ALBANIA - SUPERLIGA,19/08/2024,12:00,Laci,KF Tirana,2.4,2.8,3.0,2.25,1.5,1.97,1.79,H,A,D,O,U,O,N,N,N
ROMANIA - LIGA 1,19/08/2024,13:00,U. Cluj,Sepsi Sf. Gheorghe,2.2,3.2,3.25,2.2,1.65,1.91,1.8,H,H,H,O,U,O,Y,Y,Y
