Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-03-10,00:00:00,MEXICO - LIGA MX,Club Tijuana,Atlas,2.0,3.95,4.1,3.9,2.42,1.68,1.62,2.42,H,H,D,U,U,O,N,Y,Y
2025-03-10,07:30:00,TURKEY - 1. LIG,Keciorengucu,Erzurumspor,2.58,2.98,3.25,3.2,1.77,2.1,1.83,2.02,H,A,H,O,U,U,Y,N,Y
2025-03-10,10:00:00,TURKEY - 1. LIG,Boluspor,Istanbulspor AS,2.48,3.05,3.45,3.2,1.73,2.0,1.84,1.94,H,A,H,O,U,U,Y,N,Y
2025-03-10,10:00:00,TURKEY - 1. LIG,Pendikspor,Amed Sportif Faaliyetler,2.58,2.98,3.3,3.15,1.66,2.18,1.96,1.94,H,A,H,O,U,U,Y,N,Y
2025-03-10,11:00:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,Van,1.5,5.6,8.2,4.4,1.89,1.76,1.89,1.89,A,H,A,O,O,U,Y,Y,N
2025-03-10,12:00:00,ROMANIA - LIGA 1,FC Botosani,Unirea Dej,1.81,5.3,5.4,3.65,1.69,2.24,2.12,1.79,D,H,D,O,U,U,Y,Y,N
2025-03-10,12:30:00,BULGARIA - PARVA LIGA,Septemvri,Hebar,1.9,4.9,5.1,3.6,1.64,2.28,2.04,1.8,A,A,A,U,U,U,N,Y,Y
2025-03-10,14:30:00,TURKEY - 1. LIG,Kocaelispor,Ankaragucu,1.64,6.4,7.4,3.8,1.84,1.96,2.0,1.83,H,A,H,O,U,U,Y,N,Y
2025-03-10,14:30:00,TURKEY - SUPER LIG,Besiktas,Gaziantep,1.52,7.4,8.0,4.6,2.3,1.73,1.81,2.12,H,D,D,U,O,O,Y,Y,N
2025-03-10,15:00:00,ROMANIA - LIGA 1,UTA Arad,Din. Bucuresti,3.9,2.24,2.34,3.1,1.58,2.48,2.08,1.8,D,H,D,O,U,U,Y,Y,N
2025-03-10,15:00:00,POLAND - DIVISION 1,Wisla Plock,Termalica B-B.,2.74,2.46,2.74,3.55,1.94,1.88,1.73,2.14,H,D,D,O,O,O,N,N,Y
2025-03-10,15:00:00,PORTUGAL - LIGA PORTUGAL 2,Leixoes,Tondela,3.45,2.38,2.56,3.05,1.56,2.52,2.1,1.83,D,A,A,O,O,O,N,Y,Y
